"vessel_name","MMSI","Flag","vessel_class_cat","vessel_class_confidence","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_start_confidence","trip_end","trip_end_confidence","trip_duration_days","end_port","at_dock_tem","at_dock_tak","fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","percent_ais_voyage","vv_url"
"LONG XIANG 603","627224000","CHN","fishing","high","fishing","fishing","GHA","TEMA",2025-02-17 17:44:44,4,2025-03-17 13:58:21,4,27.8,"TEMA",TRUE,NA,TRUE,6202.29999999999,"GHA",FALSE,"NAMMCO, ICCAT, FCWC, ACAP, IWC",FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/03fbdec98-87b6-42a6-8884-7d209ecb3106?&start=2025-02-15&end=2025-03-19"")"
"HAI LU FENG  6","627198000","CHN","fishing","high","fishing","trawlers","GHA","TEMA",2025-03-01 19:37:26,4,2025-03-02 07:42:25,4,0.5,"TEMA",TRUE,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,53.8,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/dda161ab9-947a-0fd5-7507-7714ed9a6086?&start=2025-02-27&end=2025-03-04"")"
"LONG XIANG 606","627220000","CHN","fishing","high","fishing","fishing","GHA","TEMA",2024-12-09 14:46:43,4,2025-01-01 08:51:51,4,22.8,"TEMA",NA,NA,TRUE,4003.37222222222,"GHA",FALSE,"ICCAT, NAMMCO, ACAP, FCWC, IWC",FALSE,NA,TRUE,11,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/0df280a47-79b8-08a7-f18d-6adfa224ff81?&start=2024-12-07&end=2025-01-03"")"
"M/V LONG XIANG 602","627215000","CHN","fishing","high","fishing","trawlers","GHA","TEMA",2025-02-20 13:52:12,4,2025-03-20 14:35:39,4,28,"TEMA",TRUE,NA,TRUE,5872.23611111111,"GHA",FALSE,"ICCAT, IWC, FCWC, ACAP, NAMMCO",FALSE,NA,TRUE,2,94.7,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/205b020a7-792f-bda7-6da8-0ae1460f0408?&start=2025-02-18&end=2025-03-22"")"
"MV PEACE RIVER","657283600","NGA","fishing","high","fishing","pole_and_line","GHA","TEMA",2025-03-25 17:58:16,4,2025-03-26 09:05:16,3,0.6,"TEMA",NA,NA,TRUE,38.3333333333333,"GHA",FALSE,"FCWC, ACAP, ICCAT, IWC, NAMMCO",FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c1307610e-e807-7588-87a2-e1e5cd645a6d?&start=2025-03-23&end=2025-03-28"")"
"DICHA UNO","312697000","BLZ","fishing","low","fishing","inconclusive","CIV","ABIDJAN",2025-01-02 09:38:02,4,2025-01-10 10:32:57,4,8,"TEMA",NA,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,5.2,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/2842f60c5-5d09-d79a-ea8d-a65b3a62a81b?&start=2024-12-31&end=2025-01-12"")"
"MV PEACE RIVER","657283600","NGA","fishing","high","fishing","pole_and_line","NGA","LAGOS",2025-03-14 03:45:51,4,2025-03-15 18:25:57,4,1.6,"TEMA",NA,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,70,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c1307610e-e807-7588-87a2-e1e5cd645a6d?&start=2025-03-12&end=2025-03-17"")"
"HAILUFENG3","627195000","CHN","fishing","med","fishing","inconclusive","GHA","SEKONDI-TAKORADI",2025-02-20 10:50:27,4,2025-03-14 20:20:16,4,22.4,"TEMA",TRUE,NA,TRUE,381.075,"GHA",FALSE,"FCWC, ACAP, NAMMCO, IWC, ICCAT",FALSE,NA,TRUE,1,17.3,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/6cc0050df-f7d6-01da-cee2-93757fc4745f?&start=2025-02-18&end=2025-03-16"")"
"KNUD REFEER","311062200","BHS","carrier","low","carrier","carrier","RUS","VISTINO",2024-12-25 06:43:44,4,2025-01-11 06:46:13,4,17,"TEMA",NA,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/73abe5fd9-9a79-a7b7-0c12-44e69844c8f5?&start=2024-12-23&end=2025-01-13"")"
"FRIO MARATHON","311001593","BHS","carrier","high","carrier","carrier","LBR","MONROVIA",2025-01-03 18:00:19,4,2025-01-06 07:20:12,4,2.5,"TEMA",TRUE,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/f9534c19e-e2ce-1a02-5f59-ace5f93c0be4?&start=2025-01-01&end=2025-01-08"")"
"LONG XIANG 606","627220000","CHN","fishing","high","fishing","fishing","GHA","TEMA",2025-01-05 17:40:40,4,2025-02-04 06:32:16,4,29.5,"TEMA",TRUE,NA,TRUE,3819.0138888889,"GHA",FALSE,"ACAP, NAMMCO, IWC, ICCAT, FCWC",FALSE,NA,TRUE,26,71.1,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/0df280a47-79b8-08a7-f18d-6adfa224ff81?&start=2025-01-03&end=2025-02-06"")"
"STAR PRIMA","311000958","BHS","carrier","low","other","other","SEN","DAKAR",2025-02-23 08:15:09,4,2025-02-26 13:32:08,4,3.2,"TEMA",NA,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/3997f5344-4346-5b2b-e215-f5932f787437?&start=2025-02-21&end=2025-02-28"")"
"HAI LU FENG 2","627194000","CHN","fishing","med","fishing","inconclusive","GHA","TEMA",2025-02-12 01:42:51,4,2025-03-10 22:29:48,4,26.8,"TEMA",TRUE,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,2.8,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/fb966b960-053e-ec50-4c00-cd20c16b073d?&start=2025-02-10&end=2025-03-12"")"
"ANDREA","268240400","SMR","fishing","low","fishing","inconclusive","ESP","LAS PALMAS",2024-12-25 19:19:01,4,2025-01-07 08:14:18,4,12.5,"SEKONDI-TAKORADI",NA,NA,TRUE,32.9861111111111,"GHA",FALSE,"NAMMCO, ACAP, IWC, ICCAT, FCWC",FALSE,NA,TRUE,2,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/0d4fb3dfb-b18d-7d81-5bee-201db96b5556?&start=2024-12-23&end=2025-01-09"")"
"COTE D IVOIRIAN STAR","636014241","LBR","carrier","low","carrier","carrier","CMR","DOUALA",2025-02-16 07:09:07,4,2025-02-18 02:27:10,4,1.8,"TEMA",TRUE,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c24029a18-8c22-ebb8-d92d-02fc96ad2d26?&start=2025-02-14&end=2025-02-20"")"
"LONG XIANG 603","627224000","CHN","fishing","high","fishing","fishing","GHA","TEMA",2025-01-06 01:30:20,4,2025-01-06 14:20:38,4,0.5,"TEMA",TRUE,NA,TRUE,103.186111111111,"GHA",FALSE,"ACAP, FCWC, NAMMCO, ICCAT, IWC",FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/03fbdec98-87b6-42a6-8884-7d209ecb3106?&start=2025-01-04&end=2025-01-08"")"
"LONG TAI 1","627221000","CHN","fishing","high","fishing","tuna_purse_seines","GHA","TEMA",2024-11-16 15:29:57,4,2025-03-18 11:37:54,3,121.8,"TEMA",NA,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/6b3129a20-009f-1741-5877-a714ea11cf2b?&start=2024-11-14&end=2025-03-20"")"
"LONG XIANG 608","627218000","CHN","fishing","high","fishing","trawlers","GHA","TEMA",2025-01-13 22:14:56,4,2025-03-14 15:41:42,3,59.7,"TEMA",TRUE,NA,TRUE,123.286111111111,"GHA",FALSE,"ACAP, IWC, FCWC, NAMMCO, ICCAT",FALSE,NA,TRUE,2,2.6,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/94168715a-afa1-9f8c-8d8e-5b2e3e11fcbf?&start=2025-01-11&end=2025-03-16"")"
"MENG XIN 7","627180000","CHN","fishing","med","fishing","inconclusive","GHA","TEMA",2024-12-11 12:57:06,4,2025-03-14 10:21:01,4,92.9,"TEMA",NA,NA,TRUE,20.1777777777778,"GHA",FALSE,"IWC, NAMMCO, ICCAT, ACAP, FCWC",FALSE,NA,TRUE,1,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/fff65e892-2e18-add5-6050-574165016845?&start=2024-12-09&end=2025-03-16"")"
"STAR FIRST","311000876","BHS","carrier","low","other","other","CMR","DOUALA",2025-01-18 19:06:46,4,2025-01-20 15:47:47,4,1.8,"TEMA",TRUE,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/1f2830fdf-fd8c-099e-c5e3-c9f9c4a16f76?&start=2025-01-16&end=2025-01-22"")"
"M/V LONG XIANG 602","627215000","CHN","fishing","high","fishing","trawlers","GHA","TEMA",2025-01-15 15:35:33,4,2025-02-14 15:19:30,4,30,"TEMA",NA,NA,TRUE,5451.44722222222,"GHA",FALSE,"IWC, NAMMCO, ACAP, FCWC, ICCAT",FALSE,NA,TRUE,1,82.4,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/205b020a7-792f-bda7-6da8-0ae1460f0408?&start=2025-01-13&end=2025-02-16"")"
"ATLANTIC PRINCE","312867000","BLZ","fishing","high","fishing","tuna_purse_seines","CIV","ABIDJAN",2025-02-08 08:25:13,4,2025-02-11 03:05:41,4,2.8,"TEMA",TRUE,NA,TRUE,20.4805555555556,"CIV, GHA",FALSE,"IWC, ACAP, FCWC, NAMMCO, ICCAT",FALSE,NA,TRUE,1,66.2,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/a8fa13d03-3876-ae64-a357-4823082c2984?&start=2025-02-06&end=2025-02-13"")"
"CAMEROUN EXPRESS","563229800","SGP","carrier","low","other","other","CMR","DOUALA",2025-01-07 09:45:45,4,2025-01-09 04:30:29,4,1.8,"TEMA",NA,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/7bf03aa76-6d87-6b95-cc07-490ae627673d?&start=2025-01-05&end=2025-01-11"")"
"AFKO 808","457900799","MNG","fishing","low","seismic_vessel","seismic_vessel","ZAF","CAPE TOWN",2025-01-23 02:40:32,4,2025-02-03 08:02:39,3,11.2,"TEMA",TRUE,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,63.1,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/b152ee36c-cb5d-3713-f603-92f016be5a68?&start=2025-01-21&end=2025-02-05"")"
"COSTA RICAN STAR","636013073","LBR","carrier","low","carrier","carrier","CMR","DOUALA",2025-01-26 01:35:10,4,2025-01-27 23:35:22,4,1.9,"TEMA",NA,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ace7e52e7-7e8a-f948-ef45-d49a0b5a77af?&start=2025-01-24&end=2025-01-29"")"
"COTE DIVOIRE EXPRESS","563237900","SGP","carrier","low","other","other","CMR","DOUALA",2025-02-20 20:16:13,4,2025-02-22 08:39:36,4,1.5,"TEMA",TRUE,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c101e6df7-7c74-f0bd-dff3-8cf9eb76b89b?&start=2025-02-18&end=2025-02-24"")"
"CROWN SAPPHIRE","311000855","BHS","carrier","low","carrier","carrier","SEN","DAKAR",2025-01-20 22:58:45,4,2025-01-24 06:55:57,4,3.3,"SEKONDI-TAKORADI",NA,TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/a7332a0d7-7d0e-aa0a-5987-7313d025e136?&start=2025-01-18&end=2025-01-26"")"
"LONG XIANG 609","627219000","CHN","fishing","high","fishing","trawlers","GHA","TEMA",2025-02-21 01:54:38,4,2025-03-18 04:26:15,4,25.1,"TEMA",TRUE,NA,TRUE,2532.25555555556,"GHA",FALSE,"NAMMCO, FCWC, ACAP, IWC, ICCAT",FALSE,NA,FALSE,NA,46.2,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/8e3b668de-e595-867b-cd00-d4dabca233ee?&start=2025-02-19&end=2025-03-20"")"
"HAI LU FENG  6","627198000","CHN","fishing","high","fishing","trawlers","GHA","TEMA",2025-01-13 17:06:01,4,2025-01-20 12:21:31,4,6.8,"SEKONDI-TAKORADI",NA,NA,TRUE,351.036111111111,"GHA",FALSE,"IWC, ICCAT, FCWC, NAMMCO, ACAP",FALSE,NA,TRUE,5,43.9,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/dda161ab9-947a-0fd5-7507-7714ed9a6086?&start=2025-01-11&end=2025-01-22"")"
"MENG XIN 7","627180000","CHN","fishing","med","fishing","inconclusive","GHA","TEMA",2024-03-19 18:03:13,4,2025-01-03 06:30:16,4,289.5,"TEMA",NA,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/3828d8fce-ec6d-5d62-5c30-cd38c9657b26?&start=2024-03-17&end=2025-01-05"")"
"LONG XIANG 603","627224000","CHN","fishing","high","fishing","fishing","GHA","TEMA",2025-01-13 15:59:42,4,2025-02-11 17:25:44,4,29,"TEMA",TRUE,NA,TRUE,6492.11111111111,"GHA",FALSE,"ICCAT, ACAP, NAMMCO, IWC, FCWC",FALSE,NA,TRUE,1,99.7,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/03fbdec98-87b6-42a6-8884-7d209ecb3106?&start=2025-01-11&end=2025-02-13"")"
"HAI LU FENG 1","627193000","CHN","fishing","med","fishing","inconclusive","GHA","TEMA",2025-01-04 09:30:45,4,2025-02-02 11:12:16,4,29,"TEMA",TRUE,NA,TRUE,535.288888888889,"GHA",FALSE,"FCWC, ACAP, IWC, ICCAT, NAMMCO",FALSE,NA,TRUE,10,26.2,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/bec001482-28f1-96e2-4581-4ddd855d729d?&start=2025-01-02&end=2025-02-04"")"
"HAI LU FENG  6","627198000","CHN","fishing","high","fishing","trawlers","GHA","SEKONDI-TAKORADI",2025-01-20 15:28:00,4,2025-02-11 21:15:20,4,22.2,"TEMA",TRUE,NA,TRUE,542.730555555556,"GHA",FALSE,"NAMMCO, ACAP, ICCAT, FCWC, IWC",FALSE,NA,TRUE,16,31.6,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/dda161ab9-947a-0fd5-7507-7714ed9a6086?&start=2025-01-18&end=2025-02-13"")"
"M/V LONG XIANG 602","627215000","CHN","fishing","high","fishing","trawlers","GHA","TEMA",2024-12-15 10:40:20,4,2025-01-10 06:54:16,4,25.8,"TEMA",NA,NA,TRUE,5787.74999999999,"GHA",FALSE,"NAMMCO, FCWC, IWC, ACAP, ICCAT",FALSE,NA,TRUE,3,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/205b020a7-792f-bda7-6da8-0ae1460f0408?&start=2024-12-13&end=2025-01-12"")"
