"vessel_name","MMSI","Flag","flag_ais","imo","vessel_class_cat","vessel_class_confidence","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_start_confidence","trip_end","trip_end_confidence","trip_duration_days","end_port","dak_general","dak_fishing","fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","percent_ais_voyage","vv_url"
"COLOMBIAN STAR","636014240","LBR","LBR","9172480","carrier","low","carrier","carrier","CIV","ABIDJAN",2025-01-09 17:01:10,4,2025-01-12 17:11:50,4,3,"DAKAR",FALSE,TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/8bce66adf-faea-4494-cf58-4990faf56820?&start=2025-01-07&end=2025-01-14"")"
"STAR PRIMA","311000958","BHS","BHS","9338747","carrier","low","other","other","CIV","ABIDJAN",2025-03-03 03:28:38,4,2025-03-05 21:27:51,4,2.7,"DAKAR",FALSE,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/3997f5344-4346-5b2b-e215-f5932f787437?&start=2025-03-01&end=2025-03-07"")"
"CARIBBEAN STAR","636013068","LBR","LBR","9150810","carrier","low","carrier","carrier","CIV","ABIDJAN",2025-03-14 12:13:03,4,2025-03-17 05:47:00,4,2.7,"DAKAR",TRUE,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/6215b49b8-8d6d-c4dc-240a-8d5e38e826d6?&start=2025-03-12&end=2025-03-19"")"
"STAR FIRST","311000876","BHS","BHS","9330056","carrier","low","other","other","CIV","ABIDJAN",2025-01-23 17:52:39,4,2025-01-27 01:18:41,4,3.3,"DAKAR",FALSE,TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/1f2830fdf-fd8c-099e-c5e3-c9f9c4a16f76?&start=2025-01-21&end=2025-01-29"")"
"JOMAFRAN SEGUNDO","225995265","ESP","ESP",NA,"fishing","high","fishing","trawlers","MRT","CANSADO",2025-03-24 19:45:20,4,2025-03-26 13:52:53,4,1.8,"DAKAR",TRUE,TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/cbd74e07f-fa3d-b182-eee3-802733bc5d5e?&start=2025-03-22&end=2025-03-28"")"
"PLAYA DE NOJA","224531000","ESP","ESP","8806955","fishing","high","fishing","tuna_purse_seines","CIV","ABIDJAN",2025-02-06 21:04:04,4,2025-03-06 06:10:18,4,27.4,"DAKAR",FALSE,TRUE,TRUE,25.6766666666667,NA,TRUE,"NAMMCO, ACAP, ICCAT, IWC",FALSE,NA,TRUE,2,18.1,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/472962590-0e8b-947d-3f92-4a00e908d511?&start=2025-02-04&end=2025-03-08"")"
"ZHEN YUAN YU 828","412420878","CHN","CHN",NA,"fishing","high","fishing","fishing","GIN","CONAKRY",2025-01-01 17:47:18,4,2025-01-03 11:26:59,4,1.7,"DAKAR",TRUE,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,97.7,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/2ff276b1f-f519-6c09-f409-e4c7634f0e3a?&start=2024-12-30&end=2025-01-05"")"
"GUOJIN901","412549196","CHN","CHN",NA,"fishing","high","fishing","trawlers","SEN","DAKAR",2025-03-10 19:31:45,4,2025-03-28 04:26:33,4,17.3,"DAKAR",TRUE,TRUE,TRUE,4552.60833333333,"SEN",FALSE,"ICCAT, ACAP, SRFC, IWC, NAMMCO",TRUE,4,TRUE,6,96.9,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/e1978b237-794c-1a7d-171c-6c11f629c154?&start=2025-03-08&end=2025-03-30"")"
"BALTIC HOLLYHOCK","311000977","BHS","BHS","9189902","carrier","low","carrier","carrier","BEL","ANTWERP",2025-01-11 04:49:09,4,2025-01-17 10:44:00,4,6.2,"DAKAR",TRUE,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/1ba6222b2-2d29-eb4a-3bdd-29718bd7497c?&start=2025-01-09&end=2025-01-19"")"
"YANGMING8001","412209195","CHN","CHN",NA,"fishing","high","fishing","fishing","SEN","DAKAR",2024-12-15 22:46:25,4,2025-01-01 09:29:11,4,16.4,"DAKAR",FALSE,TRUE,TRUE,1281.28055555556,"GNB",FALSE,"ICCAT, ACAP, NAMMCO, IWC, SRFC",FALSE,NA,FALSE,NA,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/2e5f4ad48-88f3-9803-7051-7a03e4d7c782?&start=2024-12-13&end=2025-01-03"")"
"SHENG HAI 17","412200978","CHN","CHN",NA,"fishing","high","fishing","trawlers","GIN","CONAKRY",2025-01-03 19:21:03,4,2025-01-05 03:53:30,4,1.3,"DAKAR",TRUE,TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,15.2,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ad3800ca1-1e25-979b-4b28-ac00b6c34942?&start=2025-01-01&end=2025-01-07"")"
"YI FENG 30","412209128","CHN","CHN",NA,"fishing","high","fishing","fishing","SEN","DAKAR",2025-03-08 20:26:09,4,2025-03-22 15:55:10,4,13.8,"DAKAR",TRUE,TRUE,TRUE,4104.92499999998,"GNB, SEN",FALSE,"ACAP, IWC, SRFC, NAMMCO, ICCAT",FALSE,NA,TRUE,10,97.6,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/950337f10-0b9d-d461-c26c-1f50ba61d104?&start=2025-03-06&end=2025-03-24"")"
"ALFONSO RIERA SEGUND","224032270","ESP","ESP","9175377","fishing","high","fishing","trawlers","MRT","CANSADO",2025-03-24 19:47:54,4,2025-03-26 14:21:58,4,1.8,"DAKAR",TRUE,TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ebdafaa65-595c-2373-4337-eaf2cebdadae?&start=2025-03-22&end=2025-03-28"")"
"TWENTY","629009232","GMB","GMB",NA,"fishing","high","fishing","trawlers","SEN","DAKAR",2025-01-27 04:10:10,4,2025-02-12 10:53:30,4,16.3,"DAKAR",FALSE,FALSE,TRUE,496.702777777778,"GMB",FALSE,"ICCAT, NAMMCO, ACAP, SRFC, IWC",FALSE,NA,TRUE,32,25.1,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/8c09eec53-39ac-c718-0fa8-4952d9a38c75?&start=2025-01-25&end=2025-02-14"")"
"CIUDAD DE HUELVA","225987981","ESP","ESP","8740955","fishing","high","fishing","trawlers","GNB","BISSAU",2025-01-31 21:16:42,4,2025-03-17 08:06:53,4,44.4,"DAKAR",TRUE,TRUE,TRUE,9798.2361111111,"SEN, GNB",FALSE,"NAMMCO, IWC, ACAP, ICCAT, SRFC",FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/45fc67c5f-ffbb-8088-09a3-4baf211463bb?&start=2025-01-29&end=2025-03-19"")"
"COSTA DE  HUELVA","224854000","ESP","ESP","9379820","fishing","high","fishing","trawlers","MRT","CANSADO",2025-01-07 20:55:13,4,2025-01-09 13:13:39,4,1.7,"DAKAR",TRUE,TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/1e31d7cd6-6c64-7b64-d9fd-71ea2e122789?&start=2025-01-05&end=2025-01-11"")"
"FU YUAN YU 373","412440268","CHN","CHN",NA,"fishing","med","fishing","inconclusive","GIN","CONAKRY",2025-01-13 21:57:46,4,2025-01-16 00:19:59,4,2.1,"DAKAR",TRUE,TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,94.2,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/3e24cdb87-795c-1b60-72d5-0b1288f94e55?&start=2025-01-11&end=2025-01-18"")"
"CURBEIRO","224106000","ESP","ESP","9194191","fishing","high","fishing","trawlers","ESP","BUEU",2025-01-23 12:47:13,4,2025-01-31 11:48:49,4,8,"DAKAR",TRUE,TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/abfdf22f1-145b-2a91-3e6b-7acb899cd1d7?&start=2025-01-21&end=2025-02-02"")"
"GUOJIN901","412549196","CHN","CHN",NA,"fishing","high","fishing","trawlers","SEN","DAKAR",2025-02-13 17:31:03,4,2025-02-26 17:59:37,4,13,"DAKAR",TRUE,FALSE,TRUE,3810.15000000001,"SEN",FALSE,"IWC, ICCAT, ACAP, NAMMCO, SRFC",TRUE,4,TRUE,4,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/e1978b237-794c-1a7d-171c-6c11f629c154?&start=2025-02-11&end=2025-02-28"")"
"PEIX MAR VEINTINUEVE","224372000","ESP","ESP",NA,"fishing","high","fishing","trawlers","GNB","BISSAU",2025-01-31 22:21:29,4,2025-03-14 07:12:16,4,41.3,"DAKAR",TRUE,TRUE,TRUE,8875.94166666669,"SEN, GNB",FALSE,"ICCAT, SRFC, IWC, NAMMCO, ACAP",FALSE,NA,FALSE,NA,94.3,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/0e7b1acdf-f7c8-f125-35fc-f22f72aa558d?&start=2025-01-29&end=2025-03-16"")"
"COTE DIVOIRE EXPRESS","563237900","SGP","SGP","9983994","carrier","low","other","other","CIV","ABIDJAN",2025-02-25 21:56:10,4,2025-02-28 17:58:00,4,2.8,"DAKAR",TRUE,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c101e6df7-7c74-f0bd-dff3-8cf9eb76b89b?&start=2025-02-23&end=2025-03-02"")"
