vessel_name,MMSI,Flag,flag_ais,imo,vessel_class_cat,vessel_class_confidence,vessel_class,vessel_type,previous_port_country,previous_port,trip_start,trip_start_confidence,trip_end,trip_end_confidence,trip_duration_days,end_port,dak_general,dak_fishing,fishing,fishing_hours,fishing_eez,fishing_hs,fishing_rfmos,encounter,num_encounters,loitering,num_loitering,percent_ais_voyage,vv_url
GUOJIN901,412549196,CHN,CHN,NA,fishing,high,fishing,trawlers,SEN,DAKAR,10/03/2025 19:31,4,28/03/2025 04:26,4,17.3,DAKAR,TRUE,TRUE,TRUE,4552.608333,SEN,FALSE,"ICCAT, ACAP, SRFC, IWC, NAMMCO",TRUE,4,TRUE,6,96.9,https://globalfishingwatch.org/map/vessel/e1978b237-794c-1a7d-171c-6c11f629c154?&start=2025-03-08&end=2025-03-30
BALTIC HOLLYHOCK,311000977,BHS,BHS,9189902,carrier,low,carrier,carrier,BEL,ANTWERP,11/01/2025 04:49,4,17/01/2025 10:44,4,6.2,DAKAR,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,https://globalfishingwatch.org/map/vessel/1ba6222b2-2d29-eb4a-3bdd-29718bd7497c?&start=2025-01-09&end=2025-01-19
YANGMING8001,412209195,CHN,CHN,NA,fishing,high,fishing,trawlers,SEN,DAKAR,15/12/2024 22:46,4,01/01/2025 09:29,4,16.4,DAKAR,FALSE,TRUE,TRUE,1281.280556,GNB,FALSE,"ICCAT, ACAP, NAMMCO, IWC, SRFC",FALSE,NA,FALSE,NA,NA,https://globalfishingwatch.org/map/vessel/2e5f4ad48-88f3-9803-7051-7a03e4d7c782?&start=2024-12-13&end=2025-01-03
SHENG HAI 17,412200978,CHN,CHN,NA,fishing,high,fishing,trawlers,GIN,CONAKRY,03/01/2025 19:21,4,05/01/2025 03:53,4,1.3,DAKAR,TRUE,TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,15.2,https://globalfishingwatch.org/map/vessel/ad3800ca1-1e25-979b-4b28-ac00b6c34942?&start=2025-01-01&end=2025-01-07
YI FENG 30,412209128,CHN,CHN,NA,fishing,high,fishing,trawlers,SEN,DAKAR,08/03/2025 20:26,4,22/03/2025 15:55,4,13.8,DAKAR,TRUE,TRUE,TRUE,4104.925,"GNB, SEN",FALSE,"ACAP, IWC, SRFC, NAMMCO, ICCAT",FALSE,NA,TRUE,10,97.6,https://globalfishingwatch.org/map/vessel/950337f10-0b9d-d461-c26c-1f50ba61d104?&start=2025-03-06&end=2025-03-24
ALFONSO RIERA SEGUND,224032270,ESP,ESP,9175377,fishing,high,fishing,trawlers,MRT,CANSADO,24/03/2025 19:47,4,26/03/2025 14:21,4,1.8,DAKAR,TRUE,TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,https://globalfishingwatch.org/map/vessel/ebdafaa65-595c-2373-4337-eaf2cebdadae?&start=2025-03-22&end=2025-03-28
TWENTY,629009232,GMB,GMB,NA,fishing,high,fishing,trawlers,SEN,DAKAR,27/01/2025 04:10,4,12/02/2025 10:53,4,16.3,DAKAR,FALSE,FALSE,TRUE,496.7027778,GMB,FALSE,"ICCAT, NAMMCO, ACAP, SRFC, IWC",FALSE,NA,TRUE,32,25.1,https://globalfishingwatch.org/map/vessel/8c09eec53-39ac-c718-0fa8-4952d9a38c75?&start=2025-01-25&end=2025-02-14
CIUDAD DE HUELVA,225987981,ESP,ESP,8740955,fishing,high,fishing,trawlers,GNB,BISSAU,31/01/2025 21:16,4,17/03/2025 08:06,4,44.4,DAKAR,TRUE,TRUE,TRUE,9798.236111,"SEN, GNB",FALSE,"NAMMCO, IWC, ACAP, ICCAT, SRFC",FALSE,NA,FALSE,NA,100,https://globalfishingwatch.org/map/vessel/45fc67c5f-ffbb-8088-09a3-4baf211463bb?&start=2025-01-29&end=2025-03-19
COSTA DE  HUELVA,224854000,ESP,ESP,9379820,fishing,high,fishing,trawlers,MRT,CANSADO,07/01/2025 20:55,4,09/01/2025 13:13,4,1.7,DAKAR,TRUE,TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,https://globalfishingwatch.org/map/vessel/1e31d7cd6-6c64-7b64-d9fd-71ea2e122789?&start=2025-01-05&end=2025-01-11
FU YUAN YU 373,412440268,CHN,CHN,NA,fishing,med,fishing,trawlers,GIN,CONAKRY,13/01/2025 21:57,4,16/01/2025 00:19,4,2.1,DAKAR,TRUE,TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,94.2,https://globalfishingwatch.org/map/vessel/3e24cdb87-795c-1b60-72d5-0b1288f94e55?&start=2025-01-11&end=2025-01-18
