ssvid,CurrentName,Imo,CurrentFlag,CurrentIrcs,VesselType,GearType,Include 
663072000,6WJH,unknown,SEN,unknown,fishing,unknown,Yes
627233000,A.AZANTILOW,unknown,GHA,unknown,fishing,purse_seines,Yes
242165100,ABDERA 1,9383091,MAR,CNA4817,fishing,trawlers,Yes
654000006,ABIDINE 6,unknown,MRT,unknown,fishing,trawlers,Yes
654000007,ABIDINE 7,unknown,MRT,unknown,fishing,trawlers,Yes
654000009,ABIDINE 9,unknown,MRT,unknown,fishing,trawlers,Yes
663265000,ABRELA,9208978,SEN,EAVW,fishing,trawlers,Yes
627610000,ACE NO. 1,7410280,GHA,9GQM,fishing,pole_and_line,Yes
636013146,ACONCAGUA BAY,9019652,LBR,A8KY9,carrier,NA,Yes
663158000,ADJA NDOUMBE 2,unknown,SEN,unknown,fishing,unknown,Yes
306872000,AFFINIS,9120217,MUS,3BTU,carrier,carrier,Yes
627949000,AFKO FOOD 805,8017786,GHA,,fishing,purse_seines,Yes
627074000,AFRICA STAR,8010386,GHA,9GNP,fishing,purse_seines,Yes
627887000,AGNES 1; AGNES I,7437202,GHA,9GEW,fishing,purse_seines,Yes
627851000,AGNES II,7426435,GHA,9GJQ,fishing,pole_and_line,Yes
306118000,AGURTZA BERRIA,8733445,CUW,PJBL,support,support,Yes
224224000,AGURTZA BERRIA; AGURTZABERRIA,8733445,CUW,PJBL,support,support,Yes
224070000,AITA FRAXKU,9212943,ESP,EACD,fishing,purse_seines,Yes
224702000,ALAKRANA,9335745,ESP,ECKG,fishing,purse_seines,Yes
224054360,ALAKRANTXU,9156929,ESP,EAON,fishing,purse_seines,Yes
224469000,ALBACAN,8906468,ESP,EACO,fishing,purse_seines,Yes
353171000,ALBACORA CARIBE; ALBACORACARIBE,8716825,PAN,H9HB,fishing,purse_seines,Yes
224755000,ALBACORA CUATRO,7325904,ESP,EALM,fishing,purse_seines,Yes
306094000,ALBACORA NEUVE,7403639,CUW,PJXU,fishing,purse_seines,Yes
224727000,ALBACORA QUINCE,8206296,ESP,EDUS,fishing,purse_seines,Yes
306012000,ALBACORA SEIS; ALBACORA SEIS; ALBACORA SIEZ; ALBACORA SEIS; ALBACORA SEIS,7403627,CUW,PJGS,fishing,purse_seines,Yes
224745000,ALBONIGA,8613267,ESP,EDKU,fishing,purse_seines,Yes
228378000,ALF,8676726,FRA,FVFP,fishing,trawlers,Yes
224026860,ALFONSO RIERA 4,8739932,ESP,EAGP,fishing,trawlers,Yes
224032270,ALFONSO RIERA SEGUNDO,9175377,ESP,EAQQ,fishing,trawlers,Yes
224282000,ALFONSO RIERA TERCERO,8734877,ESP,EAGP,fishing,trawlers,Yes
212856000,ALMA,,CYP,,carrier,NA,Yes
663099000,ALMIRANTE,7529536,SEN,6WBO,fishing,trawlers,Yes
101205,ALPHA CHALLENGER,8802545,KEN,5ZZL,fishing,trawlers,Yes
312547000,ALTARRI,9265299,BLZ,V3VQ9,support,NA,Yes
440938000,AMAPOLA515,7355492,KOR,DTAP3,fishing,trawlers,Yes
663093000,AMINE,8816742,SEN,6WKH,fishing,trawlers,Yes
629009046,ANDREA KLITBO,TBC,GMB,C5J60,fishing,trawlers,Yes
630123100,ANELE,7600366,GNB,J5MK5,fishing,trawlers,Yes
312394000,AN-FONG NO.98,,UNK,,fishing,unknown,Yes
