ssvid,CurrentName,Imo,CurrentFlag,CurrentIrcs,VesselType,GearType,Include 
663072000,6WJH,UNKNOWN,SEN,UNKNOWN,Fishing vessel,UNKNOWN,Yes
627233000,A.AZANTILOW,unknown,GHA,Unknown,Fishing vessel,Purse seine,Yes
242165100,ABDERA 1,9383091,MAR,CNA4817,Fishing vessel,Trawl,Yes
654000006,ABIDINE 6,unknown,MRT,Unknown,Fishing vessel,Trawl,Yes
654000007,ABIDINE 7,unknown,MRT,Unknown,Fishing vessel,Trawl,Yes
654000009,ABIDINE 9,unknown,MRT,Unknown,Fishing vessel,Trawl,Yes
663265000,ABRELA,9208978,SEN,EAVW,Fishing vessel,Trawl,Yes
627610000,ACE NO. 1,7410280,GHA,9GQM,Fishing vessel,Pole and line,Yes
636013146,ACONCAGUA BAY,9019652,LBR,A8KY9,Carrier vessel,NA,Yes
663158000,ADJA NDOUMBE 2,UNKNOWN,SEN,UNKNOWN,Fishing vessel,UNKNOWN,Yes
306872000,AFFINIS,9120217,MUS,3BTU,Carrier vessel,NA,Yes
627949000,AFKO FOOD 805,8017786,GHA,,Fishing vessel,Purse seine,Yes
627074000,AFRICA STAR,8010386,GHA,9GNP,Fishing vessel,Purse seine,Yes
627887000,AGNES 1; AGNES I,7437202,GHA,9GEW,Fishing vessel,Purse seine,Yes
627851000,AGNES II,7426435,GHA,9GJQ,Fishing vessel,Pole and line,Yes
306118000,AGURTZA BERRIA,8733445,CUW,PJBL,Support vessel,NA,Yes
224224000,AGURTZA BERRIA; AGURTZABERRIA,8733445,CUW,PJBL,Support vessel,NA,Yes
224070000,AITA FRAXKU,9212943,ESP,EACD,Fishing vessel,Purse seine,Yes
224702000,ALAKRANA,9335745,ESP,ECKG,Fishing vessel,Purse seine,Yes
224054360,ALAKRANTXU,9156929,ESP,EAON,Fishing vessel,Purse Seine,Yes
224469000,ALBACAN,8906468,ESP,EACO,Fishing vessel,Purse seine,Yes
353171000,ALBACORA CARIBE; ALBACORACARIBE,8716825,PAN,H9HB,Fishing vessel,Purse seine,Yes
224755000,ALBACORA CUATRO,7325904,ESP,EALM,Fishing vessel,Purse seine,Yes
306094000,ALBACORA NEUVE,7403639,CUW,PJXU,Fishing vessel,Purse seine,Yes
224727000,ALBACORA QUINCE,8206296,ESP,EDUS,Fishing vessel,Purse seine,Yes
306012000,ALBACORA SEIS; ALBACORA SEIS; ALBACORA SIEZ; ALBACORA SEIS; ALBACORA SEIS,7403627,CUW,PJGS,Fishing vessel,Purse seine,Yes
224745000,ALBONIGA,8613267,ESP,EDKU,Fishing vessel,Purse seine,Yes
228378000,ALF,8676726,FRA,FVFP,Fishing vessel,Trawl,Yes
224026860,ALFONSO RIERA 4,8739932,ESP,EAGP,Fishing vessel,Trawl,Yes
224032270,ALFONSO RIERA SEGUNDO,9175377,ESP,EAQQ,Fishing vessel,Trawl,Yes
224282000,ALFONSO RIERA TERCERO,8734877,ESP,EAGP,Fishing vessel,Trawl,Yes
212856000,ALMA,,CYP,,Carrier vessel,NA,Yes
663099000,ALMIRANTE,7529536,SEN,6WBO,Fishing vessel,Trawl,Yes
101205,ALPHA CHALLENGER,8802545,KEN,5ZZL,Fishing vessel,Trawl,Yes
