Date added,ssvid,CurrentName,IMO,CurrentFlag,CurrentIrcs,VesselType,GearType,,,,,,,,,,,,,,,,
Original port profile list,224745000,ALBONIGA,8613267,ESP,UNKNOWN,Fishing Vessel,Purse seine,,,,,,,,,,,,,,,,
Original port profile list,224819000,VILLA DE PITANXO,9098244,ESP,ECCU,Fishing Vessel,Trawler,,,,,,,,,,,,,,,,
Original port profile list,224820000,VILLA NORES,9098256,ESP,ECCT,Fishing Vessel,Trawler,,,,,,,,,,,,,,,,
Original port profile list,224841000,PLAYA DE LOUREIRO,9238727,ESP,EBSU,Fishing Vessel,Trawler,,,,,,,,,,,,,,,,
Original port profile list,224854000,COSTA DE HUELVA,9379820,ESP,ECKX,Fishing Vessel,Trawler,,,,,,,,,,,,,,,,
Original port profile list,224896000,PILAR TORRE,9154361,ESP,EAIQ,Fishing Vessel,Pole and line,,,,,,,,,,,,,,,,
Original port profile list,225458000,HAIZEA BAT,9717943,CUW,PJGQ,Fishing Vessel,Purse seine,,,,,,,,,,,,,,,,
Original port profile list,225459000,PLAYA DE RIS,9684548,ESP,EAKV,Fishing Vessel,Purse seine,,,,,,,,,,,,,,,,
Original port profile list,225461000,GARBOLA,9747560,ESP,EAEZ,Fishing Vessel,Purse seine,,,,,,,,,,,,,,,,
Original port profile list,225986769,JOMAFRAN,9813890,ESP,EAUC,Fishing Vessel,Trawler,,,,,,,,,,,,,,,,
Original port profile list,225987981,CIUDAD DE HUELVA,8740955,ESP,EAVC,Fishing Vessel,Trawler,,,,,,,,,,,,,,,,
Original port profile list,225989933,FRIOMAR,9853462,ESP,EAYM,Fishing Vessel,Trawler,,,,,,,,,,,,,,,,
Original port profile list,226180000,STERENN,9225548,FRA,FIYL,Fishing Vessel,Purse seine,,,,,,,,,,,,,,,,
Original port profile list,227366000,LE NAUTILE,8229236,FRA,FGRG,Fishing Vessel,Trawler,,,,,,,,,,,,,,,,
Original port profile list,227428000,MARIE ALEXANDRA,8541878,FRA,FGRA,Fishing Vessel,Trawler,,,,,,,,,,,,,,,,
Original port profile list,227549000,GUEOTEC,8912986,FRA,FGPG,Fishing Vessel,Purse seine,,,,,,,,,,,,,,,,
Original port profile list,227550000,GUERIDEN,8912998,FRA,FGQC,Fishing Vessel,Purse seine,,,,,,,,,,,,,,,,
Original port profile list,227739740,OHANA,UNKNOWN,FRA,UNKNOWN,Sailing,UNKNOWN,,,,,,,,,,,,,,,,
Original port profile list,227835000,AVEL VOR,8908038,FRA,FGPK,Fishing Vessel,Purse seine,,,,,,,,,,,,,,,,
Original port profile list,228066900,GEVRED,9741097,FRA,FIUO,Fishing Vessel,Purse seine,,,,,,,,,,,,,,,,
Original port profile list,228071510,MOANA,UNKNOWN,FRA,UNKNOWN,Sailing,UNKNOWN,,,,,,,,,,,,,,,,
