s2id,iso3,label,sublabel,lat,lon
103b87d9,NGA,LAGOS,LAGOS,6.4272404952224331,3.2577700239847647
103b8b1f,NGA,LAGOS,LAGOS,6.4425387583308229,3.3969340428337849
103b8b21,NGA,LAGOS,LAGOS,6.4415311592745983,3.4000624190276194
103b8843,NGA,LAGOS,LAGOS,6.4280990572645651,3.2802687386590548
103b8983,NGA,LAGOS,AJEGUNLE,6.4365891045394674,3.3316394631840982
103b89a7,NGA,LAGOS,AJEGUNLE,6.4361609952353636,3.3122711033937478
103b8baf,NGA,LAGOS,LAGOS,6.449382569750183,3.3738000291746597
103b8a29,NGA,LAGOS,AJEGUNLE,6.4294502048902187,3.3410358519545236
103b8a31,NGA,LAGOS,APAPA,6.4322000036535076,3.351623243854339
103b8ba5,NGA,LAGOS,LAGOS,6.4509744856542683,3.3730632706016355
103b8a39,NGA,LAGOS,LAGOS,6.4271368583009663,3.3547180554866549
103b8b99,NGA,LAGOS,LAGOS,6.4610386866933434,3.3730695652894336
103b8a27,NGA,LAGOS,AJEGUNLE,6.4267083453646192,3.3407960608900971
103b8b9f,NGA,LAGOS,LAGOS,6.465242946302145,3.3761554171443384
103b8b07,NGA,LAGOS,LAGOS,6.4449858098286,3.3803825940351313
103b890b,NGA,LAGOS,AJEGUNLE,6.4430014963607949,3.3165980693040491
103b899b,NGA,LAGOS,AJEGUNLE,6.4336948470430428,3.3246155241841566
103b8a4f,NGA,LAGOS,LAGOS,6.433213350983,3.3665216551348656
103b8ae3,NGA,LAGOS,LAGOS,6.4345771771884213,3.3926960860565676
103b8a95,NGA,LAGOS,LAGOS,6.4130238294256134,3.398066839515014
103b8ba1,NGA,LAGOS,LAGOS,6.4564725943061454,3.3760860755625983
103b8ac7,NGA,LAGOS,LAGOS,6.4219951349388156,3.4059428018722966
103b8ba3,NGA,LAGOS,LAGOS,6.4583462506816911,3.3720040702520753
103b8b09,NGA,LAGOS,LAGOS,6.4536634153162966,3.381704319213394
103b89a1,NGA,LAGOS,AJEGUNLE,6.4357147980624445,3.3158094313003854
103b8a25,NGA,LAGOS,APAPA,6.425620426080509,3.3459451279285877
103b8a37,NGA,LAGOS,LAGOS,6.4317951868592669,3.3560266291408225
103b8aff,NGA,LAGOS,LAGOS,6.4372189187898483,3.3816542592547671
103b8a3b,NGA,LAGOS,APAPA,6.4254808165355044,3.3515134631284536
103b8a21,NGA,LAGOS,AJEGUNLE,6.4216963979160031,3.3415140401363161
103b8a51,NGA,LAGOS,LAGOS,6.4329717405206788,3.3701663249165157
103b8865,NGA,LAGOS,LAGOS,6.4297606710091122,3.2705114082950235
103b8ae1,NGA,LAGOS,LAGOS,6.4368509330681016,3.3950579315261336
103b8985,NGA,LAGOS,AJEGUNLE,6.4333007500938937,3.3326839394265755
103b8a49,NGA,LAGOS,LAGOS,6.4316544220902081,3.3603973670325202
103b8a53,NGA,LAGOS,LAGOS,6.4348040503794461,3.3726094707887646
103b899f,NGA,LAGOS,AJEGUNLE,6.4356119134035827,3.3198103271126551
103b887b,NGA,LAGOS,LAGOS,6.42933283627555,3.2675796874118062
103b8afb,NGA,LAGOS,LAGOS,6.43224532935048,3.3886073452736558
103b8ae5,NGA,LAGOS,LAGOS,6.4317248519727155,3.3906568015879279
103b8987,NGA,LAGOS,AJEGUNLE,6.4308609149323255,3.337237571983716
103b8ac5,NGA,LAGOS,LAGOS,6.4245600328572205,3.4062096392337615
103b8871,NGA,LAGOS,LAGOS,6.4290914791972709,3.2666841442743122
103b8877,NGA,LAGOS,LAGOS,6.4281661334879123,3.261759777257156
103b8ba9,NGA,LAGOS,LAGOS,6.4477555911387912,3.3758900795313536
103b8981,NGA,LAGOS,AJEGUNLE,6.4375461151267546,3.3340886755033674
103b8a55,NGA,LAGOS,LAGOS,6.4360898331033205,3.3757048165380734
103b8a2f,NGA,LAGOS,APAPA,6.4312193114947931,3.3470215632550917
103b8b01,NGA,LAGOS,LAGOS,6.443778392719036,3.3827001665042524
103b8999,NGA,LAGOS,AJEGUNLE,6.4318959961183992,3.3208023872431429
103b89a3,NGA,LAGOS,AJEGUNLE,6.4322838399000917,3.3168925597881751
103b8989,NGA,LAGOS,AJEGUNLE,6.4269280188946629,3.338205915275489
103b899d,NGA,LAGOS,AJEGUNLE,6.4362987547170931,3.3277482440175472
1069cc13,NGA,PORT HARCOURT,PORT HARCOURT,4.78646413807391,7.023627772024815
1069cc91,NGA,PORT HARCOURT,PORT HARCOURT,4.7893192417115964,7.0608354745887905
1069ccfb,NGA,PORT HARCOURT,PORT HARCOURT,4.8086379733273708,7.0597630085544445
1069cc9b,NGA,PORT HARCOURT,PORT HARCOURT,4.7831098418466649,7.0611189577217948
1069c961,NGA,PORT HARCOURT,PORT HARCOURT,4.7515971006893967,7.0021688622786025
1069c959,NGA,PORT HARCOURT,PORT HARCOURT,4.7620699233560728,7.0045291171094277
1069ced1,NGA,PORT HARCOURT,PORT HARCOURT,4.7831401938498495,6.9734102786360763
1069c933,NGA,PORT HARCOURT,PORT HARCOURT,4.7740635417604977,6.9779331938151881
1069cb63,NGA,PORT HARCOURT,PORT HARCOURT,4.7720156795390674,7.06330009992106
1069c8d5,NGA,PORT HARCOURT,PORT HARCOURT,4.7743405751522729,6.9620135028090129
1069c929,NGA,PORT HARCOURT,PORT HARCOURT,4.769020181441018,6.96607717130853
1069cb99,NGA,PORT HARCOURT,PORT HARCOURT,4.755633595433741,7.0428329155726033
1069cc17,NGA,PORT HARCOURT,PORT HARCOURT,4.7926550840375866,7.0218824428250466
1069c94f,NGA,PORT HARCOURT,PORT HARCOURT,4.769258810486761,6.9947174999472423
1069cb79,NGA,PORT HARCOURT,PORT HARCOURT,4.7678328796425653,7.0537313363396121
1069c957,NGA,PORT HARCOURT,PORT HARCOURT,4.7649201445071006,7.0065107376910554
1069cbfd,NGA,PORT HARCOURT,PORT HARCOURT,4.7672805892858046,7.0082682783195347
1069cba3,NGA,PORT HARCOURT,PORT HARCOURT,4.7513581871536053,7.043085878860559
1069cb7b,NGA,PORT HARCOURT,PORT HARCOURT,4.7680331693706695,7.0557393023803607
1069cce5,NGA,PORT HARCOURT,PORT HARCOURT,4.80735238380038,7.0626931118970093
1069c955,NGA,PORT HARCOURT,PORT HARCOURT,4.7741881380314819,7.0034429652731216
1069cbff,NGA,PORT HARCOURT,PORT HARCOURT,4.7717664868982332,7.0091758209532546
1069cee7,NGA,PORT HARCOURT,LAGOS NIGERIA,4.7984505389080914,6.97131639237704
1069c92b,NGA,PORT HARCOURT,PORT HARCOURT,4.7706358472836268,6.9657184301718562
1069c95f,NGA,PORT HARCOURT,PORT HARCOURT,4.7555173051263528,7.0028461354761129
1069c953,NGA,PORT HARCOURT,PORT HARCOURT,4.7713778907408058,6.9985856508323181
1069cc93,NGA,PORT HARCOURT,PORT HARCOURT,4.790391390246433,7.0610483515726
103b8b03,NGA,LAGOS,LAGOS,6.4420719772918451,3.3868292368066104
103b8afd,NGA,LAGOS,LAGOS,6.4361353434884556,3.3870169740818148
103b8b1d,NGA,LAGOS,LAGOS,6.4401849380021341,3.3916193886745494
103c7571,NGA,LAGOS,LAGOS,6.3832638773146027,3.3869798774710396
103c756d,NGA,LAGOS,LAGOS,6.3783326117560319,3.391456342126201
103c7575,NGA,LAGOS,LAGOS,6.3777039520101226,3.3822784939478834
103c7573,NGA,LAGOS,LAGOS,6.3777547246217026,3.3868236885791791
103c756f,NGA,LAGOS,LAGOS,6.3828130559510594,3.391256176121018
103c7577,NGA,LAGOS,LAGOS,6.3834476857784219,3.3825624074252394
103c753d,NGA,LAGOS,LAGOS,6.3670881361837539,3.4011395847191008
103c7521,NGA,LAGOS,LAGOS,6.3565408001196415,3.4017146572405932
103c7523,NGA,LAGOS,LAGOS,6.3619285356216428,3.4018066882660989
103c0abf,NGA,LAGOS,LAGOS,6.3772336142266512,3.4372382028414465
103c7507,NGA,LAGOS,LAGOS,6.3627927795514658,3.3820605168237994
103c751b,NGA,LAGOS,LAGOS,6.3628679776707582,3.3914625855319667
103c75ab,NGA,LAGOS,LAGOS,6.3567510940918543,3.3766553692272963
103c753f,NGA,LAGOS,LAGOS,6.3723508492104086,3.4008845270860277
103c751f,NGA,LAGOS,LAGOS,6.356413455056197,3.3967415288431027
103c766f,NGA,LAGOS,TIN CAN ISLAND,6.3675018519465141,3.3265897119538828
103c7671,NGA,LAGOS,TIN CAN ISLAND,6.3674596656114524,3.330967557322333
103c7519,NGA,LAGOS,LAGOS,6.3625018307356944,3.3971123670381238
103c75d9,NGA,LAGOS,TIN CAN ISLAND,6.3677336443916328,3.34112385935567
103c0a95,NGA,LAGOS,LAGOS,6.3773613789369037,3.4424804241085623
