s2id,iso3,label,sublabel,lat,lon,dock,distance_from_shore_m,tmt_label,tmt_sublabel,PSMA_Use,Use
1040ebb3,NGA,KOKO,KOKO,5.9977691419086794,5.4500234181513614,true,0.0,,,,
1040ebb5,NGA,KOKO,KOKO,5.9957212741521033,5.4547047109208178,true,0.0,,,,
1040ebcd,NGA,KOKO,KOKO,5.9943703814766449,5.4648837233924459,true,0.0,,,,
1040ebcb,NGA,KOKO,KOKO,5.9962989928703632,5.4588474755151557,true,0.0,,,,
10684a47,NGA,ONNE,ONNE,4.665009793596445,7.1523031147544369,true,0.0,,,,
10684a75,NGA,ONNE,ONNE,4.686674652902215,7.15735629877626,true,0.0,,,,
10684a45,NGA,ONNE,ONNE,4.6650317760635414,7.1508179393112137,true,0.0,,,,
10684a3f,NGA,ONNE,ONNE,4.668613516770046,7.1586878068851654,true,0.0,,,,
106835f7,NGA,ONNE,ONNE,4.6951959159551553,7.1658326552137881,true,0.0,,,,
10684a15,NGA,ONNE,ONNE,4.6735213436372289,7.1588816120941416,true,0.0,,,,
10684a41,NGA,ONNE,ONNE,4.6685526420570334,7.1538483064557754,true,0.0,,,,
106835ff,NGA,ONNE,ONNE,4.6948900694299489,7.1754029669468453,true,0.0,,,,
10684a0b,NGA,ONNE,ONNE,4.6884857711642578,7.1582274415429143,true,0.0,,,,
10684a73,NGA,ONNE,ONNE,4.6832104325869421,7.15678596526462,true,0.0,,,,
106835f5,NGA,ONNE,ONNE,4.6949011011872486,7.15920716144994,true,0.0,,,,
106835f9,NGA,ONNE,ONNE,4.6942961375472771,7.1705925046789822,true,0.0,,,,
106835f3,NGA,ONNE,ONNE,4.69686709009809,7.1605304456602621,true,0.0,,,,
1068358b,NGA,ONNE,ONNE,4.6958764014115166,7.15725467880169,true,0.0,,,,
1068358d,NGA,ONNE,ONNE,4.698851665453339,7.1571344853983865,true,0.0,,,,
10684a0d,NGA,ONNE,ONNE,4.6835129667387818,7.1589237544958451,true,0.0,,,,
10684a6b,NGA,ONNE,ONNE,4.6737729292854322,7.15468458706907,true,0.0,,,,
10684a6d,NGA,ONNE,ONNE,4.6783796026430382,7.1559089044930575,true,0.0,,,,
