"";"s2id";"iso3";"label";"sublabel";"lat";"lon";"distance_from_shore_m";"dock"
"63";"103b8a53";"NGA";"LAGOS";"LAGOS";6,43480405037945;3,37260947078876;0;TRUE
"64";"103b8baf";"NGA";"LAGOS";"LAGOS";6,44938256975018;3,37380002917466;0;TRUE
"65";"103b8ac5";"NGA";"LAGOS";"LAGOS";6,42456003285722;3,40620963923376;0;TRUE
"66";"103b8981";"NGA";"LAGOS";"AJEGUNLE";6,43754611512675;3,33408867550337;0;TRUE
"67";"103b8aff";"NGA";"LAGOS";"LAGOS";6,43721891878985;3,38165425925477;0;TRUE
"68";"103b8b01";"NGA";"LAGOS";"LAGOS";6,44377839271904;3,38270016650425;0;TRUE
"69";"103b8a49";"NGA";"LAGOS";"LAGOS";6,43165442209021;3,36039736703252;0;TRUE
"70";"103b8983";"NGA";"LAGOS";"AJEGUNLE";6,43658910453947;3,3316394631841;0;TRUE
"71";"103b8a51";"NGA";"LAGOS";"LAGOS";6,43297174052068;3,37016632491652;0;TRUE
"72";"103b8a3b";"NGA";"LAGOS";"APAPA";6,4254808165355;3,35151346312845;0;TRUE
"73";"103b890b";"NGA";"LAGOS";"AJEGUNLE";6,4430014963608;3,31659806930405;0;TRUE
"74";"103b887b";"NGA";"LAGOS";"LAGOS";6,42933283627555;3,26757968741181;0;TRUE
"75";"103b8843";"NGA";"LAGOS";"LAGOS";6,42809905726457;3,28026873865905;0;TRUE
"76";"103b899d";"NGA";"LAGOS";"AJEGUNLE";6,43629875471709;3,32774824401755;0;TRUE
"77";"103b8a29";"NGA";"LAGOS";"AJEGUNLE";6,42945020489022;3,34103585195452;0;TRUE
"78";"103b8b9f";"NGA";"LAGOS";"LAGOS";6,46524294630215;3,37615541714434;0;TRUE
"79";"103b8b21";"NGA";"LAGOS";"LAGOS";6,4415311592746;3,40006241902762;0;TRUE
"80";"103b8871";"NGA";"LAGOS";"LAGOS";6,42909147919727;3,26668414427431;0;TRUE
"81";"103b8ac7";"NGA";"LAGOS";"LAGOS";6,42199513493882;3,4059428018723;0;TRUE
"82";"103b8b09";"NGA";"LAGOS";"LAGOS";6,4536634153163;3,38170431921339;0;TRUE
"83";"103b8a95";"NGA";"LAGOS";"LAGOS";6,41302382942561;3,39806683951501;0;TRUE
"84";"103b8ae1";"NGA";"LAGOS";"LAGOS";6,4368509330681;3,39505793152613;0;TRUE
"85";"103b8a55";"NGA";"LAGOS";"LAGOS";6,43608983310332;3,37570481653807;0;TRUE
"86";"103b8a39";"NGA";"LAGOS";"LAGOS";6,42713685830097;3,35471805548665;0;TRUE
"87";"103b8a37";"NGA";"LAGOS";"LAGOS";6,43179518685927;3,35602662914082;0;TRUE
"88";"103b8afb";"NGA";"LAGOS";"LAGOS";6,43224532935048;3,38860734527366;0;TRUE
"89";"103b8985";"NGA";"LAGOS";"AJEGUNLE";6,43330075009389;3,33268393942658;0;TRUE
"90";"103b8ba3";"NGA";"LAGOS";"LAGOS";6,45834625068169;3,37200407025208;0;TRUE
"91";"103b8ae5";"NGA";"LAGOS";"LAGOS";6,43172485197272;3,39065680158793;0;TRUE
"92";"103b8a27";"NGA";"LAGOS";"AJEGUNLE";6,42670834536462;3,3407960608901;0;TRUE
"93";"103b8ba9";"NGA";"LAGOS";"LAGOS";6,44775559113879;3,37589007953135;0;TRUE
"94";"103b8b1f";"NGA";"LAGOS";"LAGOS";6,44253875833082;3,39693404283378;0;TRUE
"95";"103b899b";"NGA";"LAGOS";"AJEGUNLE";6,43369484704304;3,32461552418416;0;TRUE
"96";"103b8a25";"NGA";"LAGOS";"APAPA";6,42562042608051;3,34594512792859;0;TRUE
"97";"10393523";"NGA";"NGA-59";"LAGOS";6,40909616737126;4,10110683188594;0;TRUE
"98";"1040e8ab";"NGA";"NGA-73";"KOKO";5,95939195813765;5,5595653471455;0;TRUE
"99";"10683519";"NGA";"NGA-75";"OKRIKA";4,72365498027015;7,11837401744078;0;TRUE
"100";"1040220d";"NGA";"NGA-80";"NIGERIA";5,14001471813934;5,40159761297678;0;TRUE
"101";"1069cf39";"NGA";"NGA-82";"BONGA";4,79006139203246;6,94352664355475;0;TRUE
"102";"1069cf41";"NGA";"NGA-82";"ONNE PORT";4,79407749515152;6,94153172969313;0;TRUE
"103";"1040e407";"NGA";"OGHARA";"OGHARA";5,94606225476327;5,64217156457552;0;TRUE
"104";"1040e3f7";"NGA";"OGHARA";"OGHARA";5,94248433638604;5,64693848982265;0;TRUE
"105";"1069cacf";"NGA";"OKRIKA";"OKRIKA";4,72006771553192;7,08586286057682;0;TRUE
"106";"1069cad1";"NGA";"OKRIKA";"OKRIKA";4,72283492882027;7,08411653436854;0;TRUE
"107";"106835f9";"NGA";"ONNE";"ONNE";4,69429613754728;7,17059250467898;0;TRUE
