s2id,iso3,label,gfw_sublabel,lat,lon,dock,distance_from_shore_m,port_or_anchorage,tmt_sublabel,GhanaEEZ
1023e6d7,TGO,LOME,LOME,6.1116473162742491,1.2963068510380604,FALSE,4000,Anchorage ,Anchorage ,
1023e753,TGO,LOME,LOME,6,1.2914276658854231,FALSE,8000,Anchorage ,Anchorage ,
1023dfd3,TGO,LOME,LOME,6.0584434514633907,1.2478045082946876,FALSE,8000,Anchorage ,Anchorage ,
1023e75b,TGO,LOME,LOME,6.0741529980206064,1.3008583331418226,FALSE,8000,Anchorage ,Anchorage ,
1023df8f,TGO,LOME,LOME,6.0369561095376412,1.2193813175722057,FALSE,8000,Anchorage ,Anchorage ,Ghana EEZ
1023e741,TGO,LOME,LOME,6.0848836281067031,1.3059258133392933,FALSE,8000,Anchorage ,Anchorage ,
1023dfeb,TGO,LOME,LOME,6.0480777567846467,1.2289689985774346,FALSE,8000,Anchorage ,Anchorage ,
1023e757,TGO,LOME,LOME,6.0688707554831129,1.2960513906886568,FALSE,8000,Anchorage ,Anchorage ,
1023de21,TGO,LOME,LOME,6.0637537677251689,1.267489778130007,FALSE,8000,Anchorage ,Anchorage ,
1023e0ab,TGO,LOME,LOME,6.0688569801555952,1.2866212812257862,FALSE,8000,Anchorage ,Anchorage ,
1023de23,TGO,LOME,LOME,6.0584535383599647,1.267361710659977,FALSE,8000,Anchorage ,Anchorage ,
1023e759,TGO,LOME,LOME,6.0688522465526491,1.3010888830633931,FALSE,8000,Anchorage ,Anchorage ,
1023e755,TGO,LOME,LOME,6.0690813707860993,1.2914669430610606,FALSE,8000,Anchorage ,Anchorage ,
1023dfc1,TGO,LOME,LOME,6.0479104355693289,1.2339950026568962,FALSE,8000,Anchorage ,Anchorage ,
1023dfd5,TGO,LOME,LOME,6.0639314464429752,1.2481331819385317,FALSE,8000,Anchorage ,Anchorage ,
1023e0a5,TGO,LOME,LOME,6.0741981485651095,1.2770338757720658,FALSE,8000,Anchorage ,Anchorage ,
1023df93,TGO,LOME,LOME,6.0430076101785133,1.2241180290629696,FALSE,8000,Anchorage ,Anchorage ,
1023de1f,TGO,LOME,LOME,6.0639642273706347,1.2724092066316668,FALSE,8000,Anchorage ,Anchorage ,
1023df8d,TGO,LOME,LOME,6.042993289926498,1.2192857509962272,FALSE,8000,Anchorage ,Anchorage ,Ghana EEZ
1023e751,TGO,LOME,LOME,6,1.2961831794024252,FALSE,8000,Anchorage ,Anchorage ,
1023e743,TGO,LOME,LOME,6.0796927838203674,1.3057707349761629,FALSE,8000,Anchorage ,Anchorage ,
1023e0a9,TGO,LOME,LOME,6.0690742496156256,1.2819446470977767,FALSE,8000,Anchorage ,Anchorage ,
1023e769,TGO,LOME,LOME,6.0788945107843837,1,FALSE,8000,Anchorage ,Anchorage ,
1023e0a7,TGO,LOME,LOME,6.0695513610410465,1.2772654822273539,FALSE,8000,Anchorage ,Anchorage ,
1023de19,TGO,LOME,LOME,6,1,FALSE,8000,Anchorage ,Anchorage ,
1023dfcf,TGO,LOME,LOME,6.0528549809096805,1.2434162795984562,FALSE,8000,Anchorage ,Anchorage ,
1023de2f,TGO,LOME,LOME,6.0585821762706082,1.257784939694486,FALSE,8000,Anchorage ,Anchorage ,
1023de29,TGO,LOME,LOME,6.0636346456830079,1.2579447385202247,FALSE,8000,Anchorage ,Anchorage ,
10216021,TGO,LOME,LOME,6.042826673503181,1.2096477275040562,FALSE,8000,Anchorage ,Anchorage ,Ghana EEZ
1023de2d,TGO,LOME,LOME,6.0585077836978245,1.2530694583648438,FALSE,8000,Anchorage ,Anchorage ,
1023e76f,TGO,LOME,LOME,6.0796581566868939,1.3153451222535926,FALSE,8000,Anchorage ,Anchorage ,
1023e0af,TGO,LOME,LOME,6.0740629911982227,1.2820351481138519,FALSE,8000,Anchorage ,Anchorage ,
1023de2b,TGO,LOME,LOME,6.063742736582955,1.2529544144629603,FALSE,8000,Anchorage ,Anchorage ,
1023df89,TGO,LOME,LOME,6.0369903994189151,1.2151460012735893,FALSE,8000,Anchorage ,Anchorage ,Ghana EEZ
10216027,TGO,LOME,LOME,6.0372659916191624,1.2096801431536928,FALSE,8000,Anchorage ,Anchorage ,Ghana EEZ
1023dfc9,TGO,LOME,LOME,6.048045805906761,1.2435707531047209,FALSE,8000,Anchorage ,Anchorage ,
1023df8b,TGO,LOME,LOME,6.0426196784671067,1.2148089358220893,FALSE,8000,Anchorage ,Anchorage ,Ghana EEZ
1023dfe9,TGO,LOME,LOME,6.0533073911038695,1.2290675219414549,FALSE,8000,Anchorage ,Anchorage ,
1023dfc7,TGO,LOME,LOME,6.0480156879864051,1.238743887138678,FALSE,8000,Anchorage ,Anchorage ,
1023dfc3,TGO,LOME,LOME,6.0530975772693107,1.2339303148802894,FALSE,8000,Anchorage ,Anchorage ,
1023df91,TGO,LOME,LOME,6.0372797227850743,1.224227364689632,FALSE,8000,Anchorage ,Anchorage ,Ghana EEZ
1023e0ad,TGO,LOME,LOME,6.0742357114899761,1.2866033043971998,FALSE,8000,Anchorage ,Anchorage ,
1023dfc5,TGO,LOME,LOME,6.0532881841498813,1.2385938161779653,FALSE,8000,Anchorage ,Anchorage ,
1023e76d,TGO,LOME,LOME,6,1.3150957851649325,FALSE,8000,Anchorage ,Anchorage ,
1023de27,TGO,LOME,LOME,6,1.2628524759366371,FALSE,8000,Anchorage ,Anchorage ,
1023de25,TGO,LOME,LOME,6.0585428361910232,1.2626794832494492,FALSE,8000,Anchorage ,Anchorage ,
1023d8c5,TGO,LOME,LOME,5.9689689730454711,1.2382850657598579,FALSE,16000,Anchorage ,Anchorage ,Ghana EEZ
1023dc19,TGO,LOME,LOME,6.0007066926354256,1.2958936599794466,FALSE,16000,Anchorage ,Anchorage ,
1023dc61,TGO,LOME,LOME,6.0002459000105821,1.3249111140712571,FALSE,16000,Anchorage ,Anchorage ,
1023d933,TGO,LOME,LOME,6,1.2626452258760887,FALSE,16000,Anchorage ,Anchorage ,
1023d8b7,TGO,LOME,LOME,6,1.2291986004451569,FALSE,16000,Anchorage ,Anchorage ,Ghana EEZ
1023dc13,TGO,LOME,LOME,5.9951846591627724,1.3062117174352861,FALSE,16000,Anchorage ,Anchorage ,
1023dc65,TGO,LOME,LOME,5.9958095819078121,1.3200404447150418,FALSE,16000,Anchorage ,Anchorage ,
1023d8af,TGO,LOME,LOME,5.9741062756296213,1.2193964470955692,FALSE,16000,Anchorage ,Anchorage ,Ghana EEZ
1023dcf7,TGO,LOME,LOME,6.0105351983525894,1.3297086575433845,FALSE,16000,Anchorage ,Anchorage ,
1023dc69,TGO,LOME,LOME,6.0003155496158511,1.3153158925243809,FALSE,16000,Anchorage ,Anchorage ,
1023ded3,TGO,LOME,LOME,6,1.2577620400557614,FALSE,16000,Anchorage ,Anchorage ,
1023d92b,TGO,LOME,LOME,5.9796133529845861,1.2531261811258863,FALSE,16000,Anchorage ,Anchorage ,
1023d8b9,TGO,LOME,LOME,5.9687401302680687,1.2290949779255653,FALSE,16000,Anchorage ,Anchorage ,Ghana EEZ
1023dec9,TGO,LOME,LOME,5.9898444304774916,1.2675061257563731,FALSE,16000,Anchorage ,Anchorage ,
1023df2b,TGO,LOME,LOME,5.9845522961647681,1.2479128318387007,FALSE,16000,Anchorage ,Anchorage ,
1023deaf,TGO,LOME,LOME,5.989650191662145,1.281521054678898,FALSE,16000,Anchorage ,Anchorage ,
1023d8c7,TGO,LOME,LOME,5.9688261520914914,1.2332585900134894,FALSE,16000,Anchorage ,Anchorage ,Ghana EEZ
1023deb1,TGO,LOME,LOME,6,1.2769643653503606,FALSE,16000,Anchorage ,Anchorage ,
1023d8c9,TGO,LOME,LOME,5.9741294363938966,1.2339236708434356,FALSE,16000,Anchorage ,Anchorage ,Ghana EEZ
1023dc17,TGO,LOME,LOME,6.0008532331088453,1.300878411345568,FALSE,16000,Anchorage ,Anchorage ,
1023d8bb,TGO,LOME,LOME,5.9685893019525844,1.2245723819526397,FALSE,16000,Anchorage ,Anchorage ,Ghana EEZ
1023dc59,TGO,LOME,LOME,6.0109823703511021,1.3254999023098031,FALSE,16000,Anchorage ,Anchorage ,
1023dc11,TGO,LOME,LOME,5.995114962021689,1.3013776038718974,FALSE,16000,Anchorage ,Anchorage ,
1023d8b1,TGO,LOME,LOME,5.9744522782707712,1.2233839695113196,FALSE,16000,Anchorage ,Anchorage ,Ghana EEZ
1023dea7,TGO,LOME,LOME,5.994897277408147,1.2866222967204957,FALSE,16000,Anchorage ,Anchorage ,
1023dc67,TGO,LOME,LOME,6.0009488751732594,1.3206127953288116,FALSE,16000,Anchorage ,Anchorage ,
1023decd,TGO,LOME,LOME,6,1.2625093038723894,FALSE,16000,Anchorage ,Anchorage ,
1023dea9,TGO,LOME,LOME,5.9898238725393336,1.2865483574491525,FALSE,16000,Anchorage ,Anchorage ,
1023dc1d,TGO,LOME,LOME,5.9949338444323192,1.2914949808594232,FALSE,16000,Anchorage ,Anchorage ,
1023d8d5,TGO,LOME,LOME,5.978980814612993,1.2478380264999607,FALSE,16000,Anchorage ,Anchorage ,
1023d8db,TGO,LOME,LOME,5.9687628416958995,1.2435415748589238,FALSE,16000,Anchorage ,Anchorage ,Ghana EEZ
1023d8cf,TGO,LOME,LOME,5.9739388033788519,1.2388478580319391,FALSE,16000,Anchorage ,Anchorage ,Ghana EEZ
1023d92d,TGO,LOME,LOME,6,1.2575566846900397,FALSE,16000,Anchorage ,Anchorage ,
1023ded5,TGO,LOME,LOME,5.9839775378519624,1,FALSE,16000,Anchorage ,Anchorage ,
1023dc6b,TGO,LOME,LOME,6.000169158548263,1.3108411790428993,FALSE,16000,Anchorage ,Anchorage ,
1023deb7,TGO,LOME,LOME,5.9894126734145585,1.2720347984710783,FALSE,16000,Anchorage ,Anchorage ,
1023dc03,TGO,LOME,LOME,5.9898593796859991,1.2917845001079666,FALSE,16000,Anchorage ,Anchorage ,
1023dc15,TGO,LOME,LOME,5.999822279499452,1.3061328935074976,FALSE,16000,Anchorage ,Anchorage ,
1023d8a5,TGO,LOME,LOME,5.968675542869712,1.2195930300050306,FALSE,16000,Anchorage ,Anchorage ,Ghana EEZ
1023d8d1,TGO,LOME,LOME,5.9745127916480492,1.2436231318918469,FALSE,16000,Anchorage ,Anchorage ,Ghana EEZ
1023dec7,TGO,LOME,LOME,5.9952711065719688,1.2670789150600028,FALSE,15000,Anchorage ,Anchorage ,
1023debd,TGO,LOME,LOME,6.0002344623078141,1.2769645518580721,FALSE,15000,Anchorage ,Anchorage ,
10216207,TGO,LOME,LOME,5.9746890382581155,1.209589780374779,FALSE,15000,Anchorage ,Anchorage ,Ghana EEZ
1023df4d,TGO,LOME,LOME,5.9847823583331321,1.2245044219788073,FALSE,15000,Anchorage ,Anchorage ,Ghana EEZ
1023dc25,TGO,LOME,LOME,6.0106315132703854,1.2957350533990539,FALSE,15000,Anchorage ,Anchorage ,
1023dc57,TGO,LOME,LOME,6.0160949254959419,1,FALSE,15000,Anchorage ,Anchorage ,
1023debf,TGO,LOME,LOME,6.0002206445363022,1.2722724830490051,FALSE,15000,Anchorage ,Anchorage ,
