s2id,iso3,label,sublabel,lat,lon,dock,distance_from_shore_m
1023e0af,TGO,LOME,LOME,6.0741,1.2820,FALSE,8000
1023de2b,TGO,LOME,LOME,6.0637,1.2530,FALSE,8000
1023df89,TGO,LOME,LOME,6.0370,1.2151,FALSE,8000
10216027,TGO,LOME,LOME,6.0373,1.2097,FALSE,8000
1023dfc9,TGO,LOME,LOME,6.0480,1.2436,FALSE,8000
1023df8b,TGO,LOME,LOME,6.0426,1.2148,FALSE,8000
1023dfe9,TGO,LOME,LOME,6.0533,1.2291,FALSE,8000
1023dfc7,TGO,LOME,LOME,6.0480,1.2387,FALSE,8000
1023dfc3,TGO,LOME,LOME,6.0531,1.2339,FALSE,8000
1023df91,TGO,LOME,LOME,6.0373,1.2242,FALSE,8000
1023e0ad,TGO,LOME,LOME,6.0742,1.2866,FALSE,8000
1023dfc5,TGO,LOME,LOME,6.0533,1.2386,FALSE,8000
1023e76d,TGO,LOME,LOME,6.0847,1.3151,FALSE,8000
1023de27,TGO,LOME,LOME,6.0639,1.2629,FALSE,8000
1023de25,TGO,LOME,LOME,6.0585,1.2627,FALSE,8000
1023d8c5,TGO,LOME,LOME,5.9690,1.2383,FALSE,16000
1023dc19,TGO,LOME,LOME,6.0007,1.2959,FALSE,16000
1023dc61,TGO,LOME,LOME,6.0002,1.3249,FALSE,16000
1023d933,TGO,LOME,LOME,5.9795,1.2626,FALSE,16000
1023d8b7,TGO,LOME,LOME,5.9742,1.2292,FALSE,16000
1023dc13,TGO,LOME,LOME,5.9952,1.3062,FALSE,16000
1023dc65,TGO,LOME,LOME,5.9958,1.3200,FALSE,16000
1023d8af,TGO,LOME,LOME,5.9741,1.2194,FALSE,16000
1023dcf7,TGO,LOME,LOME,6.0105,1.3297,FALSE,16000
1023dc69,TGO,LOME,LOME,6.0003,1.3153,FALSE,16000
1023ded3,TGO,LOME,LOME,5.9842,1.2578,FALSE,16000
1023d92b,TGO,LOME,LOME,5.9796,1.2531,FALSE,16000
1023d8b9,TGO,LOME,LOME,5.9687,1.2291,FALSE,16000
