"vessel_name","MMSI","Flag","AIS_Flag","imo","vessel_class_cat","vessel_class_confidence","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_start_confidence","trip_end","trip_end_confidence","trip_duration_days","end_port","prev_visit_timestamp","at_dock","abj_lagoon","abj_vridi","abj_cargo","abj_fishing","abj_offshore","fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","AISdisabling","num_AISdisabling","percent_ais_voyage","vv_url"
"BELBEK","212857000","CYP","CYP","9140970","added_TMT","TMT","Carrier vessel","carrier","MRT","CANSADO",2025-10-04 12:49:09,4,2025-10-11 08:20:57,4,6.8,"ABIDJAN",2025-09-12 22:10:58,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,NA,NA,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/5f4c3e0d4-4902-21a5-b0ca-b3aa0b734cb2?&start=2025-10-02&end=2025-10-13"")"
"BELBEK","212857000","CYP","CYP","9140970","added_TMT","TMT","Carrier vessel","carrier","NAM","WALVIS BAY",2025-11-10 01:14:32,4,2025-11-17 15:11:07,4,7.5,"ABIDJAN",2025-10-16 02:15:05,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,NA,NA,NA,FALSE,0,TRUE,1,FALSE,0,99.5,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/5f4c3e0d4-4902-21a5-b0ca-b3aa0b734cb2?&start=2025-11-08&end=2025-11-19"")"
"EGALUZE","224580000","ESP","ESP","8109620","fishing","high","Fishing vessel","Purse seine","CIV","ABIDJAN",2025-12-28 17:57:00,4,2026-01-19 08:43:52,4,21.6,"ABIDJAN",2025-12-28 17:57:00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,NA,NA,NA,FALSE,0,FALSE,0,FALSE,0,8.3,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/a0aa90604-4562-1097-2a1e-56ca4a57e84f?&start=2025-12-26&end=2026-01-21"")"
"EGALUZE","224580000","ESP","ESP","8109620","fishing","high","Fishing vessel","Purse seine","SEN","DAKAR",2025-12-04 22:13:26,4,2025-12-27 11:40:18,4,22.5,"ABIDJAN",2025-03-28 08:33:36,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,0,NA,NA,NA,FALSE,0,FALSE,0,TRUE,1,6.6,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/a0aa90604-4562-1097-2a1e-56ca4a57e84f?&start=2025-12-02&end=2025-12-29"")"
"ZUBEROA","224587000","ESP","ESP","8906456","fishing","high","Fishing vessel","Purse seine","CIV","ABIDJAN",2025-09-10 11:00:04,4,2025-10-20 05:48:32,4,39.8,"ABIDJAN",2025-09-10 11:00:04,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,NA,NA,NA,TRUE,1,TRUE,3,FALSE,0,4.8,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/dcefb03af-f441-973d-84c3-df67066f5a56?&start=2025-09-08&end=2025-10-22"")"
"ZUBEROA","224587000","ESP","ESP","8906456","fishing","high","Fishing vessel","Purse seine","CIV","ABIDJAN",2025-11-28 00:56:05,4,2026-01-07 07:02:34,4,40.3,"ABIDJAN",2025-11-28 00:56:05,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,0,NA,NA,NA,FALSE,0,FALSE,0,FALSE,0,4.1,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/dcefb03af-f441-973d-84c3-df67066f5a56?&start=2025-11-26&end=2026-01-09"")"
"F/V ALBACORA QUINCE","224727000","ESP","ESP","8206296","fishing","high","Fishing vessel","Purse seine","CIV","ABIDJAN",2025-09-12 18:01:33,4,2025-10-04 15:37:36,4,21.9,"ABIDJAN",2025-09-12 18:01:33,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0,NA,NA,NA,FALSE,0,FALSE,0,FALSE,0,3.4,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/83487d338-8fba-2645-7342-563c4cb5611f?&start=2025-09-10&end=2025-10-06"")"
"F/V ALBACORA QUINCE","224727000","ESP","ESP","8206296","fishing","high","Fishing vessel","Purse seine","CIV","ABIDJAN",2025-12-10 09:08:45,4,2025-12-10 12:55:51,4,0.1,"ABIDJAN",2025-12-10 09:08:45,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,NA,NA,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/83487d338-8fba-2645-7342-563c4cb5611f?&start=2025-12-08&end=2025-12-12"")"
"F/V ALBACORA QUINCE","224727000","ESP","ESP","8206296","fishing","high","Fishing vessel","Purse seine","CIV","ABIDJAN",2025-12-14 09:08:38,4,2025-12-14 12:23:07,4,0.1,"ABIDJAN",2025-12-14 09:08:38,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,NA,NA,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/83487d338-8fba-2645-7342-563c4cb5611f?&start=2025-12-12&end=2025-12-16"")"
"F/V ALBACORA QUINCE","224727000","ESP","ESP","8206296","fishing","high","Fishing vessel","Purse seine","CIV","ABIDJAN",2025-12-20 17:24:13,4,2026-01-20 15:10:48,4,30.9,"ABIDJAN",2025-12-20 17:24:13,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,0,NA,NA,NA,FALSE,0,FALSE,0,FALSE,0,4.3,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/83487d338-8fba-2645-7342-563c4cb5611f?&start=2025-12-18&end=2026-01-22"")"
