"vessel_name","MMSI","Flag","AIS_Flag","imo","vessel_class_cat","vessel_class_confidence","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_start_confidence","trip_end","trip_end_confidence","trip_duration_days","end_port","prev_visit_timestamp","at_dock","tema_general","tema_fuel","tema_fishing","takoradi_general","num_fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","AISdisabling","num_AISdisabling","percent_ais_voyage","vv_url"
"GREENSEA BERMEO","245340000","NLD","NLD","9238703","carrier","high","carrier","carrier","MRT","CANSADO",2025-07-24 16:55:39,4,2025-07-30 08:18:59,4,5.6,"TEMA",NA,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/d53ba7d67-79e3-2bc0-1e2b-743bd53c82bb?&start=2025-07-22&end=2025-08-01"")"
"COOL GIRL","354294000","PAN","PAN","9194921","carrier","low","carrier","carrier","MRT","CANSADO",2025-06-24 15:43:39,4,2025-07-01 14:31:05,4,6.9,"TEMA",2024-12-15 19:23:22,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ad9a86c7c-cdba-b3c9-c490-ef49adf8c407?&start=2025-06-22&end=2025-07-03"")"
"NOVAYA ZEMLYA","325955000","DMA","DMA","8514796","carrier","high","carrier","carrier","MRT","CANSADO",2025-07-09 16:35:23,4,2025-07-16 13:57:42,4,6.9,"TEMA",2024-09-20 19:03:38,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/7b6688435-5b3a-7a03-f26b-8ac411de28aa?&start=2025-07-07&end=2025-07-18"")"
"ORANGE STRAIT","311001555","BHS","BHS","9795995","carrier","high","carrier","carrier","MRT","CANSADO",2025-07-22 20:26:28,4,2025-07-29 22:09:47,3,7,"TEMA",2025-06-06 22:00:44,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/5b95ba21d-d462-d166-1993-7571da3d12a8?&start=2025-07-20&end=2025-07-31"")"
"FRIO CHIKUMA","311001575","BHS","BHS","9184536","carrier","high","carrier","carrier","MRT","CANSADO",2025-06-29 02:36:44,4,2025-07-06 16:25:55,4,7.5,"TEMA",2025-02-01 23:35:09,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/99978859a-a724-2fdc-81f3-5539b528a994?&start=2025-06-27&end=2025-07-08"")"
"ORANGE SEA","311000713","BHS","BHS","9795971","carrier","high","carrier","carrier","MRT","CANSADO",2025-07-08 01:12:17,4,2025-07-16 10:40:28,4,8.4,"TEMA",2024-09-15 08:03:19,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,TRUE,1,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/f8f94e538-83e7-3344-2d4a-09ad94082937?&start=2025-07-06&end=2025-07-18"")"
"SIERRA QUEEN","311001226","BHS","BHS","9127928","carrier","high","carrier","carrier","MRT","CANSADO",2025-07-17 20:33:43,4,2025-07-23 07:25:27,4,5.4,"TEMA",2024-08-25 19:01:05,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/0c6c3fd83-3c96-9c78-eb31-18e4eec23949?&start=2025-07-15&end=2025-07-25"")"
"HLF9","412209620","CHN","CHN",NA,"fishing","high","fishing","trawlers","AGO","LOBITO",2025-05-22 07:00:58,4,2025-07-17 10:16:27,4,56.1,"TEMA",NA,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,0.3,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/411023902-2cce-4134-176e-408abc08f4e4?&start=2025-05-20&end=2025-07-19"")"
"DEEP WATERS","677028300","TZA","TZA",NA,"carrier","low","other","other","TGO","LOME",2025-07-05 04:17:37,4,2025-07-20 22:51:23,4,15.8,"TEMA",2025-07-04 11:22:28,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,4,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/e2117ecf7-7ec6-3370-3cbb-c22b4a76fd51?&start=2025-07-03&end=2025-07-22"")"
"DEEP WATERS","677028300","TZA","TZA",NA,"carrier","low","other","other","TGO","LOME",2025-06-29 04:40:22,4,2025-07-01 14:32:51,4,2.4,"TEMA",2025-05-08 03:30:32,TRUE,FALSE,TRUE,TRUE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,6.7,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/e2117ecf7-7ec6-3370-3cbb-c22b4a76fd51?&start=2025-06-27&end=2025-07-03"")"
