"vessel_name","MMSI","Flag","AIS_Flag","imo","vessel_class_cat","vessel_class_confidence","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_start_confidence","trip_end","trip_end_confidence","trip_duration_days","end_port","prev_visit_timestamp","entrance","navy","west_basin","mid_basin","east_basin","container","dak_fishing","dak_offshore","fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","AISdisabling","num_AISdisabling","percent_ais_voyage","vv_url"
"V CENTENARIO","224739000","ESP","ESP","7812012","carrier","high","carrier","carrier","AGO","LUANDA",2025-07-14 16:29:35,"4",2025-07-24 06:50:01,"4","9.6","DAKAR",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/be2b879d8-8ec0-02cd-249c-a607a5007740?&start=2025-07-12&end=2025-07-26"")"
"MAJESTIC III","235002499","GBR","GBR",NA,"fishing","high","fishing","trawlers","ESP","MORRO DEL JABLE",2025-07-13 08:25:43,"4",2025-07-18 05:00:59,"4","4.8","DAKAR",NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,99.2,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ee3b4eb25-5fb1-ee4c-f384-8f55c3b5f846?&start=2025-07-11&end=2025-07-20"")"
"ARGONAUT IV","250104890","IRL","IRL",NA,"fishing","high","fishing","other_purse_seines","IRL","IRL-65",2025-09-09 15:01:04,"4",2025-09-22 17:38:48,"3","13.1","DAKAR",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,22.2,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/b1aa567cd-d9e9-f200-10d3-e4a3e7e1b2e3?&start=2025-09-07&end=2025-09-24"")"
"ELEKTRA","257248000","NOR","NOR","9176577","fishing","high","fishing","trawlers","CIV","ABIDJAN",2025-08-31 20:25:52,"4",2025-09-04 00:53:34,"4","3.2","DAKAR",NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/6ba1672c0-0f62-e3eb-7d08-1330e3735b3f?&start=2025-08-29&end=2025-09-06"")"
"ILHAN YILMAZ 1","271069004","MRT","TUR",NA,"fishing","high","fishing","other_purse_seines","MRT","CANSADO",2025-09-26 12:11:38,"4",2025-09-28 05:52:54,"4","1.7","DAKAR",NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,83.3,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/95561deec-cd25-474f-ae9e-8b6d02842763?&start=2025-09-24&end=2025-09-30"")"
"MENG XIN18","412209113","CHN","CHN",NA,"fishing","high","fishing","trawlers","GIN","CONAKRY",2025-07-06 20:28:05,"4",2025-07-09 06:08:41,"4","2.4","DAKAR",2025-01-15 07:06:27,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,37.3,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/fc43f9c7d-d52f-c9cd-5e98-eb87949975ef?&start=2025-07-04&end=2025-07-11"")"
"MENG XIN18","412209113","CHN","CHN",NA,"fishing","high","fishing","trawlers","SEN","DAKAR",2025-08-02 20:22:53,"4",2025-08-12 12:51:19,"4","9.7","DAKAR",2025-08-02 20:22:53,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,0.9,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/fc43f9c7d-d52f-c9cd-5e98-eb87949975ef?&start=2025-07-31&end=2025-08-14"")"
"YI FENG 27","412209125","CHN","CHN",NA,"fishing","high","fishing","trawlers","MEX","MEX-175",2025-08-29 01:31:25,"4",2025-09-25 14:18:30,"3","27.5","DAKAR",2025-01-25 09:57:27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,0.8,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/9d8147393-395c-2793-4143-79ae96cfe78b?&start=2025-08-27&end=2025-09-27"")"
"LUQINGYUAN022","412331028","CHN","CHN",NA,"fishing","high","fishing","set_longlines","SEN","DAKAR",2025-09-17 08:13:05,"4",2025-09-17 23:55:00,"4","0.6","DAKAR",2025-09-17 08:13:05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/95e8a294f-f1d0-524d-14e8-e844231ebb93?&start=2025-09-15&end=2025-09-19"")"
"GLOVIS STELLA","440257000","KOR","KOR","9749570","carrier","low","carrier","other","BEL","ANTWERP",2025-07-22 22:55:27,"4",2025-07-30 14:37:24,"4","7.6","DAKAR",2025-07-30 13:34:26,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,97.8,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/3e90af59f-f09d-89cc-0140-4c92fdcbae7f?&start=2025-07-20&end=2025-08-01"")"
"TWENTY","629009232","GMB","GMB",NA,"fishing","high","fishing","trawlers","SEN","DAKAR",2025-06-03 22:37:50,"4",2025-07-16 02:35:38,"4","42.1","DAKAR",2025-06-03 22:37:50,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,TRUE,1,FALSE,0,0.3,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/6bbd91de8-8b1a-ef39-5af1-c12d36d238c7?&start=2025-06-01&end=2025-07-18"")"
"TWENTY","629009232","GMB","GMB",NA,"fishing","high","fishing","trawlers","SEN","DAKAR",2025-07-21 02:43:59,"4",2025-09-02 07:12:49,"4","43.2","DAKAR",2025-07-21 02:43:59,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,NA,FALSE,NA,FALSE,0,TRUE,1,FALSE,0,1.1,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/6bbd91de8-8b1a-ef39-5af1-c12d36d238c7?&start=2025-07-19&end=2025-09-04"")"
"GABU REEFER","629009266","GMB","GMB","8300949","carrier","high","carrier","carrier","GMB","BANJUL",2025-07-20 15:19:10,"4",2025-07-21 07:38:38,"4","0.7","DAKAR",2025-06-18 01:59:54,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/9827ea1ea-a120-f374-0cc6-138b38bd8130?&start=2025-07-18&end=2025-07-23"")"
"GABU REEFER","629009266","GMB","GMB","8300949","carrier","high","carrier","carrier","GMB","BANJUL",2025-07-30 12:30:16,"4",2025-07-31 07:50:48,"4","0.8","DAKAR",2025-07-22 01:29:23,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/9827ea1ea-a120-f374-0cc6-138b38bd8130?&start=2025-07-28&end=2025-08-02"")"
