"vessel_name","MMSI","Flag","AIS_Flag","imo","vessel_class_cat","vessel_class_confidence","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_start_confidence","trip_end","trip_end_confidence","trip_duration_days","end_port","prev_visit_timestamp","entrance","navy","west_basin","mid_basin","east_basin","container","dak_fishing","dak_offshore","fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","AISdisabling","num_AISdisabling","percent_ais_voyage","vv_url"
"HAI FENG 823","412660240","CHN","CHN","8863496","carrier","high","carrier","carrier","GNB","BISSAU",2025-07-21 18:18:21,4,2025-07-23 06:35:07,4,1.5,"DAKAR",2025-07-08 12:14:04,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,TRUE,1,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/d9b062f9d-de93-3a60-dd7c-87572c21a53b?&start=2025-07-19&end=2025-07-25"")"
"JAIME R","224069140","","ESP","9098880","fishing","high","fishing","trawlers","SEN","DAKAR",2025-06-22 10:58:35,4,2025-07-24 04:55:17,4,31.7,"DAKAR",2025-06-22 10:58:35,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,75,236.343055555556,"GNB, SEN",FALSE,"NAMMCO, IWC, ACAP, SRFC, ICCAT",FALSE,0,TRUE,26,FALSE,0,18.5,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c55db3f88-825c-7b5e-ea2b-90578f54ef3f?&start=2025-06-20&end=2025-07-26"")"
"LA PINTA R","224175000","","ESP",NA,"fishing","high","fishing","trawlers","SEN","DAKAR",2025-06-17 00:44:22,4,2025-07-24 05:29:44,4,37.2,"DAKAR",2025-06-17 00:44:22,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1095,9128.94166666667,"SEN, GNB",FALSE,"ICCAT, ACAP, IWC, SRFC, NAMMCO",FALSE,0,TRUE,60,FALSE,0,60,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c17075854-49bb-6c86-ad25-6b9f2d6f6ddd?&start=2025-06-15&end=2025-07-26"")"
"HAIXIN29","412549434","","CHN",NA,"fishing","high","fishing","trawlers","SEN","DAKAR",2025-06-21 17:54:16,4,2025-07-24 12:34:52,4,32.8,"DAKAR",2025-06-21 17:54:16,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,420,6446.425,"GNB",FALSE,"IWC, NAMMCO, ICCAT, ACAP, SRFC",FALSE,0,TRUE,5,FALSE,0,92.2,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/5383e7875-5996-3d2e-1c30-45975f2c9902?&start=2025-06-19&end=2025-07-26"")"
"EGALUZE","224580000","ESP","ESP","8109620","fishing","high","fishing","purse_seines","SEN","DAKAR",2025-07-08 01:25:10,4,2025-07-25 23:29:37,4,17.9,"DAKAR",2025-07-08 01:25:10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,55,300.036111111111,"CPV, MRT",FALSE,"SRFC, NAMMCO, ACAP, IWC, ICCAT",FALSE,0,TRUE,4,TRUE,4,20.6,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/a0aa90604-4562-1097-2a1e-56ca4a57e84f?&start=2025-07-06&end=2025-07-27"")"
"ZILLARRI","312507000","BLZ","BLZ","9095266","fishing","low","support","purse_seine_support","CPV","MINDELO",2025-07-23 18:10:36,4,2025-07-26 07:56:35,4,2.5,"DAKAR",2025-07-20 12:46:12,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,91.9,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/1eb24bd25-5b68-347b-9498-ad3df136de22?&start=2025-07-21&end=2025-07-28"")"
"YIFENG7","412200996","CHN","CHN",NA,"fishing","med","fishing","trawlers","SEN","DAKAR",2025-06-24 23:08:50,4,2025-07-27 11:46:13,4,32.5,"DAKAR",2025-06-24 23:08:50,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,10,20.3611111111111,"GNB",FALSE,"ACAP, ICCAT, NAMMCO, IWC, SRFC",FALSE,0,TRUE,17,FALSE,0,12.4,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/e0d511224-49a9-8047-a2ed-4fc1d0aaf626?&start=2025-06-22&end=2025-07-29"")"
"YI FENG 30","412209128","CHN","CHN",NA,"fishing","high","fishing","unknown","SEN","DAKAR",2025-06-25 22:04:56,4,2025-07-28 05:03:05,4,32.3,"DAKAR",2025-06-25 22:04:56,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,30,124.397222222222,"GNB",FALSE,"NAMMCO, ACAP, IWC, SRFC, ICCAT",FALSE,0,TRUE,29,FALSE,0,26.1,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/950337f10-0b9d-d461-c26c-1f50ba61d104?&start=2025-06-23&end=2025-07-30"")"
"GARBOLA","225461000","ESP","ESP","9747560","fishing","low","support","purse_seine_support","SEN","DAKAR",2025-06-02 08:50:01,4,2025-07-28 05:05:47,4,55.8,"DAKAR",2025-06-02 08:50:01,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,TRUE,1,TRUE,2,2.1,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/cf930809d-da1e-0f57-d725-bee6826624ab?&start=2025-05-31&end=2025-07-30"")"
"COSTA DE  HUELVA","224854000","ESP","ESP","9379820","fishing","high","fishing","trawlers","SEN","DAKAR",2025-06-13 16:53:56,4,2025-07-28 05:34:35,4,44.5,"DAKAR",2025-06-13 16:53:56,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,545,21129.3916666667,"GNB, SEN",FALSE,"ACAP, NAMMCO, SRFC, IWC, ICCAT",FALSE,0,TRUE,4,FALSE,0,98.3,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/1e31d7cd6-6c64-7b64-d9fd-71ea2e122789?&start=2025-06-11&end=2025-07-30"")"
