"vessel_name","MMSI","Flag","AIS_Flag","imo","vessel_class_cat","vessel_class_confidence","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_start_confidence","trip_end","trip_end_confidence","trip_duration_days","end_port","prev_visit_timestamp","at_dock","abj_lagoon","abj_vridi","abj_cargo","abj_fishing","abj_offshore","fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","AISdisabling","num_AISdisabling","percent_ais_voyage","vv_url"
"JC GLORIA","312155000","BLZ","BLZ","8988818","fishing","low","Fishing vessel","Purse seine","CIV","ABIDJAN",2025-07-31 09:50:28,"4",2025-08-20 07:58:51,"4","19.9","ABIDJAN",2025-07-31 09:50:28,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,NA,NA,NA,FALSE,0,FALSE,0,TRUE,1,7.3,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ba4343d28-82b7-2393-0c4d-15ac0c4951fb?&start=2025-07-29&end=2025-08-22"")"
"JC GLORIA","312155000","BLZ","BLZ","8988818","fishing","low","Fishing vessel","Purse seine","CIV","ABIDJAN",2025-07-01 10:35:00,"4",2025-07-26 06:35:21,"4","24.8","ABIDJAN",2025-07-01 10:35:00,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,NA,NA,NA,FALSE,0,FALSE,0,TRUE,1,14.2,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ba4343d28-82b7-2393-0c4d-15ac0c4951fb?&start=2025-06-29&end=2025-07-28"")"
"JC GLORIA","312155000","BLZ","BLZ","8988818","fishing","low","Fishing vessel","Purse seine","CIV","ABIDJAN",2025-08-25 11:06:40,"4",2025-09-11 02:25:28,"4","16.6","ABIDJAN",2025-08-25 11:06:40,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,0,NA,NA,NA,FALSE,0,FALSE,0,FALSE,0,9.5,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ba4343d28-82b7-2393-0c4d-15ac0c4951fb?&start=2025-08-23&end=2025-09-13"")"
"BELBEK","212857000","CYP","CYP","9140970","added_TMT","TMT","Carrier vessel","carrier","NAM","WALVIS BAY",2025-08-30 18:45:18,"4",2025-09-07 16:27:00,"4","7.9","ABIDJAN",2024-12-20 18:27:23,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,NA,NA,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/5f4c3e0d4-4902-21a5-b0ca-b3aa0b734cb2?&start=2025-08-28&end=2025-09-09"")"
"FRIO NEREUS","273254830","RUS","RUS","9076258","added_TMT","TMT","carrier","carrier","NGA","LAGOS",2025-08-27 17:52:26,"4",2025-09-06 15:00:33,"4","9.9","ABIDJAN",NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,NA,NA,NA,FALSE,0,TRUE,6,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/e36b0c9bd-de7f-2695-da6b-2a20fb65e025?&start=2025-08-25&end=2025-09-08"")"
"LIBRA","277327000","LTU","LTU","9009683","carrier","high","Carrier vessel","carrier","NAM","WALVIS BAY",2025-07-25 16:18:04,"4",2025-08-01 07:14:58,"4","6.6","ABIDJAN",2025-06-29 02:59:52,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,NA,NA,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c4f5dd543-3c32-676f-2e07-f9a8b9b6b35a?&start=2025-07-23&end=2025-08-03"")"
"CASSIOPEA","277397000","LTU","LTU","9047269","added_TMT","TMT","Carrier vessel","carrier","MRT","CANSADO",2025-08-20 20:19:41,"4",2025-08-25 21:11:55,"4","5","ABIDJAN",2025-02-15 06:29:36,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,NA,NA,NA,FALSE,0,TRUE,1,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/7483bb953-3a1d-a5b3-c25b-3c87872cbc7b?&start=2025-08-18&end=2025-08-27"")"
"GREEN BRAZIL","309681000","BHS","BHS",NA,"carrier","high","Carrier vessel","carrier","MRT","CANSADO",2025-07-22 20:01:13,"4",2025-07-27 15:11:08,"4","4.8","ABIDJAN",2025-05-01 17:20:31,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,NA,NA,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ffc999ae0-0ca9-8e3b-7eef-21d426de0782?&start=2025-07-20&end=2025-07-29"")"
"CROWN JADE","311000791","BHS","BHS","9128051","added_TMT","TMT","Carrier vessel","carrier","SEN","DAKAR",2025-08-04 20:59:18,"4",2025-08-08 23:20:16,"4","4.1","ABIDJAN",NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0,NA,NA,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ce73757af-fa62-9997-9274-3c40de17c524?&start=2025-08-02&end=2025-08-10"")"
"CROWN SAPPHIRE","311000855","BHS","BHS","9159115","added_TMT","TMT","Carrier vessel","carrier","DNK","SKAGEN",2025-08-18 18:46:15,"4",2025-08-29 18:25:26,"4","11","ABIDJAN",NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0,NA,NA,NA,FALSE,0,FALSE,0,FALSE,0,99.2,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/a7332a0d7-7d0e-aa0a-5987-7313d025e136?&start=2025-08-16&end=2025-08-31"")"
