vessel_name,MMSI,Flag,AIS_Flag,imo,vessel_class_cat,vessel_class_confidence,vessel_class,vessel_type,previous_port_country,previous_port,trip_start,trip_start_confidence,trip_end,trip_end_confidence,trip_duration_days,end_port,prev_visit_timestamp,at_dock,tema_general,tema_fuel,tema_fishing,tema_offshore,takoradi_general,takoradi_north,sekondi_takoradi,takoradi_offshore,num_fishing,fishing_hours,fishing_eez,fishing_hs,fishing_rfmos,encounter,num_encounters,loitering,num_loitering,AISdisabling,num_AISdisabling,percent_ais_voyage,vv_url
ORANGE SEA,311000713,BHS,BHS,9795971,carrier,high,carrier,carrier,MRT,CANSADO,7/8/25 1:12,4,7/16/25 10:40,4,8.4,TEMA,9/15/24 8:03,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,TRUE,1,FALSE,0,100,https://globalfishingwatch.org/map/vessel/f8f94e538-83e7-3344-2d4a-09ad94082937?&start=2025-07-06&end=2025-07-18
ORANGE STRAIT,311001555,BHS,BHS,9795995,carrier,high,carrier,carrier,MRT,CANSADO,7/22/25 20:26,4,7/29/25 22:09,3,7,TEMA,6/6/25 22:00,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,https://globalfishingwatch.org/map/vessel/5b95ba21d-d462-d166-1993-7571da3d12a8?&start=2025-07-20&end=2025-07-31
RANGIROA,312599000,BLZ,BLZ,8210259,carrier,high,carrier,carrier,TGO,LOME,7/30/25 21:25,4,7/31/25 7:29,3,0.4,TEMA,5/25/25 8:14,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,https://globalfishingwatch.org/map/vessel/2a3ce48d8-86e0-ab1e-5be1-448b5ec9e2aa?&start=2025-07-28&end=2025-08-02
ORANGE  FROST,306883000,CUW,BES,9797656,carrier,low,other,other,MRT,CANSADO,7/6/25 21:12,4,7/12/25 20:15,4,6,TEMA,5/22/25 19:17,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,https://globalfishingwatch.org/map/vessel/b06d84389-9205-2d67-6632-e62e97492eaa?&start=2025-07-04&end=2025-07-14
NOVAYA ZEMLYA,325955000,DMA,DMA,8514796,carrier,high,carrier,carrier,MRT,CANSADO,7/9/25 16:35,4,7/16/25 13:57,4,6.9,TEMA,9/20/24 19:03,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,https://globalfishingwatch.org/map/vessel/7b6688435-5b3a-7a03-f26b-8ac411de28aa?&start=2025-07-07&end=2025-07-18
GREENSEA BERMEO,245340000,NLD,NLD,9238703,carrier,high,carrier,carrier,MRT,CANSADO,7/24/25 16:55,4,7/30/25 8:18,4,5.6,TEMA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,https://globalfishingwatch.org/map/vessel/d53ba7d67-79e3-2bc0-1e2b-743bd53c82bb?&start=2025-07-22&end=2025-08-01
COOL GIRL,354294000,PAN,PAN,9194921,carrier,low,carrier,carrier,MRT,CANSADO,6/24/25 15:43,4,7/1/25 14:31,4,6.9,TEMA,12/15/24 19:23,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,https://globalfishingwatch.org/map/vessel/ad9a86c7c-cdba-b3c9-c490-ef49adf8c407?&start=2025-06-22&end=2025-07-03
DEEP WATERS,677028300,TZA,TZA,NA,carrier,low,other,other,TGO,LOME,6/29/25 4:40,4,7/1/25 14:32,4,2.4,TEMA,5/8/25 3:30,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,6.7,https://globalfishingwatch.org/map/vessel/e2117ecf7-7ec6-3370-3cbb-c22b4a76fd51?&start=2025-06-27&end=2025-07-03
DEEP WATERS,677028300,TZA,TZA,NA,carrier,low,other,other,TGO,LOME,7/5/25 4:17,4,7/20/25 22:51,4,15.8,TEMA,7/4/25 11:22,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,4,https://globalfishingwatch.org/map/vessel/e2117ecf7-7ec6-3370-3cbb-c22b4a76fd51?&start=2025-07-03&end=2025-07-22
DICHA SIETE,312177000,BLZ,BLZ,9197650,fishing,low,passenger,passenger,GHA,TEMA,7/17/25 9:12,4,8/25/25 16:20,4,39.3,TEMA,7/17/25 9:12,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,71,https://globalfishingwatch.org/map/vessel/5758f6250-0c66-39ba-641f-74a058d93404?&start=2025-07-15&end=2025-08-27
BAO WIN,312797000,BLZ,BLZ,7360320,fishing,high,fishing,tuna_purse_seines,CIV,ABIDJAN,9/27/25 9:59,4,9/30/25 15:32,4,3.2,TEMA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,35.4,https://globalfishingwatch.org/map/vessel/b5d3439b6-6d19-5385-9d6b-08a0dfd60fa7?&start=2025-09-25&end=2025-10-02
DICHA UNO,312697000,BLZ,BLZ,8029026,fishing,low,fishing,inconclusive,CIV,ABIDJAN,7/27/25 12:55,4,7/30/25 6:13,4,2.7,TEMA,4/30/25 19:28,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,10,30.89444444,GHA,FALSE,"ACAP, FCWC, IWC, NAMMCO, ICCAT",FALSE,0,FALSE,0,TRUE,1,28.4,https://globalfishingwatch.org/map/vessel/2842f60c5-5d09-d79a-ea8d-a65b3a62a81b?&start=2025-07-25&end=2025-08-01
DICHA SIETE,312177000,BLZ,BLZ,9197650,fishing,low,passenger,passenger,CIV,PORT BOUET ANCHORAGE,7/3/25 10:15,4,7/4/25 8:24,4,0.9,TEMA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,78.3,https://globalfishingwatch.org/map/vessel/5758f6250-0c66-39ba-641f-74a058d93404?&start=2025-07-01&end=2025-07-06
HLF9,412209620,CHN,CHN,NA,fishing,high,fishing,trawlers,AGO,LOBITO,5/22/25 7:00,4,7/17/25 10:16,4,56.1,TEMA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,0.3,https://globalfishingwatch.org/map/vessel/411023902-2cce-4134-176e-408abc08f4e4?&start=2025-05-20&end=2025-07-19
LUYANKAIYUANYU877,412330999,CHN,CHN,NA,fishing,high,fishing,fishing,GHA,TEMA,7/1/25 2:25,4,7/10/25 10:41,4,9.3,TEMA,10/6/25 6:11,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,1.3,https://globalfishingwatch.org/map/vessel/1a2aa8358-8492-c841-4eef-e93b65af6ac6?&start=2025-06-29&end=2025-07-12
LURONGYUANYU217,412329515,CHN,CHN,NA,fishing,high,fishing,trawlers,GIN,CONAKRY,7/14/25 0:46,3,7/14/25 4:46,3,0.2,TEMA,7/28/25 18:28,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,20,https://globalfishingwatch.org/map/vessel/c18732496-63f4-bef2-fc9a-cf5bdbbecad3?&start=2025-07-12&end=2025-07-16
LURONGYUANYU217,412329515,CHN,CHN,NA,fishing,high,fishing,trawlers,GHA,TEMA,8/15/25 13:01,3,9/3/25 9:54,3,18.8,SEKONDI-TAKORADI,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,0.7,https://globalfishingwatch.org/map/vessel/c18732496-63f4-bef2-fc9a-cf5bdbbecad3?&start=2025-08-13&end=2025-09-05
HAILUFENG 10,412209630,CHN,CHN,NA,fishing,high,fishing,fishing,GHA,TEMA,8/1/25 5:12,3,8/1/25 19:35,3,0.6,SEKONDI-TAKORADI,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,33.3,https://globalfishingwatch.org/map/vessel/005035fdd-d0cd-9fb3-2c30-9a5412e1324e?&start=2025-07-30&end=2025-08-03
LURONGYUANYU215,412329513,CHN,CHN,NA,fishing,low,other,other,GIN,CONAKRY,7/21/25 0:00,4,9/6/25 15:08,4,47.6,SEKONDI-TAKORADI,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,1.3,https://globalfishingwatch.org/map/vessel/38ebd76c7-72a6-055c-23b5-387fefb03a5a?&start=2025-07-19&end=2025-09-08
F/V GUEOTEC,227549000,FRA,FRA,8912986,fishing,high,fishing,tuna_purse_seines,CIV,ABIDJAN,6/23/25 9:24,4,8/3/25 7:10,4,40.9,TEMA,10/7/24 15:32,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,20,21.58611111,GHA,FALSE,"ICCAT, IWC, NAMMCO, ACAP, FCWC",FALSE,0,FALSE,0,FALSE,0,1.9,https://globalfishingwatch.org/map/vessel/96e442d84-489f-962f-588a-33e367aa0330?&start=2025-06-21&end=2025-08-05
MAJESTIC III,235002499,GBR,GBR,NA,fishing,high,fishing,trawlers,LBR,MONROVIA,8/10/25 8:25,4,8/15/25 19:29,3,5.5,TEMA,NA,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,5,1.990277778,LBR,FALSE,"NAMMCO, IWC, FCWC, ICCAT, ACAP",FALSE,0,FALSE,0,FALSE,0,100,https://globalfishingwatch.org/map/vessel/ee3b4eb25-5fb1-ee4c-f384-8f55c3b5f846?&start=2025-08-08&end=2025-08-17
IBFISH3,271073172,GEO,TUR,9808534,fishing,high,fishing,other_purse_seines,TGO,LOME,7/10/25 20:18,4,7/12/25 8:10,4,1.5,SEKONDI-TAKORADI,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,10,3.733333333,GHA,FALSE,"IWC, ACAP, NAMMCO, ICCAT, FCWC",FALSE,0,FALSE,0,FALSE,0,100,https://globalfishingwatch.org/map/vessel/e7e7137a3-3225-97d5-3034-3e8e9a627278?&start=2025-07-08&end=2025-07-14
KORYO MARU NO.1,432458000,JPN,JPN,9315599,fishing,high,fishing,drifting_longlines,ESP,LAS PALMAS,4/24/25 17:48,4,7/1/25 6:11,4,67.5,TEMA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,236,2663.979722,NA,TRUE,"NAMMCO, ACAP, IWC, ICCAT",TRUE,1,TRUE,46,FALSE,0,100,https://globalfishingwatch.org/map/vessel/f1d28200f-f91f-390b-2ba1-e2025fca4ab8?&start=2025-04-22&end=2025-07-03
RUDI,671095300,TGO,TGO,NA,fishing,high,fishing,fishing,BEN,COTONOU,8/13/25 17:24,4,8/14/25 12:06,4,0.8,TEMA,NA,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,35,https://globalfishingwatch.org/map/vessel/70070cdf8-8719-bca5-717f-8068ee5e65dd?&start=2025-08-11&end=2025-08-16
