"vessel_name","MMSI","Flag","AIS_Flag","imo","vessel_class_cat","vessel_class_confidence","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_start_confidence","trip_end","trip_end_confidence","trip_duration_days","end_port","prev_visit_timestamp","at_dock","abj_lagoon","abj_vridi","abj_cargo","abj_fishing","abj_offshore","fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","AISdisabling","num_AISdisabling","percent_ais_voyage","vv_url"
"HAILUFENG8","412209610","CHN","CHN",NA,"fishing","med","fishing","trawlers","CIV","ABIDJAN",2025-06-18 06:33:53,4,2025-07-01 06:17:21,3,13,"ABIDJAN",2025-06-18 06:33:53,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,66.9638888888889,"CIV",NA,"ICCAT, FCWC, NAMMCO, ACAP, IWC",FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/dc63fa3e1-1043-eabe-bea4-0ac7b71eb8aa?&start=2025-06-16&end=2025-07-03"")"
"HLF7","412209590","CHN","CHN",NA,"fishing","high","fishing","trawlers ","CIV","ABIDJAN",2025-06-21 06:43:21,4,2025-07-01 06:20:25,3,10,"ABIDJAN",2025-06-21 06:43:21,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,120.958333333333,"CIV",NA,"FCWC, ICCAT, NAMMCO, IWC, ACAP",FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/fbed92149-9677-4209-36a6-b3850b14affc?&start=2025-06-19&end=2025-07-03"")"
"AFRICA STAR","627074000","GHA","GHA","8010386","fishing","high","fishing","purse_seines","GHA","SEKONDI-TAKORADI",2025-08-01 15:39:55,4,2025-08-02 06:15:21,3,0.6,"ABIDJAN",2024-07-04 18:36:51,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,NA,NA,NA,FALSE,0,FALSE,0,FALSE,0,68.8,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/9aed1677e-ef23-f541-58eb-8d755d410df4?&start=2025-07-30&end=2025-08-04"")"
"SAVANNA BREEZE","311001159","BHS","BHS","9791274","carrier","high","carrier","carrier","MRT","CANSADO",2025-07-08 20:28:45,4,2025-07-15 10:24:29,4,6.5,"ABIDJAN",2025-04-25 09:30:47,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,NA,NA,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/961c647c8-82ad-403d-0071-5201bfc6f182?&start=2025-07-06&end=2025-07-17"")"
"GREEN BRAZIL","309681000","BHS","BHS",NA,"carrier","high","carrier","carrier","MRT","CANSADO",2025-07-22 20:01:13,4,2025-07-27 15:11:08,4,4.8,"ABIDJAN",2025-05-01 17:20:31,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,NA,NA,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ffc999ae0-0ca9-8e3b-7eef-21d426de0782?&start=2025-07-20&end=2025-07-29"")"
"MONTERAIOLA","224742000","ESP","ESP","9882009","fishing","high","fishing","purse_seines","CIV","ABIDJAN",2025-06-21 14:35:38,4,2025-07-06 11:53:07,4,14.9,"ABIDJAN",2025-06-21 14:35:38,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,264.376944444444,"AGO, GAB, CIV",NA,"NAMMCO, ICCAT, FCWC, ACAP, COREP, IWC",FALSE,0,TRUE,11,FALSE,0,82.6,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c44bf0cee-e97e-f9c4-3c32-97d90554b144?&start=2025-06-19&end=2025-07-08"")"
"F/V ALBACORA QUINCE","224727000","ESP","ESP","8206296","fishing","high","fishing","purse_seines","CIV","ABIDJAN",2025-07-17 20:29:38,4,2025-07-23 11:48:58,4,5.6,"ABIDJAN",2025-07-17 20:29:38,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,54.4611111111111,"CIV",NA,"FCWC, IWC, NAMMCO, ACAP, ICCAT",TRUE,1,TRUE,2,FALSE,0,12.5,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/83487d338-8fba-2645-7342-563c4cb5611f?&start=2025-07-15&end=2025-07-25"")"
"F/V ALBACORA QUINCE","224727000","ESP","ESP","8206296","fishing","high","fishing","purse_seines","STP","SAO TOME",2025-07-14 12:10:26,4,2025-07-14 14:10:44,4,0.1,"ABIDJAN",2025-06-19 18:20:55,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,NA,NA,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/83487d338-8fba-2645-7342-563c4cb5611f?&start=2025-07-12&end=2025-07-16"")"
"ZUBEROA","224587000","ESP","ESP","8906456","fishing","high","fishing","purse_seines","SEN","DAKAR",2025-06-24 00:10:20,4,2025-07-23 16:28:08,4,29.7,"ABIDJAN",2025-04-16 14:21:48,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,NA,NA,NA,FALSE,0,FALSE,0,TRUE,2,11.4,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/dcefb03af-f441-973d-84c3-df67066f5a56?&start=2025-06-22&end=2025-07-25"")"
"F/V CAP BOJADOR","228280000","FRA","FRA","8908026","fishing","high","fishing","purse_seines","CIV","ABIDJAN",2025-07-21 08:32:50,4,2025-07-21 11:43:43,4,0.1,"ABIDJAN",2025-07-21 08:32:50,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,NA,NA,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/cc9dd42b8-8263-d5f5-d479-8027efd525be?&start=2025-07-19&end=2025-07-23"")"
