Action,Rationale (Remove / Check),Name,Flag,Vessel type,Gear type,Confidence 2 port visits check,TMT notes,vessel_name,MMSI,Flag2,vessel_class,vessel_type,previous_port_country,previous_port,trip_start,Trip start,trip_end,Trip End ,trip_duration_days,end_port,fishing,fishing_hours,fishing_eez,fishing_hs,fishing_rfmos,encounter,num_encounters,loitering,num_loitering,at_dock,percent_ais_voyage
,,,,,,,,YI FENG 8,412200997,CHN,fishing,trawlers,SEN,DAKAR,03/07/2025 20:50,4,3/22/25 1:43,4,"14,2",DAKAR,TRUE,"1,661,318,056","SEN, GNB",FALSE,"IWC, ACAP, SRFC, ICCAT, NAMMCO",FALSE,NA,TRUE,11,TRUE,"61,7"
,,,,,,,,YUAN YU 893,412549344,CHN,fishing,trawlers,GNB,BISSAU,1/18/25 10:36,4,1/19/25 22:30,4,"1,5",DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,100
,,,,,,,,TWENTY,629009232,GMB,fishing,trawlers,SEN,DAKAR,02/12/2025 16:54,4,03/06/2025 10:53,4,"21,7",DAKAR,TRUE,"1252,05",GMB,FALSE,"ICCAT, ACAP, IWC, SRFC, NAMMCO",FALSE,NA,TRUE,11,TRUE,"36,7"
CHECK,,,,fishing,Trawlers,,,YI FENG 9,412200998,CHN,fishing,trawlers,SEN,DAKAR,3/16/25 16:56,4,3/21/25 9:02,4,"4,7",DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,TRUE,4,TRUE,57
,,,,,,,,YIFENG10,412200999,CHN,fishing,trawlers,SEN,DAKAR,2/24/25 19:26,4,03/08/2025 04:50,4,"11,4",DAKAR,TRUE,"1,453,084,722","GNB, SEN",FALSE,"SRFC, ACAP, NAMMCO, ICCAT, IWC",FALSE,NA,TRUE,6,TRUE,"45,6"
,,,,,,,,MENGXIN19,412209168,CHN,fishing,trawlers,GIN,CONAKRY,12/31/24 18:53,4,01/03/2025 11:10,4,"2,7",DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA
CHECK,,,,,Trawlers,,,FU YUAN YU 372,412440267,CHN,fishing,trawlers,GIN,CONAKRY,03/05/2025 04:34,4,03/06/2025 05:58,4,1,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"11,5"
CHECK,,FU YUAN YU 7857,,,,,,FU YUAN YU 7857,412440842,CHN,fishing,drifting_longlines,CHN,QUANZHOU,1/31/21 21:11,3,3/27/25 9:21,4,"1515,5",DAKAR,TRUE,"1,947,497,778",NA,TRUE,"IWC, ACAP, ICCAT, NAMMCO",TRUE,1,TRUE,7,NA,NA
CHECK,,,,,unknown,,,LURONGYUANYU216,412329514,CHN,fishing,unknown,GIN,CONAKRY,3/26/25 9:34,4,3/28/25 11:03,4,2,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"84,3"
CHECK,,,,Fishing,Longliners,,,NATA 2,659034000,NAM,fishing,drifting_longlines,ZAF,CAPE TOWN,07/11/2024 16:45,4,01/07/2025 06:10,4,"179,5",DAKAR,FALSE,NA,NA,FALSE,NA,TRUE,7,TRUE,66,NA,NA
CHECK,,,,fishing,unknown,,,CHANG YUAN YU 1,412200983,CHN,fishing,unknown,GNB,BISSAU,2/21/25 19:21,4,3/13/25 14:26,4,"19,8",DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,TRUE,17,TRUE,"87,6"
,,,,,,,,TIANG EI HU,412209083,CHN,fishing,trawlers,SEN,DAKAR,03/11/2025 09:38,4,3/28/25 13:21,4,"17,1",DAKAR,TRUE,"8,908,333,333","SEN, GNB",FALSE,"SRFC, IWC, ACAP, ICCAT, NAMMCO",FALSE,NA,TRUE,9,TRUE,"10,2"
,,,,,,,,YIFENG7,412200996,CHN,fishing,trawlers,GNB,BISSAU,2/13/25 23:25,4,03/06/2025 15:32,4,"20,7",DAKAR,TRUE,"1,812,952,778","SEN, GNB",FALSE,"NAMMCO, ICCAT, SRFC, IWC, ACAP",FALSE,NA,TRUE,15,TRUE,"38,4"
CHECK,,,,,Trawlers,,,YI FENG 30,412209128,CHN,fishing,trawlers,SEN,DAKAR,03/08/2025 20:26,4,3/22/25 15:55,4,"13,8",DAKAR,TRUE,"3,303,566,667","GNB, SEN",FALSE,"SRFC, NAMMCO, ICCAT, ACAP, IWC",FALSE,NA,TRUE,5,TRUE,"97,6"
,,,,,,,,RIODOMAR CUARTO,224009000,ESP,fishing,trawlers,MRT,CANSADO,2/13/25 20:17,4,2/15/25 21:42,4,2,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,100
CHECK,,,,,Trawlers,,,PEIX MAR VEINTIOCHO,224275000,ESP,fishing,trawlers,GNB,BISSAU,1/31/25 22:02,4,3/14/25 7:04,4,"41,4",DAKAR,TRUE,"9,053,729,167","GNB, SEN",FALSE,"SRFC, ICCAT, NAMMCO, ACAP, IWC",FALSE,NA,TRUE,1,TRUE,"92,7"
,,,,,,,,YANGMING8007,412209199,CHN,fishing,trawlers,GNB,BISSAU,03/08/2025 14:55,4,03/09/2025 16:17,4,1,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"96,3"
