s2id,iso3,label,sublabel,tmt_sublabel,lat,lon,dock,distance_from_shore_m
103cac27,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.28694814,2.537220636,FALSE,8000
103cac4f,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.282147665,2.512024323,FALSE,8000
103cac51,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.28232953,2.507097309,FALSE,8000
103cac55,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.276808601,2.502750781,FALSE,8000
103cada9,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.266286334,2.50266985,FALSE,9000
103cac35,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.276875609,2.522019375,FALSE,9000
103cac37,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.281602908,2.522509564,FALSE,9000
103cac2f,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.282015796,2.532385171,FALSE,9000
103cac33,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.27682096,2.526862552,FALSE,9000
103cadab,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.271407853,2.502151851,FALSE,9000
103cac49,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.281673583,2.517041481,FALSE,9000
103cac31,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.282545385,2.527501791,FALSE,9000
103cadaf,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.26618857,2.507369791,FALSE,10000
103cadb5,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.271234949,2.517588447,FALSE,10000
103cadd3,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.271947065,2.532353814,FALSE,10000
103cadcb,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.27141881,2.522075048,FALSE,10000
103cadb3,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.271500981,2.512648788,FALSE,10000
103cadcf,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.26647367,2.527893921,FALSE,10000
103cadb7,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.266486873,2.516908825,FALSE,10000
103cadd5,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.271460055,2.537249389,FALSE,10000
103cadad,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.271364706,2.507580888,FALSE,10000
103cae7f,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.270993933,2.542098678,FALSE,10000
103cadcd,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.271434726,2.526918554,FALSE,10000
103cadb1,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.265804791,2.51204806,FALSE,10000
103cadbf,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.255670457,2.517595911,FALSE,11000
103cadc7,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.260199546,2.522433028,FALSE,11000
103cadc1,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.255268686,2.522485635,FALSE,11000
103cada1,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.255623825,2.502563179,FALSE,11000
