Column1,s2id,iso3,label,sublabel,New Sublable ,lat,lon,dock,Column2,distance_from_shore_m
37,103cadb5,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.271234949,2.517588447,FALSE,,10000
38,103cadd3,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.271947065,2.532353814,FALSE,,10000
39,103cadcb,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.27141881,2.522075048,FALSE,,10000
40,103cadb3,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.271500981,2.512648788,FALSE,,10000
41,103cadcf,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.26647367,2.527893921,FALSE,,10000
42,103cadb7,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.266486873,2.516908825,FALSE,,10000
43,103cadd5,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.271460055,2.537249389,FALSE,,10000
44,103cadad,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.271364706,2.507580888,FALSE,,10000
45,103cae7f,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.270993933,2.542098678,FALSE,,10000
46,103cadcd,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.271434726,2.526918554,FALSE,,10000
47,103cadb1,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.265804791,2.51204806,FALSE,,10000
48,103cadbf,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.255670457,2.517595911,FALSE,,11000
49,103cadc7,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.260199546,2.522433028,FALSE,,11000
50,103cadc1,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.255268686,2.522485635,FALSE,,11000
51,103cada1,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.255623825,2.502563179,FALSE,,11000
52,103cada7,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.260811933,2.502041811,FALSE,,11000
53,103caddd,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.255611272,2.532360472,FALSE,,11000
54,103cadbb,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.260385368,2.512280708,FALSE,,11000
55,103cada3,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.255730261,2.507693608,FALSE,,11000
56,103cada5,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.260713682,2.507624606,FALSE,,11000
57,103caddb,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.261347523,2.531737101,FALSE,,11000
58,103cadbd,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.255771009,2.512155743,FALSE,,11000
59,103cad95,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.250344162,2.516802469,FALSE,,12000
60,103cad9b,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.245036622,2.508033215,FALSE,,12000
61,103cad93,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.245531633,2.516998773,FALSE,,12000
62,103cad91,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.245284286,2.512308563,FALSE,,12000
63,103cad97,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.250899056,2.512151414,FALSE,,12000
64,103cadfb,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.240014373,2.532150018,FALSE,,13000
65,103cade5,BEN,COTONOU,COTONOU,Cotonou official anchorage,6.244746122,2.532454873,FALSE,,13000
