s2id,iso3,label,sublabel,lat,lon,PSMA Use,Use
103c0b1b,NGA,LAGOS,OUTER ANCHORAGE EAST,6.345783568,3.447400343,YES,Outer anchorage 
103c0b4d,NGA,LAGOS,OUTER ANCHORAGE EAST,6.325197065,3.422087679,YES,Outer anchorage 
103c0b01,NGA,LAGOS,OUTER ANCHORAGE EAST,6.350408465,3.457563863,YES,Outer anchorage 
103c0b47,NGA,LAGOS,OUTER ANCHORAGE EAST,6.3297693,3.432504821,YES,Outer anchorage 
103c0bab,NGA,LAGOS,OUTER ANCHORAGE EAST,6.351129412,3.462659917,YES,Outer anchorage 
103c0b3d,NGA,LAGOS,OUTER ANCHORAGE EAST,6.34038464,3.437261235,YES,Outer anchorage 
103c0bad,NGA,LAGOS,OUTER ANCHORAGE EAST,6.350850487,3.467423289,YES,Outer anchorage 
103c7415,NGA,LAGOS,OUTER ANCHORAGE EAST,6.330643785,3.356492239,YES,Outer anchorage 
103c7419,NGA,LAGOS,OUTER ANCHORAGE EAST,6.330194478,3.346511073,YES,Outer anchorage 
103c76a3,NGA,LAGOS,OUTER ANCHORAGE EAST,6.331751732,3.331640912,YES,Outer anchorage 
103c0b1d,NGA,LAGOS,OUTER ANCHORAGE EAST,6.350775027,3.447492932,YES,Outer anchorage 
103c7465,NGA,LAGOS,OUTER ANCHORAGE EAST,6.325351732,3.371690246,YES,Outer anchorage 
103c0b03,NGA,LAGOS,OUTER ANCHORAGE EAST,6.350827224,3.452243101,YES,Outer anchorage 
103c0b15,NGA,LAGOS,OUTER ANCHORAGE EAST,6.33560962,3.442070292,YES,Outer anchorage 
103c76a1,NGA,LAGOS,OUTER ANCHORAGE EAST,6.330447545,3.336923436,YES,Outer anchorage 
103c0b49,NGA,LAGOS,OUTER ANCHORAGE EAST,6.330060109,3.427225761,YES,Outer anchorage 
103c7971,NGA,LAGOS,OUTER ANCHORAGE WEST,6.325903752,3.210822266,YES,Outer anchorage 
103c0b07,NGA,LAGOS,OUTER ANCHORAGE EAST,6.34576656,3.45709417,YES,Outer anchorage 
103c7469,NGA,LAGOS,OUTER ANCHORAGE EAST,6.330860131,3.366578189,YES,Outer anchorage 
103c74bb,NGA,LAGOS,OUTER ANCHORAGE EAST,6.325108736,3.40680288,YES,Outer anchorage 
103c7413,NGA,LAGOS,OUTER ANCHORAGE EAST,6.325307412,3.356676854,YES,Outer anchorage 
103c0b3f,NGA,LAGOS,OUTER ANCHORAGE EAST,6.335530957,3.43717404,YES,Outer anchorage 
103c74bf,NGA,LAGOS,OUTER ANCHORAGE EAST,6.329975997,3.401637468,YES,Outer anchorage 
103c76a7,NGA,LAGOS,OUTER ANCHORAGE EAST,6.325017512,3.336241863,YES,Outer anchorage 
103c0b17,NGA,LAGOS,OUTER ANCHORAGE EAST,6.340152255,3.442401254,YES,Outer anchorage 
103c0ba9,NGA,LAGOS,OUTER ANCHORAGE EAST,6.345785076,3.462488508,YES,Outer anchorage 
103c741d,NGA,LAGOS,OUTER ANCHORAGE EAST,6.325536071,3.340622719,YES,Outer anchorage 
103c0b05,NGA,LAGOS,OUTER ANCHORAGE EAST,6.345866984,3.452563666,YES,Outer anchorage 
103c746b,NGA,LAGOS,OUTER ANCHORAGE EAST,6.330344962,3.361376764,YES,Outer anchorage 
103c74b5,NGA,LAGOS,OUTER ANCHORAGE EAST,6.330006561,3.417158718,YES,Outer anchorage 
103c7493,NGA,LAGOS,OUTER ANCHORAGE EAST,6.33022619,3.391830212,YES,Outer anchorage 
103c74b9,NGA,LAGOS,OUTER ANCHORAGE EAST,6.330166917,3.406721221,YES,Outer anchorage 
103c746d,NGA,LAGOS,OUTER ANCHORAGE EAST,6.325039064,3.361444503,YES,Outer anchorage 
103c7467,NGA,LAGOS,OUTER ANCHORAGE EAST,6.330130246,3.37189542,YES,Outer anchorage 
103c741f,NGA,LAGOS,OUTER ANCHORAGE EAST,6.330653804,3.34121918,YES,Outer anchorage 
103c741b,NGA,LAGOS,OUTER ANCHORAGE EAST,6.325362086,3.346709116,YES,Outer anchorage 
103c746f,NGA,LAGOS,OUTER ANCHORAGE EAST,6.325128752,3.366740537,YES,Outer anchorage 
103c7417,NGA,LAGOS,OUTER ANCHORAGE EAST,6.330600303,3.351423809,YES,Outer anchorage 
103c7495,NGA,LAGOS,OUTER ANCHORAGE EAST,6.330205542,3.397113793,YES,Outer anchorage 
103c748d,NGA,LAGOS,OUTER ANCHORAGE EAST,6.329831302,3.386818323,YES,Outer anchorage 
103c7afd,NGA,LAGOS,OUTER ANCHORAGE WEST,6.262426834,3.220684716,YES,Outer anchorage 
103c7b9f,NGA,LAGOS,OUTER ANCHORAGE WEST,6.273389443,3.195286941,YES,Outer anchorage 
103c7b83,NGA,LAGOS,OUTER ANCHORAGE WEST,6.273956574,3.185630766,YES,Outer anchorage 
103c7ba7,NGA,LAGOS,OUTER ANCHORAGE WEST,6.273137074,3.205628468,YES,Outer anchorage 
103c7ba1,NGA,LAGOS,OUTER ANCHORAGE WEST,6.273395846,3.200278224,YES,Outer anchorage 
103c7ba9,NGA,LAGOS,OUTER ANCHORAGE WEST,6.273243507,3.210536668,YES,Outer anchorage 
103c7b77,NGA,LAGOS,OUTER ANCHORAGE WEST,6.268438898,3.190479938,YES,Outer anchorage 
103c7a55,NGA,LAGOS,OUTER ANCHORAGE WEST,6.273132679,3.220807218,YES,Outer anchorage 
103c7b0b,NGA,LAGOS,OUTER ANCHORAGE WEST,6.267843765,3.201143186,YES,Outer anchorage 
103c7a59,NGA,LAGOS,OUTER ANCHORAGE WEST,6.273270852,3.23019485,YES,Outer anchorage 
103c7aff,NGA,LAGOS,OUTER ANCHORAGE WEST,6.267402429,3.220282565,YES,Outer anchorage 
103c7b07,NGA,LAGOS,OUTER ANCHORAGE WEST,6.268260976,3.210544488,YES,Outer anchorage 
103c7bab,NGA,LAGOS,OUTER ANCHORAGE WEST,6.273141362,3.215882198,YES,Outer anchorage 
103c7a57,NGA,LAGOS,OUTER ANCHORAGE WEST,6.2733246,3.22542714,YES,Outer anchorage 
103c7a5f,NGA,LAGOS,OUTER ANCHORAGE WEST,6.272914796,3.235480309,YES,Outer anchorage 
103c7b9d,NGA,LAGOS,OUTER ANCHORAGE WEST,6.273049063,3.190584537,YES,Outer anchorage 
103c7af9,NGA,LAGOS,OUTER ANCHORAGE WEST,6.268391358,3.225139414,YES,Outer anchorage 
103c7b01,NGA,LAGOS,OUTER ANCHORAGE WEST,6.267664319,3.215658824,YES,Outer anchorage 
103c7b09,NGA,LAGOS,OUTER ANCHORAGE WEST,6.268082258,3.205544657,YES,Outer anchorage 
103c7693,NGA,LAGOS,OUTER ANCHORAGE EAST,6.341291097,3.321322426,YES,Outer anchorage 
103c74c9,NGA,LAGOS,OUTER ANCHORAGE EAST,6.33538832,3.411772914,YES,Outer anchorage 
103c0b25,NGA,LAGOS,OUTER ANCHORAGE EAST,6.345731134,3.432414207,YES,Outer anchorage 
103c74cd,NGA,LAGOS,OUTER ANCHORAGE EAST,6.340590429,3.417043537,YES,Outer anchorage 
103c7425,NGA,LAGOS,OUTER ANCHORAGE EAST,6.341632234,3.346291532,YES,Outer anchorage 
103c0b39,NGA,LAGOS,OUTER ANCHORAGE EAST,6.335571135,3.432081982,YES,Outer anchorage 
