"vessel_name","MMSI","Flag","AIS_Flag","imo","vessel_class_cat","vessel_class_confidence","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_start_confidence","trip_end","trip_end_confidence","trip_duration_days","end_port","prev_visit_timestamp","at_dock","tema_general","tema_fuel","tema_fishing","takoradi_general","num_fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","AISdisabling","num_AISdisabling","percent_ais_voyage","vv_url"
"ORANGE STRAIT","311001555","BHS","BHS","9795995","carrier","high","carrier","carrier","MRT","CANSADO",2025-05-25 13:53:13,4,2025-06-01 12:45:59,4,6.9,"TEMA",NA,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/5b95ba21d-d462-d166-1993-7571da3d12a8?&start=2025-05-23&end=2025-06-03"")"
"GREEN EGERSUND","311040500","BHS","BHS","8804567","carrier","high","carrier","carrier","MRT","CANSADO",2025-05-04 16:03:28,4,2025-05-11 09:14:17,4,6.7,"TEMA",2025-04-12 19:20:32,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ddef384a3-330b-0511-5c1d-6f8ed78de0ca?&start=2025-05-02&end=2025-05-13"")"
"GREEN EGERSUND","311040500","BHS","BHS","8804567","carrier","high","carrier","carrier","CIV","ABIDJAN",2025-04-04 17:20:23,4,2025-04-05 18:44:01,4,1,"TEMA",2024-06-06 12:33:08,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ddef384a3-330b-0511-5c1d-6f8ed78de0ca?&start=2025-04-02&end=2025-04-07"")"
"GREEN AUSTEVOLL","311043800","BHS","BHS","8819299","carrier","high","carrier","carrier","MRT","CANSADO",2025-06-21 14:15:00,4,2025-06-27 16:14:14,4,6,"TEMA",NA,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/cf9115228-8845-42fd-16a4-f8cad1d3d405?&start=2025-06-19&end=2025-06-29"")"
"RANGIROA","312599000","BLZ","BLZ","8210259","carrier","high","carrier","carrier","MRT","CANSADO",2025-05-15 19:06:19,4,2025-05-22 20:08:49,4,7,"TEMA",2024-10-25 08:18:15,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,97.1,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/2a3ce48d8-86e0-ab1e-5be1-448b5ec9e2aa?&start=2025-05-13&end=2025-05-24"")"
"DUBREKA","325110000","DMA","DMA","8028424","carrier","high","carrier","carrier","LBR","MONROVIA",2025-04-14 12:28:10,4,2025-04-19 10:56:37,4,4.9,"TEMA",NA,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,95,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/242109a80-094a-ff54-6c08-9afcead31c5e?&start=2025-04-12&end=2025-04-21"")"
"AVUNDA REEFER","352351000","PAN","PAN","9072824","carrier","high","carrier","carrier","CIV","ABIDJAN",2025-04-13 22:23:26,4,2025-04-15 20:16:24,4,1.9,"TEMA",2025-04-15 19:20:20,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/665ebd33c-c956-3093-dee2-b41b11d83307?&start=2025-04-11&end=2025-04-17"")"
"MARTA REEFER","355295000","PAN","PAN","9174701","carrier","high","carrier","carrier","TGO","LOME",2025-05-02 13:48:04,4,2025-05-02 21:03:14,4,0.3,"TEMA",2025-03-21 08:29:54,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/bcb7b9666-6e7b-c035-a144-c0c6a909f2a3?&start=2025-04-30&end=2025-05-04"")"
"SEIN SKY","440097000","KOR","KOR","8813623","carrier","high","carrier","carrier","ZAF","DURBAN",2025-05-05 19:40:22,4,2025-05-18 04:59:48,4,12.4,"TEMA",NA,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,99.7,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/43b9c0a5e-e4ff-d002-bf96-7da2eefa9cae?&start=2025-05-03&end=2025-05-20"")"
"HAILUFENG 10","412209630","CHN","CHN",NA,"fishing","med","fishing","fishing","AGO","LUANDA",2025-06-15 15:41:23,3,2025-06-15 19:41:23,2,0.2,"TEMA",NA,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,20,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/005035fdd-d0cd-9fb3-2c30-9a5412e1324e?&start=2025-06-13&end=2025-06-17"")"
"LU YAN KAI YUAN YU 877","412330999","CHN","CHN",NA,"fishing","high","fishing","fishing","GHA","TEMA",2024-11-01 20:01:35,4,2025-04-13 17:37:25,3,162.9,"TEMA",2024-11-01 20:01:35,FALSE,FALSE,FALSE,FALSE,FALSE,48,110.675555555556,"CHN",FALSE,"PICES, ACAP, WCPFC, IWC",FALSE,0,TRUE,6,FALSE,0,17,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/4886ba6fc-c511-1d4b-27d7-431209b87965?&start=2024-10-30&end=2025-04-15"")"
"DICHA UNO","312697000","BLZ","BLZ","8029026","fishing","low","fishing","tuna_purse_seines","CIV","ABIDJAN",2025-04-29 15:20:09,4,2025-04-30 14:29:00,4,1,"TEMA",2025-04-27 09:07:04,FALSE,FALSE,FALSE,FALSE,FALSE,10,6.50833333333333,"GHA",FALSE,"FCWC, NAMMCO, ICCAT, ACAP, IWC",FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/2842f60c5-5d09-d79a-ea8d-a65b3a62a81b?&start=2025-04-27&end=2025-05-02"")"
"HAILUFENG8","412209610","CIV","CHN",NA,"fishing","med","fishing","trawler","CIV","ABIDJAN",2025-04-03 18:45:57,3,2025-04-03 23:26:19,3,0.2,"SEKONDI-TAKORADI",NA,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,33.3,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/dc63fa3e1-1043-eabe-bea4-0ac7b71eb8aa?&start=2025-04-01&end=2025-04-05"")"
"LUYANKAIYUANYU506","412336587","CHN","CHN",NA,"fishing","low","fishing","inconclusive","GHA","TEMA",2025-04-22 00:27:26,4,2025-05-10 17:46:14,3,18.7,"TEMA",2025-04-22 00:27:26,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,0.4,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/47303adf0-0c91-51e9-0e2a-15cec538d21e?&start=2025-04-20&end=2025-05-12"")"
"LUYANKAIYUANYU506","412336587","CHN","CHN",NA,"fishing","low","fishing","inconclusive","GHA","TEMA",2025-01-07 00:06:12,4,2025-04-21 08:02:54,4,104.3,"TEMA",2025-01-07 00:06:12,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,0.2,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/47303adf0-0c91-51e9-0e2a-15cec538d21e?&start=2025-01-05&end=2025-04-23"")"
"ORANGE  FROST","306883000","CUW","BES","9797656","carrier","low","other","other","MRT","CANSADO",2025-05-11 22:09:34,4,2025-05-17 22:23:01,4,6,"TEMA",2025-04-03 13:34:31,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/b06d84389-9205-2d67-6632-e62e97492eaa?&start=2025-05-09&end=2025-05-19"")"
"AB PALOMA","352898752","PAN","PAN","9378199","bunker","TMT","other","other","TGO","LOME",2025-06-17 07:18:37,4,2025-06-17 14:25:13,4,0.3,"TEMA",2025-06-08 13:09:04,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/080be97eb-b2a4-ccda-193b-d28e5f80b9a9?&start=2025-06-15&end=2025-06-19"")"
