vessel_name,MMSI,Flag,imo,vessel_class_cat,vessel_class_confidence,vessel_class,vessel_type,previous_port_country,previous_port,trip_start,trip_start_confidence,trip_end,trip_end_confidence,trip_duration_days,end_port,mom_general,mom_fishing,mom_fishing_harbor,mom_harbor,mom_drydock,fishing,fishing_hours,fishing_eez,fishing_hs,fishing_rfmos,encounter,num_encounters,loitering,num_loitering,percent_ais_voyage,vv_url
TIJARA,457900757,MNG,NA,fishing,low,other,other,KEN,MOMBASA,28/03/2025 14:05,4,03/05/2025 05:39,4,35.6,MOMBASA,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,TRUE,12,37.2,https://globalfishingwatch.org/map/vessel/6c9d43187-7083-9521-e68c-63d6407703a8?&start=2025-03-26&end=2025-05-05
MARINE ACE 1HO,440246000,KOR,NA,fishing,high,fishing,drifting_longlines,KOR,BUSAN,02/04/2025 00:41,4,05/05/2025 07:36,3,33.3,MOMBASA,TRUE,FALSE,TRUE,FALSE,FALSE,17,31.37777778,"CHN, KEN",TRUE,"IWC, SWIOFC, WCPFC, ACAP, IOTC, APFIC, SIOFA, SEAFDEC",FALSE,0,TRUE,1,76.3,https://globalfishingwatch.org/map/vessel/89f34d8d5-5511-4d7a-5925-48455050c92d?&start=2025-03-31&end=2025-05-07
SUNGJU,440410770,KOR,NA,fishing,med,fishing,set_longlines,KOR,KOR-223,02/04/2025 06:40,4,05/05/2025 12:55,3,33.3,MOMBASA,FALSE,FALSE,TRUE,FALSE,FALSE,50,91.54861111,MYS,FALSE,"APFIC, IWC, SEAFDEC, IOTC, ACAP",FALSE,0,FALSE,0,26.9,https://globalfishingwatch.org/map/vessel/64f54f758-85fc-dd8b-ef16-89af6d7477b4?&start=2025-03-31&end=2025-05-07
