"vessel_name","MMSI","Flag","AIS_Flag","imo","vessel_class_cat","vessel_class_confidence","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_start_confidence","trip_end","trip_end_confidence","trip_duration_days","end_port","tema_general","tema_fuel","tema_fishing","takoradi_general","num_fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","AISdisabling","num_AISdisabling","percent_ais_voyage","vv_url"
"GHANA EXPRESS","563245700","SGP","SGP","9984003","carrier","low","other","other","MAR","AGADIR",2025-04-30 23:23:36,4,2025-05-07 15:36:31,4,6.7,"TEMA",TRUE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/cb30550b1-1125-18ba-f7c7-d3c668d9aa01?&start=2025-04-28&end=2025-05-09"")"
"STAR FIRST","311000876","BHS","BHS","9330056","carrier","low","other","other","CMR","DOUALA",2025-06-09 03:40:24,4,2025-06-10 16:30:31,4,1.5,"TEMA",TRUE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/1f2830fdf-fd8c-099e-c5e3-c9f9c4a16f76?&start=2025-06-07&end=2025-06-12"")"
"STAR FIRST","311000876","BHS","BHS","9330056","carrier","low","other","other","CMR","DOUALA",2025-05-04 21:56:01,4,2025-05-06 11:52:44,4,1.5,"TEMA",TRUE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/1f2830fdf-fd8c-099e-c5e3-c9f9c4a16f76?&start=2025-05-02&end=2025-05-08"")"
"STAR FIRST","311000876","BHS","BHS","9330056","carrier","low","other","other","CMR","DOUALA",2025-04-02 07:57:13,4,2025-04-04 02:32:27,4,1.8,"TEMA",TRUE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/1f2830fdf-fd8c-099e-c5e3-c9f9c4a16f76?&start=2025-03-31&end=2025-04-06"")"
"STAR FIRST","311000876","BHS","BHS","9330056","carrier","low","other","other","CIV","PORT BOUET ANCHORAGE",2025-05-01 02:45:21,4,2025-05-01 16:10:38,4,0.5,"TEMA",TRUE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/1f2830fdf-fd8c-099e-c5e3-c9f9c4a16f76?&start=2025-04-29&end=2025-05-03"")"
"STAR PRIMA","311000958","BHS","BHS","9338747","carrier","low","other","other","MAR","AGADIR",2025-06-12 09:44:45,4,2025-06-18 05:22:26,4,5.8,"TEMA",TRUE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/3997f5344-4346-5b2b-e215-f5932f787437?&start=2025-06-10&end=2025-06-20"")"
"STAR PRIMA","311000958","BHS","BHS","9338747","carrier","low","other","other","MAR","AGADIR",2025-04-17 10:58:08,4,2025-04-24 04:00:45,4,6.7,"TEMA",TRUE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/3997f5344-4346-5b2b-e215-f5932f787437?&start=2025-04-15&end=2025-04-26"")"
"STAR PRIMA","311000958","BHS","BHS","9338747","carrier","low","other","other","SEN","DAKAR",2025-05-19 01:32:42,4,2025-05-22 00:37:30,4,3,"TEMA",TRUE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,93.1,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/3997f5344-4346-5b2b-e215-f5932f787437?&start=2025-05-17&end=2025-05-24"")"
"SAVANNA WIND","311001133","BHS","BHS","9791286","carrier","low","other","other","MRT","CANSADO",2025-05-02 02:15:14,4,2025-05-10 10:48:27,4,8.3,"TEMA",FALSE,FALSE,TRUE,FALSE,0,0,NA,FALSE,NA,FALSE,0,TRUE,2,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/7325ce778-87c6-b220-46f1-e1062968d477?&start=2025-04-30&end=2025-05-12"")"
"NAVIOS MAGNOLIA","374776000","DEU","PAN","9332250","carrier","low","other","other","CIV","ABIDJAN",2025-04-04 20:55:57,4,2025-04-05 15:05:27,4,0.8,"TEMA",FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c3010d8da-a532-3cfc-38fd-51b83e7c5375?&start=2025-04-02&end=2025-04-07"")"
"GREAT COTONOU","247452100","ITA","ITA","9935064","carrier","low","other","other","NGA","LAGOS",2025-06-02 13:21:32,4,2025-06-03 01:13:14,4,0.5,"TEMA",TRUE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/e34867472-276c-e3f8-3ffd-06443296124c?&start=2025-05-31&end=2025-06-05"")"
"GREAT COTONOU","247452100","ITA","ITA","9935064","carrier","low","other","other","GHA","TEMA",2025-06-05 16:35:43,4,2025-06-05 23:03:56,4,0.3,"SEKONDI-TAKORADI",FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/e34867472-276c-e3f8-3ffd-06443296124c?&start=2025-06-03&end=2025-06-07"")"
"ORANGE  FROST","306883000","CUW","BES","9797656","carrier","low","other","other","MRT","CANSADO",2025-05-11 22:09:34,4,2025-05-17 22:23:01,4,6,"TEMA",TRUE,TRUE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/b06d84389-9205-2d67-6632-e62e97492eaa?&start=2025-05-09&end=2025-05-19"")"
"NAUTILUS","577030000","VUT","VUT","9223708","fishing","high","fishing","trawlers","NGA","LAGOS",2025-05-21 13:35:59,4,2025-05-22 14:06:57,4,1,"TEMA",TRUE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/6a13538a5-5dba-89f9-369f-4872e6f723e8?&start=2025-05-19&end=2025-05-24"")"
"F/V STERENN","226180000","FRA","FRA","9225548","fishing","high","fishing","tuna_purse_seines","GHA","JUBILEE FIELD",2025-06-25 13:51:26,4,2025-06-25 19:51:09,4,0.2,"SEKONDI-TAKORADI",FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ec049fc02-2932-810d-f9b3-293e4eec0799?&start=2025-06-23&end=2025-06-27"")"
"ATLANTIC PRINCE","312867000","BLZ","BLZ","8919415","fishing","high","fishing","tuna_purse_seines","GHA","TEMA",2025-05-05 13:15:18,4,2025-05-07 06:56:27,4,1.7,"TEMA",FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/a8fa13d03-3876-ae64-a357-4823082c2984?&start=2025-05-03&end=2025-05-09"")"
