"vessel_name","MMSI","Flag","AIS_Flag","imo","vessel_class_cat","vessel_class_confidence","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_start_confidence","trip_end","trip_end_confidence","trip_duration_days","end_port","tema_general","tema_fuel","tema_fishing","takoradi_general","num_fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","AISdisabling","num_AISdisabling","percent_ais_voyage","vv_url"
"COTE D IVOIRIAN STAR","636014241","LBR","LBR","9172478","carrier","low","carrier","carrier","CMR","DOUALA",2025-04-29 06:25:42,4,2025-04-30 18:25:42,4,1.5,"TEMA",TRUE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c24029a18-8c22-ebb8-d92d-02fc96ad2d26?&start=2025-04-27&end=2025-05-02"")"
"GREEN EGERSUND","311040500","BHS","BHS","8804567","carrier","high","carrier","carrier","CIV","ABIDJAN",2025-04-04 17:20:23,4,2025-04-05 18:44:01,4,1,"TEMA",FALSE,FALSE,TRUE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ddef384a3-330b-0511-5c1d-6f8ed78de0ca?&start=2025-04-02&end=2025-04-07"")"
"GREEN EGERSUND","311040500","BHS","BHS","8804567","carrier","high","carrier","carrier","MRT","CANSADO",2025-05-04 16:03:28,4,2025-05-11 09:14:17,4,6.7,"TEMA",FALSE,FALSE,TRUE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ddef384a3-330b-0511-5c1d-6f8ed78de0ca?&start=2025-05-02&end=2025-05-13"")"
"GREEN AUSTEVOLL","311043800","BHS","BHS","8819299","carrier","high","carrier","carrier","MRT","CANSADO",2025-06-21 14:15:00,4,2025-06-27 16:14:14,4,6,"TEMA",TRUE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/cf9115228-8845-42fd-16a4-f8cad1d3d405?&start=2025-06-19&end=2025-06-29"")"
"SEIN SKY","440097000","KOR","KOR","8813623","carrier","high","carrier","carrier","ZAF","DURBAN",2025-05-05 19:40:22,4,2025-05-18 04:59:48,4,12.4,"TEMA",TRUE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,99.7,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/43b9c0a5e-e4ff-d002-bf96-7da2eefa9cae?&start=2025-05-03&end=2025-05-20"")"
"MARTA REEFER","355295000","PAN","PAN","9174701","carrier","high","carrier","carrier","TGO","LOME",2025-05-02 13:48:04,4,2025-05-02 21:03:14,4,0.3,"TEMA",TRUE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/bcb7b9666-6e7b-c035-a144-c0c6a909f2a3?&start=2025-04-30&end=2025-05-04"")"
"DUBREKA","325110000","DMA","DMA","8028424","carrier","high","carrier","carrier","LBR","MONROVIA",2025-04-14 12:28:10,4,2025-04-19 10:56:37,4,4.9,"TEMA",TRUE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,95,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/242109a80-094a-ff54-6c08-9afcead31c5e?&start=2025-04-12&end=2025-04-21"")"
"AURIGA","277571000","LTU","LTU","8920983","carrier","high","carrier","carrier","MRT","CANSADO",2025-04-24 13:50:12,4,2025-05-01 10:40:04,4,6.8,"TEMA",TRUE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/39ffd32aa-a7c1-8dd2-7f5e-e709114627dd?&start=2025-04-22&end=2025-05-03"")"
"LIBRA","277327000","LTU","LTU","9009683","carrier","high","carrier","carrier","CIV","ABIDJAN",2025-06-29 02:59:52,4,2025-06-30 03:31:55,4,1,"TEMA",TRUE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c4f5dd543-3c32-676f-2e07-f9a8b9b6b35a?&start=2025-06-27&end=2025-07-02"")"
"AURORA","231257000","FRO","FRO","8819275","carrier","med","carrier","carrier","LBR","MONROVIA",2025-06-16 13:31:06,4,2025-06-19 07:14:59,4,2.7,"TEMA",TRUE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,98.5,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/0f293fcb0-026d-46ce-8b2b-596862ce797b?&start=2025-06-14&end=2025-06-21"")"
