vessel_name,MMSI,Flag,AIS_Flag,imo,vessel_class_cat,vessel_class_confidence,vessel_class,vessel_type,previous_port_country,previous_port,trip_start,trip_start_confidence,trip_end,trip_end_confidence,trip_duration_days,end_port,prev_visit_timestamp,at_dock,abj_lagoon,abj_vridi,abj_cargo,abj_fishing,abj_offshore,fishing,fishing_hours,fishing_eez,fishing_hs,fishing_rfmos,encounter,num_encounters,loitering,num_loitering,AISdisabling,num_AISdisabling,percent_ais_voyage,vv_url
F/V GUEOTEC,227549000,FRA,FRA,8912986,fishing,high,fishing,tuna_purse_seines,CIV,ABIDJAN,02/03/2025 16:00,4,21/04/2025 19:05,4,50.1,ABIDJAN,02/03/2025 16:00,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,534.5902778,"GIN, SLE, CIV",NA,"ACAP, SRFC, NAMMCO, FCWC, ICCAT, IWC",FALSE,0,TRUE,12,TRUE,9,30.8,https://globalfishingwatch.org/map/vessel/96e442d84-489f-962f-588a-33e367aa0330?&start=2025-02-28&end=2025-04-23
F/V GUEOTEC,227549000,FRA,FRA,8912986,fishing,high,fishing,tuna_purse_seines,CIV,ABIDJAN,29/04/2025 20:07,4,14/06/2025 05:00,4,45.3,ABIDJAN,29/04/2025 20:07,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,52.92361111,CIV,NA,"NAMMCO, IWC, FCWC, ACAP, ICCAT",TRUE,1,TRUE,2,TRUE,2,14.4,https://globalfishingwatch.org/map/vessel/96e442d84-489f-962f-588a-33e367aa0330?&start=2025-04-27&end=2025-06-16
F/V GUERIDEN,227550000,FRA,FRA,8912998,fishing,high,fishing,tuna_purse_seines,CIV,ABIDJAN,22/05/2025 15:59,4,28/06/2025 16:54,4,37,ABIDJAN,22/05/2025 15:59,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,27.04722222,CIV,NA,"FCWC, IWC, ACAP, ICCAT, NAMMCO",FALSE,0,FALSE,0,TRUE,1,4.3,https://globalfishingwatch.org/map/vessel/1fe43f651-11a3-402d-dfed-efde848e7eee?&start=2025-05-20&end=2025-06-30
F/V GUERIDEN,227550000,FRA,FRA,8912998,fishing,high,fishing,tuna_purse_seines,SEN,DAKAR,09/04/2025 14:55,4,05/05/2025 07:38,4,25.7,ABIDJAN,04/01/2025 21:33,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,144.3541667,"GIN, CIV",NA,"SRFC, IWC, FCWC, ACAP, ICCAT, NAMMCO",TRUE,1,TRUE,3,TRUE,2,22.5,https://globalfishingwatch.org/map/vessel/1fe43f651-11a3-402d-dfed-efde848e7eee?&start=2025-04-07&end=2025-05-07
F/V CAP BOJADOR,228280000,FRA,FRA,8908026,fishing,high,fishing,tuna_purse_seines,CIV,ABIDJAN,29/03/2025 17:47,4,19/05/2025 15:05,4,50.9,ABIDJAN,29/03/2025 17:47,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,124.4977778,CIV,TRUE,"IWC, ACAP, NAMMCO, FCWC, ICCAT",FALSE,0,TRUE,1,TRUE,1,8,https://globalfishingwatch.org/map/vessel/cc9dd42b8-8263-d5f5-d479-8027efd525be?&start=2025-03-27&end=2025-05-21
HAIZEA BAT,306142000,CUW,BES,9717943,fishing,med,support,purse_seine_support,CIV,ABIDJAN,08/03/2025 12:41,4,20/05/2025 11:33,4,72.9,ABIDJAN,08/03/2025 12:41,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2220.197222,"LBR, SLE, GIN",TRUE,"SRFC, FCWC, ICCAT, IWC, ACAP, NAMMCO",FALSE,0,TRUE,47,FALSE,0,100,https://globalfishingwatch.org/map/vessel/83524b6ef-fe68-222c-e1cf-d77531c428ab?&start=2025-03-06&end=2025-05-22
ARTIKE,306881000,CUW,BES,9808120,fishing,low,fishing,fishing,CIV,ABIDJAN,08/03/2025 08:02,4,25/04/2025 06:15,4,47.9,ABIDJAN,08/03/2025 08:02,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,417.0319444,"SEN, SLE, LBR",NA,"SRFC, NAMMCO, IWC, FCWC, ACAP, ICCAT",FALSE,0,TRUE,12,TRUE,3,56.1,https://globalfishingwatch.org/map/vessel/e00d865a1-148f-fb0e-8283-dc436a245c07?&start=2025-03-06&end=2025-04-27
DICHA UNO,312697000,BLZ,BLZ,8029026,fishing,low,fishing,tuna_purse_seines,GHA,TEMA,30/04/2025 19:28,4,26/05/2025 15:47,4,25.8,ABIDJAN,29/04/2025 15:20,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,NA,NA,NA,FALSE,0,FALSE,0,TRUE,1,5.2,https://globalfishingwatch.org/map/vessel/2842f60c5-5d09-d79a-ea8d-a65b3a62a81b?&start=2025-04-28&end=2025-05-28
DICHA UNO,312697000,BLZ,BLZ,8029026,fishing,low,fishing,tuna_purse_seines,GHA,TEMA,27/04/2025 09:07,4,28/04/2025 10:00,4,1,ABIDJAN,13/03/2025 14:12,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,NA,NA,NA,FALSE,0,FALSE,0,FALSE,0,100,https://globalfishingwatch.org/map/vessel/2842f60c5-5d09-d79a-ea8d-a65b3a62a81b?&start=2025-04-25&end=2025-04-30
BAO LUCKY,312756000,BLZ,BLZ,7809273,fishing,high,fishing,tuna_purse_seines,CIV,ABIDJAN,02/05/2025 16:32,4,29/06/2025 07:47,3,57.6,ABIDJAN,02/05/2025 16:32,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,NA,NA,NA,FALSE,0,FALSE,0,FALSE,0,0.4,https://globalfishingwatch.org/map/vessel/68ab5e789-96a1-fd61-016c-92bd413a9682?&start=2025-04-30&end=2025-07-01
