"s2id","lat","lon","label","sublabel"
"0ec17419",14.6543811787473,-17.3639738803901,"DAKAR","DAKAR OFFSHORE"
"0ec17423",14.6546905114151,-17.3581990647543,"DAKAR","DAKAR OFFSHORE"
"0ec1743b",14.6614074297174,-17.3524079860783,"DAKAR","DAKAR OFFSHORE"
"0ec17699",14.6387485342894,-17.3581638066798,"DAKAR","DAKAR OFFSHORE"
"0ec175d5",14.6513711419662,-17.3343980383545,"DAKAR","DAKAR OFFSHORE"
"0ec175d9",14.6512688731196,-17.3225221529685,"DAKAR","DAKAR OFFSHORE"
"0ec175e1",14.6530283639972,-17.3111179678582,"DAKAR","DAKAR OFFSHORE"
"0ec1769f",14.6434354191541,-17.3582385702439,"DAKAR","DAKAR OFFSHORE"
"0ec17421",14.6491363069552,-17.3584146306258,"DAKAR","DAKAR OFFSHORE"
"0ec175df",14.6520053455191,-17.3167820226838,"DAKAR","DAKAR OFFSHORE"
"0ec1767b",14.6400384298083,-17.329158984973,"DAKAR","DAKAR OFFSHORE"
"0ec1769d",14.6437129694398,-17.3526582051595,"DAKAR","DAKAR"
"0ec17673",14.6407471293765,-17.3170916204901,"DAKAR","DAKAR OFFSHORE"
"0ec1760d",14.6410250865667,-17.3108811349352,"DAKAR","DAKAR OFFSHORE"
"0ec17613",14.6361491847183,-17.3108652127244,"DAKAR","DAKAR"
"0ec176eb",14.6217426910701,-17.3586876407091,"DAKAR","DAKAR OFFSHORE"
"0ec176c1",14.621436800791,-17.3632165356985,"DAKAR","DAKAR OFFSHORE"
"0ec17671",14.6408579545538,-17.3232579924452,"DAKAR","DAKAR OFFSHORE"
"0ec17685",14.6394070484764,-17.34600182961,"DAKAR","DAKAR OFFSHORE"
"0ec17683",14.6438666548796,-17.3464714172749,"DAKAR","DAKAR OFFSHORE"
"0ec1766f",14.6358969299437,-17.3226511229084,"DAKAR","DAKAR OFFSHORE"
"0ec1766d",14.6361324009396,-17.3166648111008,"DAKAR","DAKAR OFFSHORE"
"0ec17687",14.6393772405933,-17.3404909848799,"DAKAR","DAKAR OFFSHORE"
"0ec1767d",14.639981185045,-17.3346053006749,"DAKAR","DAKAR OFFSHORE"
"0ec17697",14.632541585545,-17.3590988291474,"DAKAR","DAKAR OFFSHORE"
"0ec176bf",14.6254387825034,-17.36385068627,"DAKAR","DAKAR OFFSHORE"
"0ec17681",14.6446375153293,-17.3407861058509,"DAKAR","DAKAR OFFSHORE"
"0ec17695",14.6266767059948,-17.3584790548912,"DAKAR","DAKAR OFFSHORE"
"0ec1769b",14.6388292507696,-17.3517769146826,"DAKAR","DAKAR OFFSHORE"
"0ec1742b",14.6511915168239,-17.3398029176419,"DAKAR","DAKAR OFFSHORE"
"0ec1768d",14.6272972831429,-17.3463620433313,"DAKAR","DAKAR OFFSHORE"
"0ec17663",14.6343100756818,-17.3350556117226,"DAKAR","DAKAR OFFSHORE"
"0ec17689",14.6342489815162,-17.340800880416,"DAKAR","DAKAR OFFSHORE"
"0ec1768f",14.6331739007775,-17.3462482064592,"DAKAR","DAKAR OFFSHORE"
"0ec17665",14.6348108966717,-17.3289409459963,"DAKAR","DAKAR OFFSHORE"
"0ec1768b",14.628740984764,-17.3411500504554,"DAKAR","DAKAR OFFSHORE"
