"vessel_name","MMSI","Flag","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_start_confidence","trip_end","trip_end_confidence","trip_duration_days","end_port","fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","at_dock","percent_ais_voyage"
"YI FENG 26","412209123","CHN","seismic_vessel","seismic_vessel","SEN","DAKAR",2024-02-05 10:37:55,4,2024-02-25 06:51:31,4,19.8,"DAKAR",TRUE,4986.41666666668,"GNB, SEN",FALSE,"NAMMCO, SRFC, IWC, ACAP, ICCAT",FALSE,NA,TRUE,2,TRUE,99.8
"YIFENG21","412209011","CHN","fishing","fishing","GNB","BISSAU",2024-02-20 00:25:27,4,2024-03-10 17:14:44,4,19.7,"DAKAR",TRUE,3231.60277777778,"SEN, GNB",FALSE,"ICCAT, SRFC, ACAP, IWC, NAMMCO",FALSE,NA,TRUE,9,TRUE,73.4
"YANGMING8006","412209198","CHN","fishing","inconclusive","SEN","DAKAR",2024-03-03 00:31:20,4,2024-03-17 04:52:29,4,14.2,"DAKAR",TRUE,4020.62083333334,"SEN, GNB",FALSE,"ICCAT, ACAP, IWC, SRFC, NAMMCO",FALSE,NA,TRUE,2,TRUE,98.2
"YANGMING8006","412209198","CHN","fishing","inconclusive","SEN","DAKAR",2024-02-18 21:53:51,4,2024-02-27 12:38:40,4,8.6,"DAKAR",TRUE,1201.75833333333,"SEN, GNB",FALSE,"SRFC, IWC, NAMMCO, ACAP, ICCAT",FALSE,NA,TRUE,2,TRUE,98.1
"YANGMING8006","412209198","CHN","fishing","inconclusive","GNB","BISSAU",2024-01-24 16:33:04,4,2024-01-25 15:17:18,4,0.9,"DAKAR",FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,95.8
"YANGMING8006","412209198","CHN","fishing","inconclusive","SEN","DAKAR",2023-12-15 20:55:14,4,2024-01-01 09:31:00,4,16.5,"DAKAR",TRUE,3349.70138888889,"SEN, GNB",FALSE,"NAMMCO, ICCAT, SRFC, ACAP, IWC",FALSE,NA,TRUE,7,TRUE,100
"YANGMING8006","412209198","CHN","fishing","inconclusive","SEN","DAKAR",2024-02-02 06:47:21,4,2024-02-17 15:08:58,4,15.3,"DAKAR",TRUE,4868.75416666665,"SEN, GNB",FALSE,"ACAP, ICCAT, NAMMCO, SRFC, IWC",FALSE,NA,TRUE,4,TRUE,96.5
"EVERRICH 636","100902469","CIV","fishing","drifting_longlines","SEN","DAKAR",2023-11-03 10:22:37,4,2024-01-18 10:30:51,4,76,"DAKAR",TRUE,3189.67833333333,NA,TRUE,"IWC, ICCAT, NAMMCO, ACAP",FALSE,NA,TRUE,36,TRUE,85.9
"ARSLAN 2","271073441","TUR","fishing","trawlers","SEN","DAKAR",2024-03-04 14:09:27,4,2024-03-09 12:16:39,3,4.9,"DAKAR",TRUE,721.775,"GMB, SEN",FALSE,"ICCAT, SRFC, IWC, ACAP, NAMMCO",FALSE,NA,FALSE,NA,TRUE,89.9
"ARSLAN 2","271073441","TUR","fishing","trawlers","GMB","BANJUL",2024-02-01 12:35:15,4,2024-02-02 02:30:54,4,0.5,"DAKAR",FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,73.3
"CYYU2","412200985","CHN","fishing","trawlers","SEN","DAKAR",2024-02-03 14:33:53,4,2024-02-27 10:07:25,3,23.8,"DAKAR",FALSE,NA,NA,FALSE,NA,FALSE,NA,TRUE,1,TRUE,1.9
"CYYU2","412200985","CHN","fishing","trawlers","SEN","DAKAR",2024-01-28 13:39:45,3,2024-01-29 23:41:48,4,1.4,"DAKAR",FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,14.3
"FENG YA NO.11","416379000","TWN","fishing","drifting_longlines","ZAF","CAPE TOWN",2023-12-19 08:43:43,4,2024-02-15 16:14:19,4,58.3,"DAKAR",TRUE,1577.82944444444,NA,TRUE,"ICCAT, NAMMCO, IWC, ACAP",FALSE,NA,TRUE,8,TRUE,82.4
"COSTA DE  HUELVA","224854000","ESP","fishing","trawlers","SEN","DAKAR",2023-11-15 18:35:43,4,2024-01-01 17:34:43,4,46.9,"DAKAR",TRUE,12011.4111111111,"SEN, GNB",FALSE,"IWC, NAMMCO, ACAP, ICCAT, SRFC",FALSE,NA,FALSE,NA,TRUE,100
"LONG TAI  2","627227000","GHA","fishing","fishing","GHA","TEMA",2024-01-12 19:33:34,4,2024-01-19 05:45:43,4,6.4,"DAKAR",FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,21.9
"SANTO DO MAR","224387000","ESP","fishing","trawlers","MRT","CANSADO",2024-01-18 19:37:35,4,2024-01-21 04:25:57,4,2.3,"DAKAR",FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,100
"SANTO DO MAR","224387000","ESP","fishing","trawlers","GNB","BISSAU",2024-01-31 20:13:23,4,2024-03-17 05:19:18,4,45.4,"DAKAR",TRUE,9736.78055555556,"GNB, SEN",FALSE,"ACAP, IWC, SRFC, ICCAT, NAMMCO",FALSE,NA,FALSE,NA,TRUE,100
"SANTO DO MAR","224387000","ESP","fishing","trawlers","SEN","DAKAR",2024-03-19 18:23:50,4,2024-03-22 07:09:40,4,2.5,"DAKAR",TRUE,776.829166666667,"SEN",FALSE,"ICCAT, ACAP, NAMMCO, SRFC, IWC",FALSE,NA,FALSE,NA,TRUE,100
"MENGXIN2O","412209169","CHN","fishing","set_longlines","GIN","CONAKRY",2024-01-16 20:13:51,4,2024-01-18 19:28:15,4,2,"DAKAR",FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,89.6
"NO.211DONG WON","440782000","KOR","fishing","drifting_longlines","MUS","PORT LOUIS",2023-11-11 11:00:26,4,2024-01-30 05:59:21,4,79.8,"DAKAR",TRUE,1850.4875,NA,TRUE,"NAMMCO, IWC, CCSBT, IOTC, ICCAT, ACAP, SIOFA",TRUE,2,TRUE,35,TRUE,100
