"vessel_name","MMSI","Flag2","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_end","trip_duration_days","end_port","fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","at_dock","percent_ais_voyage","vessel.ID","trip.ID","Start.confidence","End.confidence"
"ATOUMAY","654007400","MRT","fishing","trawlers","MRT","CANSADO","19/05/2024 07:40","21/05/2024 00:23","1.7","DAKAR","FALSE",NA,NA,"FALSE",NA,"FALSE",NA,"FALSE",NA,"TRUE","100","7ee65946a-a57f-6f16-e049-e3fe16f66782","654007400-7ee65946a-a57f-6f16-e049-e3fe16f66782-018f8fcb8980","4","4"
"ATOUMAY","654007400","MRT","fishing","trawlers","SEN","DAKAR","25/05/2024 16:40","26/05/2024 09:47","0.7","DAKAR","TRUE","43.475","SEN","FALSE","ACAP, SRFC, NAMMCO, IWC, ICCAT","FALSE",NA,"FALSE",NA,"TRUE","100","7ee65946a-a57f-6f16-e049-e3fe16f66782","654007400-7ee65946a-a57f-6f16-e049-e3fe16f66782-018fb09fa6a0","4","4"
"ATOUMAY","654007400","MRT","fishing","trawlers","SEN","DAKAR","06/06/2024 16:27","06/07/2024 09:00","0.7","DAKAR","TRUE","14.35833333","SEN","FALSE","NAMMCO, ICCAT, ACAP, IWC, SRFC","FALSE",NA,"FALSE",NA,"TRUE","100","7ee65946a-a57f-6f16-e049-e3fe16f66782","654007400-7ee65946a-a57f-6f16-e049-e3fe16f66782-018fee60e2b0","4","4"
"BACALAM","630124008","GNB","fishing","trawlers","GNB","BISSAU","18/04/2024 22:45","05/01/2024 07:47","12.4","DAKAR","TRUE","5553.251389","SEN, GNB","FALSE","NAMMCO, ICCAT, SRFC, IWC, ACAP","FALSE",NA,"TRUE","2","TRUE","74.2","1ea684eb3-34e7-885e-a813-29bcbce1f753","630124008-1ea684eb3-34e7-885e-a813-29bcbce1f753-018ef3633d18","4","4"
"CHAMYUAMYU11","412200988","CHN","fishing","trawlers","SEN","DAKAR","16/03/2024 11:45","04/02/2024 06:47","16.8","DAKAR","TRUE","98.5125","SEN","FALSE","ICCAT, SRFC, ACAP, IWC, NAMMCO","FALSE",NA,"TRUE","3","TRUE","12.9","f5b96f9c3-3dea-a442-a8f1-d9330bb93f69","412200988-f5b96f9c3-3dea-a442-a8f1-d9330bb93f69-018e471479a0","4","3"
"CHAMYUAMYU11","412200988","CHN","fishing","trawlers","MEX","MEX-175","04/11/2024 06:06","30/04/2024 01:45","18.8","DAKAR","FALSE",NA,NA,"FALSE",NA,"FALSE",NA,"TRUE","5","TRUE","7.1","f5b96f9c3-3dea-a442-a8f1-d9330bb93f69","412200988-f5b96f9c3-3dea-a442-a8f1-d9330bb93f69-018ecbc3e5c8","2","3"
"CHAMYUAMYU11","412200988","CHN","fishing","trawlers","MEX","MEX-175","05/09/2024 05:32","16/05/2024 10:42","7.2","DAKAR","FALSE",NA,NA,"FALSE",NA,"FALSE",NA,"FALSE",NA,"TRUE","2.3","f5b96f9c3-3dea-a442-a8f1-d9330bb93f69","412200988-f5b96f9c3-3dea-a442-a8f1-d9330bb93f69-018f5bd67360","2","2"
"CHAMYUAMYU11","412200988","CHN","fishing","trawlers","MEX","MEX-175","06/06/2024 12:10","25/06/2024 17:34","19.2","DAKAR","FALSE",NA,NA,"FALSE",NA,"FALSE",NA,"TRUE","4","TRUE","3.9","f5b96f9c3-3dea-a442-a8f1-d9330bb93f69","412200988-f5b96f9c3-3dea-a442-a8f1-d9330bb93f69-018fed74d8e8","2","4"
"CHANG RONG 5","412280994","CHN","fishing","drifting_longlines","SEN","DAKAR","10/08/2023 09:29","26/04/2024 08:24","200.9","DAKAR","TRUE","12190.50333",NA,"TRUE","ICCAT, ACAP, NAMMCO, IWC","TRUE","2","TRUE","9","TRUE","95.4","5fef91cbd-d1f5-6e89-da98-e954963e1566","412280994-5fef91cbd-d1f5-6e89-da98-e954963e1566-018b0e9f3608","4","4"
"CHANG RONG 7","412519271","CHN","fishing","drifting_longlines","SEN","DAKAR","12/06/2023 15:00","26/04/2024 08:06","141.7","DAKAR","TRUE","5374.032222",NA,"TRUE","NAMMCO, ICCAT, ACAP, IWC","TRUE","2","TRUE","12","TRUE","83.6","69f55515f-f1f5-a137-0f67-0d96fd867654","412519271-69f55515f-f1f5-a137-0f67-0d96fd867654-018c3fa4e788","4","4"
"CHANG RONG 8","412549272","CHN","fishing","drifting_longlines","SEN","DAKAR","12/06/2023 15:00","26/04/2024 07:49","141.7","DAKAR","TRUE","5192.004444",NA,"TRUE","IWC, ACAP, NAMMCO, ICCAT","TRUE","1","TRUE","14","TRUE","80.3","2d467179f-f1de-c034-8a23-f091c3e4cadf","412549272-2d467179f-f1de-c034-8a23-f091c3e4cadf-018c3fa55100","4","4"
"CHIN SIANG WEN","416035800","TWN","fishing","drifting_longlines","MYS","TANJUNG PELEPAS","24/09/2022 12:16","18/04/2024 05:39","571.7","DAKAR","TRUE","1797.647222","GMB, SEN, GNB","TRUE","ICCAT, SRFC, IOTC, ACAP, IWC, NAMMCO, SIOFA","FALSE",NA,"FALSE",NA,"TRUE","94.2","6025d042e-e8c3-55c0-dc9d-2fe9ce105d47","416035800-6025d042e-e8c3-55c0-dc9d-2fe9ce105d47-01836f6d5396","4","4"
"CIUDAD DE HUELVA","225987981","ESP","fishing","trawlers","GNB","BISSAU","04/03/2024 15:23","21/04/2024 15:42","18","DAKAR","TRUE","2539.197222","SEN, GNB","FALSE","ACAP, NAMMCO, SRFC, IWC, ICCAT","FALSE",NA,"TRUE","5","TRUE","68.8","45fc67c5f-ffbb-8088-09a3-4baf211463bb","225987981-45fc67c5f-ffbb-8088-09a3-4baf211463bb-018ea48f2788","4","4"
"CIUDAD DE HUELVA","225987981","ESP","fishing","trawlers","SEN","DAKAR","25/04/2024 19:36","15/06/2024 02:08","50.3","DAKAR","TRUE","15658.85972","SEN, GNB","FALSE","NAMMCO, ICCAT, ACAP, IWC, SRFC","FALSE",NA,"TRUE","3","TRUE","98.8","45fc67c5f-ffbb-8088-09a3-4baf211463bb","225987981-45fc67c5f-ffbb-8088-09a3-4baf211463bb-018f16c2a4b0","4","4"
"COSTA DE HUELVA","224854000","ESP","fishing","trawlers","GNB","BISSAU","26/02/2024 23:42","04/12/2024 07:09","45.3","DAKAR","TRUE","11766.95556","GNB, SEN","FALSE","ICCAT, ACAP, IWC, NAMMCO, SRFC","FALSE",NA,"TRUE","3","TRUE","96","1e31d7cd6-6c64-7b64-d9fd-71ea2e122789","224854000-1e31d7cd6-6c64-7b64-d9fd-71ea2e122789-018de7ccdbb8","4","4"
"COSTA DE HUELVA","224854000","ESP","fishing","trawlers","SEN","DAKAR","04/12/2024 19:32","20/04/2024 07:24","7.5","DAKAR","TRUE","2448.698611","SEN, GNB","FALSE","ICCAT, IWC, SRFC, NAMMCO, ACAP","FALSE",NA,"FALSE",NA,"TRUE","100","1e31d7cd6-6c64-7b64-d9fd-71ea2e122789","224854000-1e31d7cd6-6c64-7b64-d9fd-71ea2e122789-018ed3cc7e10","4","4"
