vessel_name,MMSI,Flag,vessel_class,vessel_type,previous_port_country,previous_port,trip_start,trip_start_confidence,trip_end,trip_end_confidence,trip_duration_days,end_port,fishing,fishing_hours,fishing_eez,fishing_hs,fishing_rfmos,encounter,num_encounters,loitering,num_loitering,vessel_id,trip_id,at_dock,percent_ais_voyage
F/V STERENN,226180000,FRA,fishing,tuna_purse_seines,SEN,DAKAR,10/04/2024 12:45,3,13/05/2024 06:49,4,32.8,DAKAR,TRUE,192.4472222,GIN,FALSE,"NAMMCO, IWC, ACAP, ICCAT, SRFC",FALSE,NA,TRUE,3,ec049fc02-2932-810d-f9b3-293e4eec0799,226180000-ec049fc02-2932-810d-f9b3-293e4eec0799-018ec80aa2a0,TRUE,10.5
PITUFO,312344000,BLZ,fishing,drifting_longlines,CPV,MINDELO,10/05/2024 13:39,4,13/05/2024 07:58,4,2.8,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,5927419b0-055b-463c-c1b7-83e4c912e74b,312344000-5927419b0-055b-463c-c1b7-83e4c912e74b-018f62bb4458,NA,100
YIFENG7,412200996,CHN,fishing,trawlers,SEN,DAKAR,25/04/2024 07:49,4,13/05/2024 19:59,4,18.5,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,TRUE,11,e0d511224-49a9-8047-a2ed-4fc1d0aaf626,412200996-e0d511224-49a9-8047-a2ed-4fc1d0aaf626-018f143b03b8,TRUE,74.2
FU YUAN YU 373,412440268,CHN,fishing,inconclusive,GIN,CONAKRY,11/05/2024 20:59,4,14/05/2024 01:11,4,2.2,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,3e24cdb87-795c-1b60-72d5-0b1288f94e55,412440268-3e24cdb87-795c-1b60-72d5-0b1288f94e55-018f69742b20,TRUE,79.6
YI FENG 8,412200997,CHN,fishing,trawlers,SEN,DAKAR,25/04/2024 17:53,4,14/05/2024 02:49,4,18.3,DAKAR,TRUE,4072.126389,"SEN, GNB",FALSE,"ACAP, IWC, ICCAT, SRFC, NAMMCO",FALSE,NA,FALSE,NA,f5bd98f66-6d86-ae44-98a1-a86dbba4f507,412200997-f5bd98f66-6d86-ae44-98a1-a86dbba4f507-018f16641d78,TRUE,98.4
FU YUAN YU 372,412440267,CHN,fishing,inconclusive,GIN,CONAKRY,12/05/2024 00:00,2,14/05/2024 03:20,3,2.1,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,11e2f9c75-583c-3436-271c-275c273c32a8,412440267-11e2f9c75-583c-3436-271c-275c273c32a8-018f6a19b9f0,TRUE,5.8
YIFENG21,412209011,CHN,fishing,trawlers,SEN,DAKAR,27/04/2024 12:41,4,14/05/2024 04:51,4,16.7,DAKAR,TRUE,2673.147222,"GNB, SEN",FALSE,"SRFC, NAMMCO, ICCAT, ACAP, IWC",FALSE,NA,TRUE,3,c168bbf49-9c02-8ea2-724f-1f17ea5b988d,412209011-c168bbf49-9c02-8ea2-724f-1f17ea5b988d-018f1f92f5e0,TRUE,82.3
"S% RONG YUAN YU 897,",412331028,CHN,fishing,drifting_longlines,CIV,ABIDJAN,06/12/2023 18:25,4,14/05/2024 06:58,4,159.5,DAKAR,TRUE,41.83916667,NA,TRUE,"IWC, ACAP, ICCAT",FALSE,NA,TRUE,53,808c0e489-9ae4-4976-9d72-ef1dff4af96c,412331028-808c0e489-9ae4-4976-9d72-ef1dff4af96c-018c4060cd18,TRUE,13
STI MYTHIC,538010465,MHL,fishing,pole_and_line,GMB,BANJUL,13/05/2024 12:18,4,14/05/2024 13:41,4,1,DAKAR,TRUE,355.3041667,SEN,FALSE,"ACAP, ICCAT, IWC, SRFC, NAMMCO",FALSE,NA,FALSE,NA,78ad7d0ea-a52c-fe8d-9a7c-bb3b309515c7,538010465-78ad7d0ea-a52c-fe8d-9a7c-bb3b309515c7-018f71e3fd30,TRUE,100
PLAYA DE NOJA,224531000,ESP,fishing,tuna_purse_seines,CPV,MINDELO,12/05/2024 14:39,4,14/05/2024 21:42,3,2.3,DAKAR,TRUE,9.502777778,CPV,FALSE,"NAMMCO, ACAP, SRFC, ICCAT, IWC",FALSE,NA,FALSE,NA,472962590-0e8b-947d-3f92-4a00e908d511,224531000-472962590-0e8b-947d-3f92-4a00e908d511-018f6d3e4e98,TRUE,100
