"vessel_name","MMSI","Flag","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_start_confidence","trip_end","trip_end_confidence","trip_duration_days","end_port","fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","vv_url"
"CURBEIRO","224106000","ESP","fishing","trawlers","MRT","CANSADO",2024-08-17 08:34:12,4,2024-08-19 07:55:41,4,2,"DAKAR",FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/abfdf22f1-145b-2a91-3e6b-7acb899cd1d7?&start=2024-09-01&end=2024-10-31"")"
"CURBEIRO","224106000","ESP","fishing","trawlers","SEN","DAKAR",2024-08-20 17:54:06,4,2024-09-23 16:54:05,3,33.9,"DAKAR",TRUE,2785.47916666666,"SEN",FALSE,"NAMMCO, SRFC, IWC, ACAP, ICCAT",FALSE,NA,TRUE,1,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/abfdf22f1-145b-2a91-3e6b-7acb899cd1d7?&start=2024-09-01&end=2024-10-31"")"
"YIFENG10","412200999","CHN","fishing","fishing","SEN","DAKAR",2024-07-20 04:01:25,4,2024-07-27 10:13:52,4,7.3,"DAKAR",FALSE,NA,NA,FALSE,NA,FALSE,NA,TRUE,8,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c5de9be58-8b54-b6da-c3b6-408c3c806ce8?&start=2024-09-01&end=2024-10-31"")"
"YIFENG10","412200999","CHN","fishing","fishing","SEN","DAKAR",2024-08-21 02:44:54,4,2024-09-18 11:01:36,4,28.3,"DAKAR",FALSE,NA,NA,FALSE,NA,FALSE,NA,TRUE,19,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c5de9be58-8b54-b6da-c3b6-408c3c806ce8?&start=2024-09-01&end=2024-10-31"")"
"YIFENG10","412200999","CHN","fishing","fishing","SEN","DAKAR",2024-07-29 21:35:38,4,2024-08-18 16:14:32,4,19.8,"DAKAR",FALSE,NA,NA,FALSE,NA,FALSE,NA,TRUE,17,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c5de9be58-8b54-b6da-c3b6-408c3c806ce8?&start=2024-09-01&end=2024-10-31"")"
"YIFENG10","412200999","CHN","fishing","fishing","SEN","DAKAR",2024-06-25 17:05:17,4,2024-07-16 09:45:51,4,20.7,"DAKAR",TRUE,20.9805555555556,"GNB",FALSE,"ACAP, ICCAT, IWC, NAMMCO, SRFC",FALSE,NA,TRUE,18,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c5de9be58-8b54-b6da-c3b6-408c3c806ce8?&start=2024-09-01&end=2024-10-31"")"
"VOULA","626260000","GAB","fishing","pots_and_traps","BRA","MANAUS",2024-07-24 06:50:06,4,2024-08-02 08:56:33,4,9.1,"DAKAR",TRUE,10.53,"BRA",FALSE,"ICCAT, ACAP, IWC, NAMMCO",FALSE,NA,FALSE,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/7bb750b0c-c80b-7e17-95c8-32d0f43b600b?&start=2024-09-01&end=2024-10-31"")"
"WESTERO","266011000","SWE","fishing","trawlers","SEN","DAKAR",2024-08-11 00:16:36,4,2024-08-17 05:46:50,4,6.2,"DAKAR",TRUE,1265.54583333333,"GMB, SEN",FALSE,"NAMMCO, IWC, ICCAT, SRFC, ACAP",FALSE,NA,FALSE,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c65c0e5a3-38e1-fce8-013c-b5ae997aa5b2?&start=2024-09-01&end=2024-10-31"")"
"WESTERO","266011000","SWE","fishing","trawlers","GMB","BANJUL",2024-08-25 22:30:19,3,2024-09-08 07:25:47,3,13.3,"DAKAR",TRUE,1672.7,"GMB",FALSE,"SRFC, ACAP, ICCAT, NAMMCO, IWC",FALSE,NA,FALSE,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c65c0e5a3-38e1-fce8-013c-b5ae997aa5b2?&start=2024-09-01&end=2024-10-31"")"
"WESTERO","266011000","SWE","fishing","trawlers","SEN","DAKAR",2024-08-04 01:45:53,4,2024-08-07 08:48:18,4,3.3,"DAKAR",TRUE,617.455555555556,"SEN, GMB",FALSE,"ICCAT, SRFC, NAMMCO, IWC, ACAP",FALSE,NA,FALSE,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c65c0e5a3-38e1-fce8-013c-b5ae997aa5b2?&start=2024-09-01&end=2024-10-31"")"
"SEA FRONTIER","632001009","GIN","fishing","tuna_purse_seines","SEN","DAKAR",2024-07-09 09:14:24,4,2024-07-18 13:05:30,3,9.1,"DAKAR",TRUE,291.283333333334,"MRT",FALSE,"IWC, ACAP, NAMMCO, ICCAT, SRFC",FALSE,NA,FALSE,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/d2b4fe93a-aff7-7fee-8f10-183fa04a6252?&start=2024-09-01&end=2024-10-31"")"
"SEA FRONTIER","632001009","GIN","fishing","tuna_purse_seines","SEN","DAKAR",2024-06-01 21:35:44,4,2024-07-04 12:08:33,4,32.6,"DAKAR",TRUE,30.1833333333333,"SEN",FALSE,"SRFC, IWC, ACAP, NAMMCO, ICCAT",FALSE,NA,FALSE,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/d2b4fe93a-aff7-7fee-8f10-183fa04a6252?&start=2024-09-01&end=2024-10-31"")"
"GOBER SEIS","224172000","ESP","other","other","MRT","CANSADO",2024-07-02 07:54:28,4,2024-07-04 05:00:05,4,1.9,"DAKAR",FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/7df384ab2-28e3-2aa9-3799-62f81979e77f?&start=2024-09-01&end=2024-10-31"")"
"RUITAIFENG88","412217977","CHN","carrier","carrier","GIN","CONAKRY",2024-07-24 15:40:18,4,2024-07-30 12:42:37,4,5.9,"DAKAR",FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/1ad0c9598-8f03-b516-5ded-51f5a32ad0e9?&start=2024-09-01&end=2024-10-31"")"
"RUITAIFENG88","412217977","CHN","carrier","carrier","GIN","CONAKRY",2024-09-07 09:49:43,4,2024-09-09 14:26:28,4,2.2,"DAKAR",FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/1ad0c9598-8f03-b516-5ded-51f5a32ad0e9?&start=2024-09-01&end=2024-10-31"")"
"EIGHTEEN","629009118","GMB","cargo","cargo","SEN","DAKAR",2024-07-23 20:19:50,4,2024-08-08 19:50:21,4,16,"DAKAR",FALSE,NA,NA,FALSE,NA,FALSE,NA,TRUE,8,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/f578a4c52-2123-4510-d4bd-f4fd62fed9a8?&start=2024-09-01&end=2024-10-31"")"
"EIGHTEEN","629009118","GMB","cargo","cargo","SEN","DAKAR",2024-08-13 21:11:32,4,2024-09-10 10:10:21,4,27.5,"DAKAR",FALSE,NA,NA,FALSE,NA,FALSE,NA,TRUE,7,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/f578a4c52-2123-4510-d4bd-f4fd62fed9a8?&start=2024-09-01&end=2024-10-31"")"
"EIGHTEEN","629009118","GMB","cargo","cargo","SEN","DAKAR",2024-07-03 15:04:46,4,2024-07-16 18:15:47,4,13.1,"DAKAR",FALSE,NA,NA,FALSE,NA,FALSE,NA,TRUE,1,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/f578a4c52-2123-4510-d4bd-f4fd62fed9a8?&start=2024-09-01&end=2024-10-31"")"
"EIGHTEEN","629009118","GMB","cargo","cargo","SEN","DAKAR",2024-07-16 21:57:16,4,2024-07-19 04:29:47,4,2.3,"DAKAR",FALSE,NA,NA,FALSE,NA,FALSE,NA,TRUE,1,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/f578a4c52-2123-4510-d4bd-f4fd62fed9a8?&start=2024-09-01&end=2024-10-31"")"
