"vessel_name","MMSI","Flag","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_start_confidence","trip_end","trip_end_confidence","trip_duration_days","end_port","fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","vv_url"
"EGALUZE","224580000","ESP","fishing","tuna_purse_seines","SEN","DAKAR",2024-06-24 13:20:25,4,2024-07-11 22:43:43,4,17.4,"DAKAR",TRUE,534.097222222222,"ESH, MRT",TRUE,"NAMMCO, IWC, ICCAT, ACAP, SRFC",FALSE,NA,TRUE,10,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/a0aa90604-4562-1097-2a1e-56ca4a57e84f?&start=2024-09-01&end=2024-10-31"")"
"EGALUZE","224580000","ESP","fishing","tuna_purse_seines","SEN","DAKAR",2024-08-19 11:21:00,4,2024-08-22 15:39:14,4,3.2,"DAKAR",TRUE,177.980555555556,"SEN, MRT",FALSE,"ACAP, IWC, NAMMCO, ICCAT, SRFC",FALSE,NA,TRUE,3,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/a0aa90604-4562-1097-2a1e-56ca4a57e84f?&start=2024-09-01&end=2024-10-31"")"
"EGALUZE","224580000","ESP","fishing","tuna_purse_seines","SEN","DAKAR",2024-08-25 07:43:21,4,2024-09-05 06:14:19,4,10.9,"DAKAR",TRUE,130.541111111111,"MRT",TRUE,"NAMMCO, IWC, ACAP, ICCAT, SRFC",FALSE,NA,TRUE,1,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/a0aa90604-4562-1097-2a1e-56ca4a57e84f?&start=2024-09-01&end=2024-10-31"")"
"EGALUZE","224580000","ESP","fishing","tuna_purse_seines","SEN","DAKAR",2024-07-30 14:10:59,4,2024-08-15 06:21:48,4,15.7,"DAKAR",TRUE,948.819999999999,"MRT, ESH, SEN",TRUE,"ICCAT, SRFC, ACAP, NAMMCO, IWC",FALSE,NA,TRUE,10,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/a0aa90604-4562-1097-2a1e-56ca4a57e84f?&start=2024-09-01&end=2024-10-31"")"
"F/V CORONA DEL MAR","228967000","FRA","fishing","fishing","SEN","DAKAR",2024-08-12 20:03:47,4,2024-09-02 07:01:58,4,20.4,"DAKAR",TRUE,296.397777777778,NA,TRUE,"ICCAT, IWC, NAMMCO, ACAP",FALSE,NA,TRUE,5,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/225be91ff-f744-cd74-80d0-163ad2a6d887?&start=2024-09-01&end=2024-10-31"")"
"F/V CORONA DEL MAR","228967000","FRA","fishing","fishing","SEN","DAKAR",2024-08-09 18:28:01,4,2024-08-10 08:06:25,4,0.5,"DAKAR",TRUE,287.4,"SEN",FALSE,"IWC, ACAP, ICCAT, SRFC, NAMMCO",FALSE,NA,FALSE,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/225be91ff-f744-cd74-80d0-163ad2a6d887?&start=2024-09-01&end=2024-10-31"")"
"F/V CORONA DEL MAR","228967000","FRA","fishing","fishing","SEN","DAKAR",2024-09-09 15:16:26,4,2024-09-10 16:36:11,4,1,"DAKAR",TRUE,357.0125,"SEN",FALSE,"NAMMCO, ACAP, IWC, SRFC, ICCAT",FALSE,NA,FALSE,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/225be91ff-f744-cd74-80d0-163ad2a6d887?&start=2024-09-01&end=2024-10-31"")"
"F/V CORONA DEL MAR","228967000","FRA","fishing","fishing","SEN","DAKAR",2024-07-05 19:22:44,4,2024-07-23 23:44:15,4,18.2,"DAKAR",FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/225be91ff-f744-cd74-80d0-163ad2a6d887?&start=2024-09-01&end=2024-10-31"")"
"MENGXIN23","412209173","CHN","fishing","trawlers","GIN","CONAKRY",2024-07-04 15:42:52,4,2024-07-06 15:28:29,4,2,"DAKAR",FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/75fdc78ae-e133-f259-3653-52561165e258?&start=2024-09-01&end=2024-10-31"")"
"UMAIA","630124700","MRT","fishing","fishing","GNB","BISSAU",2024-07-04 23:54:30,4,2024-07-23 13:11:15,4,18.5,"DAKAR",TRUE,5507.00277777778,"GNB, SEN",FALSE,"ACAP, IWC, ICCAT, NAMMCO, SRFC",FALSE,NA,FALSE,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/881356027-7aca-2553-c080-cdb8eeef538a?&start=2024-09-01&end=2024-10-31"")"
