vessel_name,MMSI,Flag,AIS_Flag,imo,vessel_class_cat,vessel_class_confidence,vessel_class,vessel_type,previous_port_country,previous_port,trip_start,trip_start_confidence,trip_end,trip_end_confidence,trip_duration_days,end_port,tema_general,tema_fuel,tema_fishing,takoradi_general,fishing,fishing_hours,fishing_eez,fishing_hs,fishing_rfmos,encounter,num_encounters,loitering,num_loitering,percent_ais_voyage,vv_url
DEEP WATERS,677028300,TZA,TZA,NA,carrier,low,other,other,TGO,LOME,03/01/2025 17:20,4,18/03/2025 14:01,4,73.8,TEMA,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,0.3,https://globalfishingwatch.org/map/vessel/e2117ecf7-7ec6-3370-3cbb-c22b4a76fd51?&start=2025-01-01&end=2025-03-20
CROWN SAPPHIRE,311000855,BHS,BHS,9159115,carrier,low,carrier,carrier,SEN,DAKAR,20/01/2025 22:58,4,24/01/2025 06:55,4,3.3,SEKONDI-TAKORADI,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,https://globalfishingwatch.org/map/vessel/a7332a0d7-7d0e-aa0a-5987-7313d025e136?&start=2025-01-18&end=2025-01-26
FRIO MARATHON,311001593,BHS,BHS,8916229,carrier,high,carrier,carrier,LBR,MONROVIA,03/01/2025 18:00,4,06/01/2025 07:20,4,2.5,TEMA,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,https://globalfishingwatch.org/map/vessel/f9534c19e-e2ce-1a02-5f59-ace5f93c0be4?&start=2025-01-01&end=2025-01-08
SIERRA LAUREL,311001187,BHS,BHS,9163403,carrier,high,carrier,carrier,CIV,ABIDJAN,02/03/2025 20:20,4,03/03/2025 21:49,4,1,TEMA,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,https://globalfishingwatch.org/map/vessel/8593a4c60-0b5a-a4c9-c3e9-958590425e59?&start=2025-02-28&end=2025-03-05
HAVOVR 1,422223000,IRN,IRN,7910694,fishing,high,fishing,tuna_purse_seines,ARE,SHARJAH ANCHORAGE,28/12/2024 15:19,4,12/03/2025 07:24,3,73.7,TEMA,FALSE,FALSE,FALSE,FALSE,TRUE,268.3147222,"MOZ, ZAF, ATF, COM",TRUE,"ICCAT, IOTC, CCSBT-Primary-Area, CCSBT, ACAP, SIOFA, IWC, SWIOFC",FALSE,NA,TRUE,10,NA,https://globalfishingwatch.org/map/vessel/ffff25fcc-c834-5ff3-4ea8-53428fc2537e?&start=2024-12-26&end=2025-03-14
DICHA UNO,312697000,BLZ,BLZ,8029026,fishing,low,fishing,tuna_purse_seines,CIV,PORT BOUET ANCHORAGE,18/03/2025 16:23,4,19/03/2025 14:45,4,0.9,TEMA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,https://globalfishingwatch.org/map/vessel/2842f60c5-5d09-d79a-ea8d-a65b3a62a81b?&start=2025-03-16&end=2025-03-21
KNUD REFEER,311062200,BHS,BHS,8903167,carrier,low,carrier,carrier,RUS,VISTINO,25/12/2024 06:43,4,11/01/2025 06:46,4,17,TEMA,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,https://globalfishingwatch.org/map/vessel/73abe5fd9-9a79-a7b7-0c12-44e69844c8f5?&start=2024-12-23&end=2025-01-13
BALTIC PATRIOT,311001000,BHS,BHS,9038488,carrier,high,carrier,carrier,CIV,ABIDJAN,09/03/2025 21:12,4,10/03/2025 08:45,4,0.5,SEKONDI-TAKORADI,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,https://globalfishingwatch.org/map/vessel/5a04c42e4-4840-6ae0-10aa-38344cb3ee87?&start=2025-03-07&end=2025-03-12
BALUCH,422754700,IRN,IRN,8010398,fishing,high,fishing,tuna_purse_seines,ARE,SHARJAH ANCHORAGE,23/12/2024 19:02,4,16/03/2025 15:10,3,82.8,TEMA,FALSE,FALSE,FALSE,FALSE,TRUE,170.3527778,"ZAF, MOZ, NAM, MYT",TRUE,"IOTC, SWIOFC, SIOFA, CCSBT-Primary-Area, ICCAT, ACAP, IWC, CCSBT",FALSE,NA,TRUE,15,NA,https://globalfishingwatch.org/map/vessel/3374a1090-0749-5832-b035-ecd4f3a77e10?&start=2024-12-21&end=2025-03-18
CASSIOPEA,277397000,LTU,LTU,9047269,carrier,high,carrier,carrier,BEN,COTONOU,27/02/2025 13:17,4,28/02/2025 01:45,4,0.5,TEMA,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,https://globalfishingwatch.org/map/vessel/7483bb953-3a1d-a5b3-c25b-3c87872cbc7b?&start=2025-02-25&end=2025-03-02
MARTA REEFER,355295000,PAN,PAN,9174701,carrier,high,carrier,carrier,MRT,CANSADO,30/12/2024 15:18,4,07/01/2025 20:05,4,8.2,TEMA,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,TRUE,1,TRUE,1,NA,https://globalfishingwatch.org/map/vessel/bcb7b9666-6e7b-c035-a144-c0c6a909f2a3?&start=2024-12-28&end=2025-01-09
MSC UNITE VI,636024729,LBR,LBR,9116589,carrier,low,other,other,TGO,LOME,21/03/2025 20:10,4,22/03/2025 07:05,4,0.4,TEMA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,https://globalfishingwatch.org/map/vessel/c72e7d54f-f01b-0787-abe2-38fb53c0983c?&start=2025-03-19&end=2025-03-24
ATLANTIC PRINCE,312867000,BLZ,BLZ,8919415,fishing,high,fishing,tuna_purse_seines,CIV,ABIDJAN,08/02/2025 08:25,4,11/02/2025 03:05,4,2.8,TEMA,FALSE,FALSE,TRUE,FALSE,TRUE,20.48055556,"CIV, GHA",FALSE,"FCWC, ACAP, ICCAT, NAMMCO, IWC",FALSE,NA,TRUE,1,66.2,https://globalfishingwatch.org/map/vessel/a8fa13d03-3876-ae64-a357-4823082c2984?&start=2025-02-06&end=2025-02-13
DICHA UNO,312697000,BLZ,BLZ,8029026,fishing,low,fishing,tuna_purse_seines,CIV,ABIDJAN,02/01/2025 09:38,4,10/01/2025 10:32,4,8,TEMA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,5.2,https://globalfishingwatch.org/map/vessel/2842f60c5-5d09-d79a-ea8d-a65b3a62a81b?&start=2024-12-31&end=2025-01-12
NAUTILUS,577030000,VUT,VUT,9223708,fishing,high,fishing,trawlers,NAM,WALVIS BAY,13/03/2025 17:04,4,24/03/2025 08:06,4,10.6,TEMA,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,https://globalfishingwatch.org/map/vessel/6a13538a5-5dba-89f9-369f-4872e6f723e8?&start=2025-03-11&end=2025-03-26
AVUNDA REEFER,352351000,PAN,PAN,9072824,carrier,high,carrier,carrier,CIV,ABIDJAN,08/02/2025 21:46,4,10/02/2025 02:13,4,1.2,TEMA,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,https://globalfishingwatch.org/map/vessel/665ebd33c-c956-3093-dee2-b41b11d83307?&start=2025-02-06&end=2025-02-12
KUANG YING NO 12,416005726,TWN,TWN,NA,fishing,high,fishing,drifting_longlines,ZAF,CAPE TOWN,22/11/2024 16:52,4,10/01/2025 08:23,4,48.6,TEMA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,https://globalfishingwatch.org/map/vessel/42734248a-a0e1-6072-5556-4615c095691e?&start=2024-11-20&end=2025-01-12
FRIO CHIKUMA,311001575,BHS,BHS,9184536,carrier,high,carrier,carrier,CIV,ABIDJAN,22/01/2025 23:07,4,24/01/2025 13:11,4,1.6,TEMA,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,https://globalfishingwatch.org/map/vessel/99978859a-a724-2fdc-81f3-5539b528a994?&start=2025-01-20&end=2025-01-26
