"vessel_name","MMSI","Flag","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_start_confidence","trip_end","trip_end_confidence","trip_duration_days","end_port","at_dock","fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","percent_ais_voyage","vv_url"
"GUOSHUN 21","312403000","BLZ","other","other","PHL","VILLANUEVA",2024-10-06 01:30:28,4,2024-10-07 18:29:22,4,1.7,"GENERAL SANTOS",TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,40.5,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/53ecfd1fd-d01a-7bc7-f7c0-dfc057c5a8d7?&start=2024-10-04&end=2024-10-09"")"
"FENG XIANG 818","412439604","CHN","fishing","tuna_purse_seines","KIR","TARAWA",2024-10-01 06:13:05,4,2024-10-10 21:50:51,4,9.6,"GENERAL SANTOS",TRUE,TRUE,6.41666666666667,"KIR",FALSE,"ACAP, SPC, IWC, WCPFC, FFA",TRUE,1,TRUE,1,97,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/e7d8bfe49-9c1f-f0dd-6928-51ab11257595?&start=2024-09-29&end=2024-10-12"")"
"BOYANG CAPELLA","351373000","PAN","carrier","carrier","PNG","RABAUL",2024-11-22 07:00:06,4,2024-11-27 06:34:34,4,5,"GENERAL SANTOS",TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,93.3,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/5d62567c6-6e74-a945-809d-bf3c9bae69aa?&start=2024-11-20&end=2024-11-29"")"
"TUNA QUEEN","352894000","PAN","carrier","carrier","SLB","HONIARA",2024-11-19 02:26:52,4,2024-11-26 22:28:01,4,7.8,"GENERAL SANTOS",TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,77.2,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/1512ca283-37b5-2737-87b9-047cf0f30433?&start=2024-11-17&end=2024-11-28"")"
"SEIN KASAMA","440218000","KOR","carrier","carrier","THA","BANGKOK",2024-12-17 10:49:52,4,2024-12-23 22:10:03,4,6.5,"GENERAL SANTOS",TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,63.1,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/45b6c7d24-4f47-71e3-df6c-4a96781d962a?&start=2024-12-15&end=2024-12-25"")"
"FONG KUO NO:189","416243700","TWN","fishing","tuna_purse_seines","PHL","SUBIC",2024-10-21 08:24:32,4,2024-10-24 02:50:40,4,2.8,"GENERAL SANTOS",NA,TRUE,2.20138888888889,"PHL",FALSE,"IWC, ACAP, APFIC, WCPFC, SEAFDEC",FALSE,NA,FALSE,NA,97,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/be4ab64ce-e3eb-2dda-5a2f-7ad5fce161db?&start=2024-10-19&end=2024-10-26"")"
"SEIN PHOENIX","441618000","KOR","carrier","carrier","THA","LAEM CHABANG",2024-10-01 06:38:47,4,2024-10-06 04:32:27,4,4.9,"GENERAL SANTOS",TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,95.8,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/1f10e42bc-cfbb-bc86-4003-123e36952736?&start=2024-09-29&end=2024-10-08"")"
"SEIN FRONTIER","441723000","KOR","carrier","carrier","PNG","RABAUL",2024-10-18 04:03:27,4,2024-10-24 01:49:01,4,5.9,"GENERAL SANTOS",TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,99.3,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/5e2030392-2c27-0ba9-9da5-fb5cb7879401?&start=2024-10-16&end=2024-10-26"")"
"SEA FUTURE","352980811","PAN","other","other","PNG","RABAUL",2024-10-08 05:35:02,4,2024-10-16 02:14:41,4,7.8,"GENERAL SANTOS",TRUE,FALSE,NA,NA,FALSE,NA,TRUE,1,TRUE,2,97.9,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/f1fad0360-01cd-3412-581c-b1bd21316c29?&start=2024-10-06&end=2024-10-18"")"
"LIBRA","277327000","LTU","carrier","carrier","KIR","LONDON",2024-12-02 04:44:59,4,2024-12-18 11:59:54,4,16.3,"GENERAL SANTOS",TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c4f5dd543-3c32-676f-2e07-f9a8b9b6b35a?&start=2024-11-30&end=2024-12-20"")"
