"vessel_name","MMSI","Flag","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_start_confidence","trip_end","trip_end_confidence","trip_duration_days","end_port","at_dock","fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","percent_ais_voyage","vv_url"
"FONG KUO NO:189","416243700","TWN","fishing","tuna_purse_seines","TWN","KAOHSIUNG",2024-10-19 02:23:34,4,2024-10-20 22:11:04,4,1.8,"SUBIC",TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,97.8,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/be4ab64ce-e3eb-2dda-5a2f-7ad5fce161db?&start=2024-10-17&end=2024-10-22"")"
"YUEYANGDONGYU16086","412472192","CHN","fishing","fishing","CHN","DONGPING",2024-12-23 01:21:21,4,2024-12-26 12:41:23,4,3.5,"SUBIC",NA,TRUE,36.6755555555556,"CHN",FALSE,"WCPFC, ACAP, IWC, APFIC",TRUE,4,TRUE,4,35.7,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/f15f6cd22-2e2d-3725-25e8-ca001dfb1a8e?&start=2024-12-21&end=2024-12-28"")"
"S/Y SERENE","533132526","MYS","fishing","fishing","PHL","SUBIC",2024-11-10 21:36:04,4,2024-11-13 10:43:38,4,2.5,"SUBIC",TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,4.8,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/08d13d3e6-6f84-8f03-e15a-2eaf802b6fd4?&start=2024-11-08&end=2024-11-15"")"
"STANDARD ENDEAVOUR","312033000","BLZ","fishing","pots_and_traps","PHL","MANILA",2024-11-25 03:27:17,4,2024-11-25 07:40:31,3,0.2,"SUBIC",TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,80,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/fed244af9-9553-f635-e6df-58ba139654fb?&start=2024-11-23&end=2024-11-27"")"
"CALA PICCOLA","306337000","CUW","carrier","carrier","JPN","KOBE",2024-10-15 04:31:56,4,2024-11-12 02:58:18,4,27.9,"SUBIC",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,7.3,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/efb692fc1-1907-4857-da9f-ab5f8bd86ca7?&start=2024-10-13&end=2024-11-14"")"
