trip_id,event_id,event_type,year,vessel_id,ssvid,shipname,vessel_flag_best,callsign,imo,vessel_class_best,geartype_best,vessel_class_initial,class_confidence,trip_start,start_port_iso3,start_port_label,trip_end,end_port_iso3,end_port_label,port_anchorage_id,total_voyage_days,total_voyage_h,total_ais_h,percent_ais_voyage,event_start,event_end,event_duration_d,lat_mean,lon_mean,lat_end,lon_end,distance_km,speed_knots,eez,major_fao,high_seas,rfmo,start_distance_from_shore_km,end_distance_from_shore_km,start_distance_from_port_km,end_distance_from_port_km,positions_12_hours_before,encountered_ssvid,encountered_vessel_id,encountered_shipname,encountered_callsign,encountered_imo,encountered_flag,encountered_vessel_class,encountered_geartype,port_event_type,port_event_timestamp,port_event_lat,port_event_lon,port_label,sublabel,port_event_anchorage_id,port_distance_from_shore_m,at_dock,port_confidence,possible_spoofing
s8OTpkxfjW,73c0bba728ab5f571ae1d8f290e630c5,Gap,2023,27c4dbe6b-bc3b-7199-2aed-2b3d9590c499,416002494,CHAO YEUNG NO 5,TWN,BJ3600,NA,fishing,drifting_longlines,,NA,13/05/2023 13:35,PHL,TORIL,11/06/2023 00:33,PHL,TORIL,32f90c71,28.4,684,62,9.1,24/05/2023 16:19,25/05/2023 12:25,0.8,NA,NA,6.49,125.8,166.1,4.5,PHL,NA,NA,"ACAP, APFIC, IWC, SEAFDEC, WCPFC",32,22,83.5,22.8,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
s8OTpkxfjW,29cae79e945cf75e9b7297df64570b86,Fishing,2023,27c4dbe6b-bc3b-7199-2aed-2b3d9590c499,416002494,CHAO YEUNG NO 5,TWN,BJ3600,NA,fishing,drifting_longlines,,NA,13/05/2023 13:35,PHL,TORIL,11/06/2023 00:33,PHL,TORIL,32f90c71,28.4,684,62,9.1,25/05/2023 17:42,25/05/2023 21:21,0.2,6.91,125.57,NA,NA,13,2.6,PHL,71,,"ACAP, APFIC, IWC, SEAFDEC, WCPFC",10,5,10.2,13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
s8OTpkxfjW,2636a3ebc0670276adb5edaa526b8a13,Gap,2023,27c4dbe6b-bc3b-7199-2aed-2b3d9590c499,416002494,CHAO YEUNG NO 5,TWN,BJ3600,NA,fishing,drifting_longlines,,NA,13/05/2023 13:35,PHL,TORIL,11/06/2023 00:33,PHL,TORIL,32f90c71,28.4,684,62,9.1,25/05/2023 21:35,11/06/2023 00:33,16.1,NA,NA,7,125.51,6.5,0,PHL,NA,NA,"ACAP, APFIC, IWC, SEAFDEC, WCPFC",6,2,5.5,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
s8OTpkxfjW,9e7a889eca17d1987061daf201ff8463,Port_Visit,2023,27c4dbe6b-bc3b-7199-2aed-2b3d9590c499,416002494,CHAO YEUNG NO 5,TWN,BJ3600,NA,fishing,drifting_longlines,,NA,13/05/2023 13:35,PHL,TORIL,11/06/2023 00:33,PHL,TORIL,32f90c71,28.4,684,62,9.1,11/06/2023 00:33,12/06/2023 03:31,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
7jrrQ4WE18,d494809cdb868595d073347d7b53b013,Gap,2023,27c4dbe6b-bc3b-7199-2aed-2b3d9590c499,416002494,CHAO YEUNG NO 5,TWN,BJ3600,NA,fishing,drifting_longlines,,NA,12/06/2023 03:31,PHL,TORIL,09/07/2023 03:33,PHL,TORIL,32f90c71,27,649,106,16.3,12/06/2023 14:26,13/06/2023 11:05,0.9,NA,NA,5.8,124.01,197.2,5.2,PHL,NA,NA,"ACAP, APFIC, IWC, SEAFDEC, WCPFC",12,49,52.4,118.6,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
7jrrQ4WE18,ed50014f7642e8d101030c88511c80d6,Gap,2023,27c4dbe6b-bc3b-7199-2aed-2b3d9590c499,416002494,CHAO YEUNG NO 5,TWN,BJ3600,NA,fishing,drifting_longlines,,NA,12/06/2023 03:31,PHL,TORIL,09/07/2023 03:33,PHL,TORIL,32f90c71,27,649,106,16.3,13/06/2023 14:58,13/06/2023 21:07,0.3,NA,NA,6.21,123.17,64.6,5.7,PHL,NA,NA,"ACAP, APFIC, IWC, SEAFDEC, WCPFC",69,98,157.1,142.2,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
7jrrQ4WE18,ce57d4111f7c6443ab7656a2db85be5c,Gap,2023,27c4dbe6b-bc3b-7199-2aed-2b3d9590c499,416002494,CHAO YEUNG NO 5,TWN,BJ3600,NA,fishing,drifting_longlines,,NA,12/06/2023 03:31,PHL,TORIL,09/07/2023 03:33,PHL,TORIL,32f90c71,27,649,106,16.3,14/06/2023 12:49,15/06/2023 12:09,1,NA,NA,7.7,120.86,136,3.1,PHL,NA,NA,"ACAP, APFIC, IWC, SEAFDEC, WCPFC",14,118,17.7,148.8,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
7jrrQ4WE18,d3a186d55c1b0d3d3b7f71ed1968bd00,Fishing,2023,27c4dbe6b-bc3b-7199-2aed-2b3d9590c499,416002494,CHAO YEUNG NO 5,TWN,BJ3600,NA,fishing,drifting_longlines,,NA,12/06/2023 03:31,PHL,TORIL,09/07/2023 03:33,PHL,TORIL,32f90c71,27,649,106,16.3,15/06/2023 12:24,15/06/2023 14:10,0.1,7.76,120.79,NA,NA,19.1,5.9,PHL,71,,"ACAP, APFIC, IWC, SEAFDEC, WCPFC",126,131,158.6,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
7jrrQ4WE18,a11ab17b8b8f1eaca40109b18a6b8fd3,Loitering,2023,27c4dbe6b-bc3b-7199-2aed-2b3d9590c499,416002494,CHAO YEUNG NO 5,TWN,BJ3600,NA,fishing,drifting_longlines,,NA,12/06/2023 03:31,PHL,TORIL,09/07/2023 03:33,PHL,TORIL,32f90c71,27,649,106,16.3,15/06/2023 14:10,15/06/2023 19:01,0.2,7.82,120.81,NA,NA,4.4,0.5,PHL,71,,"ACAP, APFIC, IWC, SEAFDEC, WCPFC",133,130,162.6,159.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
7jrrQ4WE18,e3becc217c72564c0705a61541792412,Gap,2023,27c4dbe6b-bc3b-7199-2aed-2b3d9590c499,416002494,CHAO YEUNG NO 5,TWN,BJ3600,NA,fishing,drifting_longlines,,NA,12/06/2023 03:31,PHL,TORIL,09/07/2023 03:33,PHL,TORIL,32f90c71,27,649,106,16.3,15/06/2023 19:01,17/06/2023 09:18,1.6,NA,NA,7.48,120.25,72.9,1,PHL,NA,NA,"ACAP, APFIC, IWC, SEAFDEC, WCPFC",130,125,159.5,199,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
