"vessel_name","MMSI","Flag","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_start_confidence","trip_end","trip_end_confidence","trip_duration_days","end_port","at_dock","fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","percent_ais_voyage","vv_url"
"BALTIC LADY","311001035","BHS","carrier","carrier","SGP","SINGAPORE",2024-10-10 15:28:39,4,2024-10-17 22:03:23,4,7.3,"DAVAO",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,TRUE,1,30.1,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/f523ff799-91bb-acb2-9272-2ddee06e8662?&start=2024-10-08&end=2024-10-19"")"
"ORIENTAL IRIS","372645000","PAN","carrier","carrier","JPN","YOKKAICHI",2024-11-17 09:09:44,4,2024-11-21 21:45:23,4,4.5,"DAVAO",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,97.2,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/9ccf3dcad-dc13-b08e-cb2e-0cd1c948388e?&start=2024-11-15&end=2024-11-23"")"
"PACIFIC MAGNOLIA","357697000","PAN","carrier","carrier","JPN","KOBE",2024-11-19 01:33:58,4,2024-11-23 21:50:29,4,4.8,"DAVAO",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,74.4,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/4cafe593c-c42e-92b3-1159-41fc9cd15e2c?&start=2024-11-17&end=2024-11-25"")"
"PACIFIC MAGNOLIA","357697000","PAN","carrier","carrier","JPN","KOBE",2024-10-22 01:28:30,4,2024-10-26 21:49:13,4,4.8,"DAVAO",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,79.5,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/4cafe593c-c42e-92b3-1159-41fc9cd15e2c?&start=2024-10-20&end=2024-10-28"")"
"GREEN CHILE","311051000","BHS","carrier","carrier","JPN","KOBE",2024-10-18 16:54:50,4,2024-10-24 08:00:11,4,5.6,"DAVAO",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,96.4,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/655076d44-420f-10aa-676e-14cfe4c5c67a?&start=2024-10-16&end=2024-10-26"")"
"GREEN ITALIA","309281000","BHS","carrier","carrier","JPN","KOBE",2024-10-24 09:46:57,4,2024-10-30 07:19:49,4,5.9,"DAVAO",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,97.2,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/caf696c62-284a-7052-1217-973b4ff33df2?&start=2024-10-22&end=2024-11-01"")"
"CALA PICCOLA","306337000","CUW","carrier","carrier","PHL","SUBIC",2024-11-12 22:32:35,4,2024-11-15 01:26:06,4,2.1,"DAVAO",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,98.1,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/efb692fc1-1907-4857-da9f-ab5f8bd86ca7?&start=2024-11-10&end=2024-11-17"")"
"MV DISCOVERY BAY","636022592","LBR","other","other","JPN","YOKKAICHI",2024-11-13 10:27:37,4,2024-11-17 21:54:02,4,4.5,"DAVAO",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,93.5,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/048b9378d-db8a-80e5-0afa-099eebea408a?&start=2024-11-11&end=2024-11-19"")"
"GREEN CHILE","311051000","BHS","carrier","carrier","JPN","KOBE",2024-11-22 09:20:04,4,2024-11-27 13:25:55,4,5.2,"DAVAO",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,98.4,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/655076d44-420f-10aa-676e-14cfe4c5c67a?&start=2024-11-20&end=2024-11-29"")"
"CALA PEVERO","306335000","CUW","carrier","carrier","SGP","SINGAPORE",2024-11-17 18:13:55,4,2024-11-22 18:35:49,4,5,"DAVAO",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,95.9,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/d52789132-2f43-46ac-ed38-69ba88e21697?&start=2024-11-15&end=2024-11-24"")"
"GREEN ITALIA","309281000","BHS","carrier","carrier","CHN","SHANGHAI",2024-10-07 00:46:30,4,2024-10-11 06:53:04,4,4.3,"DAVAO",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,98.1,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/caf696c62-284a-7052-1217-973b4ff33df2?&start=2024-10-05&end=2024-10-13"")"
"ORIENTAL IRIS","372645000","PAN","carrier","carrier","JPN","ONOMICHIITOZAKI",2024-10-29 21:16:58,4,2024-11-03 21:55:13,4,5,"DAVAO",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,97.5,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/9ccf3dcad-dc13-b08e-cb2e-0cd1c948388e?&start=2024-10-27&end=2024-11-05"")"
"FRIO CARIBIC","352002985","PAN","carrier","carrier","KOR","BUSAN NEW PORT",2024-10-12 08:01:52,4,2024-10-16 23:40:58,4,4.6,"DAVAO",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,75,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/e3cad86da-a6f6-c9f1-3be7-c28acf952b94?&start=2024-10-10&end=2024-10-18"")"
"CALA PICCOLA","306337000","CUW","carrier","carrier","JPN","KOBE",2024-09-28 09:23:55,4,2024-10-03 02:39:51,4,4.7,"DAVAO",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/efb692fc1-1907-4857-da9f-ab5f8bd86ca7?&start=2024-09-26&end=2024-10-05"")"
"VEGA","357322000","PAN","carrier","carrier","JPN","HAKATA",2024-11-09 04:01:02,4,2024-11-13 00:46:48,4,3.8,"DAVAO",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,98.9,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c15cf8594-4bc1-187b-c90f-9177a2c27ece?&start=2024-11-07&end=2024-11-15"")"
"GREEN ITALIA","309281000","BHS","carrier","carrier","JPN","KOBE",2024-11-14 09:55:04,4,2024-11-19 10:45:58,4,5,"DAVAO",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,97.5,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/caf696c62-284a-7052-1217-973b4ff33df2?&start=2024-11-12&end=2024-11-21"")"
"CALA PEVERO","306335000","CUW","carrier","carrier","SGP","SINGAPORE",2024-10-11 11:36:32,4,2024-10-15 17:15:32,4,4.2,"DAVAO",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,90.3,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/d52789132-2f43-46ac-ed38-69ba88e21697?&start=2024-10-09&end=2024-10-17"")"
"BALTIC LADY","311001035","BHS","carrier","carrier","IRN","BUSHEHR",2024-11-11 21:41:21,4,2024-11-25 04:35:55,4,13.3,"DAVAO",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,73.1,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/f523ff799-91bb-acb2-9272-2ddee06e8662?&start=2024-11-09&end=2024-11-27"")"
"SANTA CATHARINA","636022619","LBR","other","other","JPN","HAKATA",2024-11-15 01:36:24,4,2024-11-19 21:40:06,4,4.8,"DAVAO",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,89.7,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/4031646b6-6e1f-637b-da86-e0827f814bfa?&start=2024-11-13&end=2024-11-21"")"
"MV DISCOVERY BAY","636022592","LBR","other","other","JPN","YOKKAICHI",2024-10-28 10:10:36,4,2024-11-01 21:40:47,4,4.5,"DAVAO",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,90.7,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/048b9378d-db8a-80e5-0afa-099eebea408a?&start=2024-10-26&end=2024-11-03"")"
"SOLENT STAR","311000784","BHS","carrier","carrier","KOR","PYEONGTAEK",2024-09-30 14:32:49,4,2024-10-05 21:54:24,4,5.3,"DAVAO",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/0abd1a3c1-17e9-54da-1137-e808022335a3?&start=2024-09-28&end=2024-10-07"")"
"CHAO YEUNG NO 5","416002494","TWN","fishing","drifting_longlines","TWN","HSINTA",2024-12-29 06:21:34,2,2024-12-29 10:21:34,2,0.2,"TORIL",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/27c4dbe6b-bc3b-7199-2aed-2b3d9590c499?&start=2024-12-27&end=2024-12-31"")"
"GREEN CHILE","311051000","BHS","carrier","carrier","JPN","KOBE",2024-10-04 10:35:30,4,2024-10-08 23:55:05,4,4.5,"DAVAO",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,94.5,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/655076d44-420f-10aa-676e-14cfe4c5c67a?&start=2024-10-02&end=2024-10-10"")"
"MV DISCOVERY BAY","636022592","LBR","other","other","JPN","YOKOSUKA",2024-09-29 11:17:49,4,2024-10-03 21:30:01,4,4.4,"DAVAO",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/048b9378d-db8a-80e5-0afa-099eebea408a?&start=2024-09-27&end=2024-10-05"")"
"PACIFIC VIOLET","357611000","PAN","carrier","carrier","JPN","KOBE",2024-11-26 01:08:33,4,2024-11-30 21:50:35,4,4.8,"DAVAO",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,97.4,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/f65516927-7355-d4be-4ea6-fb95d6013013?&start=2024-11-24&end=2024-12-02"")"
"FRIO CARIBIC","352002985","PAN","carrier","carrier","KOR","BUSAN NEW PORT",2024-11-14 06:47:22,4,2024-11-19 00:50:10,4,4.8,"DAVAO",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,94.8,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/e3cad86da-a6f6-c9f1-3be7-c28acf952b94?&start=2024-11-12&end=2024-11-21"")"
"GREEN CHILE","311051000","BHS","carrier","carrier","JPN","KOBE",2024-11-07 08:01:39,4,2024-11-12 01:51:49,4,4.7,"DAVAO",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,96.5,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/655076d44-420f-10aa-676e-14cfe4c5c67a?&start=2024-11-05&end=2024-11-14"")"
"VEGA","357322000","PAN","carrier","carrier","JPN","HAKATA",2024-10-11 15:53:12,4,2024-10-15 21:40:20,4,4.2,"DAVAO",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,95.1,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c15cf8594-4bc1-187b-c90f-9177a2c27ece?&start=2024-10-09&end=2024-10-17"")"
"CALA PORTESE","306336000","CUW","carrier","carrier","SGP","SINGAPORE",2024-10-19 13:19:25,4,2024-10-23 22:56:52,4,4.4,"DAVAO",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,97.2,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ae5c46759-9b46-438d-63bd-b46e8b643f48?&start=2024-10-17&end=2024-10-25"")"
"SOLENT STAR","311000784","BHS","carrier","carrier","JPN","YOKKAICHI",2024-10-17 08:49:44,4,2024-10-21 21:57:37,4,4.5,"DAVAO",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,97.3,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/0abd1a3c1-17e9-54da-1137-e808022335a3?&start=2024-10-15&end=2024-10-23"")"
