"vessel_name","MMSI","Flag","AIS_Flag","imo","vessel_class_cat","vessel_class_confidence","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_start_confidence","trip_end","trip_end_confidence","trip_duration_days","end_port","dak_general","dak_fishing","num_fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","AISdisabling","num_AISdisabling","percent_ais_voyage","vv_url"
"GARBOLA","225461000","ESP","ESP","9747560","fishing","low","support","purse_seine_support","SEN","DAKAR",2025-05-14 18:46:00,4,2025-06-01 05:54:12,4,17.5,"DAKAR",TRUE,FALSE,0,0,NA,FALSE,NA,FALSE,0,TRUE,2,TRUE,3,23.6,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/cf930809d-da1e-0f57-d725-bee6826624ab?&start=2025-05-12&end=2025-06-03"")"
"GARBOLA","225461000","ESP","ESP","9747560","fishing","low","support","purse_seine_support","CIV","ABIDJAN",2025-03-30 08:50:15,4,2025-05-12 05:46:20,4,42.8,"DAKAR",TRUE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,TRUE,2,8.4,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/cf930809d-da1e-0f57-d725-bee6826624ab?&start=2025-03-28&end=2025-05-14"")"
"FRIOMAR","225989933","ESP","ESP","9853462","fishing","high","fishing","trawlers","MRT","CANSADO",2025-05-04 15:21:01,4,2025-05-06 09:19:33,4,1.7,"DAKAR",TRUE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/baa191958-843d-fe67-0458-4d889d60c244?&start=2025-05-02&end=2025-05-08"")"
"F/V GUERIDEN","227550000","FRA","FRA","8912998","fishing","high","fishing","tuna_purse_seines","ESP","LAS PALMAS",2025-04-06 11:15:21,4,2025-04-09 05:53:07,4,2.8,"DAKAR",FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/1fe43f651-11a3-402d-dfed-efde848e7eee?&start=2025-04-04&end=2025-04-11"")"
"TURKMENLER","271072122","TUR","TUR","8685193","fishing","high","fishing","other_purse_seines","GNB","BISSAU",2025-06-08 08:09:20,4,2025-06-09 07:30:06,3,1,"DAKAR",TRUE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/b4c9fb1fc-c92e-503c-00b4-44f9dcf07f4a?&start=2025-06-06&end=2025-06-11"")"
"CROWN GARNET","311000782","BHS","BHS","9128049","carrier","high","carrier","carrier","RUS","PRIMORSK",2025-04-18 20:25:01,4,2025-04-28 06:18:10,4,9.4,"DAKAR",TRUE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/2de0af214-4552-9908-b6f5-5a0871afd217?&start=2025-04-16&end=2025-04-30"")"
"STAR FIRST","311000876","BHS","BHS","9330056","carrier","low","other","other","CIV","ABIDJAN",2025-04-05 22:35:41,4,2025-04-08 17:41:26,4,2.8,"DAKAR",FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/1f2830fdf-fd8c-099e-c5e3-c9f9c4a16f76?&start=2025-04-03&end=2025-04-10"")"
"STAR FIRST","311000876","BHS","BHS","9330056","carrier","low","other","other","CIV","ABIDJAN",2025-05-09 08:42:05,4,2025-05-11 23:13:42,4,2.6,"DAKAR",FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/1f2830fdf-fd8c-099e-c5e3-c9f9c4a16f76?&start=2025-05-07&end=2025-05-13"")"
"STAR FIRST","311000876","BHS","BHS","9330056","carrier","low","other","other","CIV","ABIDJAN",2025-06-13 07:38:13,4,2025-06-16 04:20:03,4,2.8,"DAKAR",FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/1f2830fdf-fd8c-099e-c5e3-c9f9c4a16f76?&start=2025-06-11&end=2025-06-18"")"
"STAR PRIMA","311000958","BHS","BHS","9338747","carrier","low","other","other","MAR","AGADIR",2025-05-16 06:10:25,4,2025-05-18 15:11:49,4,2.4,"DAKAR",FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/3997f5344-4346-5b2b-e215-f5932f787437?&start=2025-05-14&end=2025-05-20"")"
"STAR PRIMA","311000958","BHS","BHS","9338747","carrier","low","other","other","CIV","ABIDJAN",2025-04-02 23:35:01,4,2025-04-05 13:48:01,4,2.6,"DAKAR",FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/3997f5344-4346-5b2b-e215-f5932f787437?&start=2025-03-31&end=2025-04-07"")"
"AFRICAN DIPPER","311001215","BHS","BHS","9733260","carrier","low","other","other","SEN","DAKAR",2025-05-04 12:55:40,4,2025-05-15 08:29:19,4,10.8,"DAKAR",TRUE,FALSE,0,0,NA,FALSE,NA,FALSE,0,TRUE,3,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/0d9c2193a-a7f6-2517-1a32-a5d5f13936bf?&start=2025-05-02&end=2025-05-17"")"
