Action,Rationale (Remove / Check),Name,Flag,Vessel type,Gear type,Confidence 2 port visits check,TMT notes,vessel_name,MMSI,Flag2,vessel_class,vessel_type,previous_port_country,previous_port,trip_start,trip_end,trip_duration_days,end_port,fishing,fishing_hours,fishing_eez,fishing_hs,fishing_rfmos,encounter,num_encounters,loitering,num_loitering,at_dock,percent_ais_voyage
,,,,,,,,F/V GUERIDEN,227550000,FRA,fishing,tuna_purse_seines,CIV,ABIDJAN,6/6/24 7:58,7/29/24 6:15,"52,9",ABIDJAN,TRUE,"630,8505556","GHA, GAB, CIV",FALSE,"NAMMCO, ACAP, ICCAT, FCWC, COREP, IWC",TRUE,2,TRUE,26,NA,NA
,,,,,,,,ATLANTIC PRINCE,312867000,BLZ,fishing,tuna_purse_seines,CIV,ABIDJAN,9/3/24 16:38,9/21/24 10:44,"17,8",ABIDJAN,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,"8,9"
CHECK/REMOVE,The vessel appears to be in Abidjan port beteween July-Sept 2024 with possible AIS GAP- Possible remove vessel,,,,,,,HAO YUAN YU 861,412483274,CHN,fishing,inconclusive,CIV,ABIDJAN,7/17/24 10:40,7/18/24 6:45,"0,8",ABIDJAN,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"9,5"
CHECK/REMOVE,The vessel appears to be in Abidjan port beteween July-Sept 2024 with possible AIS GAP- Possible remove vessel,,,,,,,HAO YUAN YU 861,412483274,CHN,fishing,inconclusive,CIV,ABIDJAN,7/31/24 7:51,8/1/24 6:29,"0,9",ABIDJAN,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"12,5"
,,,,,,,,F/V CAP BOJADOR,228280000,FRA,fishing,tuna_purse_seines,CIV,ABIDJAN,6/17/24 9:06,7/30/24 7:29,"42,9",ABIDJAN,TRUE,"487,305","GAB, CIV",TRUE,"COREP, IWC, ICCAT, NAMMCO, ACAP, FCWC",TRUE,2,TRUE,20,NA,NA
CHECK/REMOVE,The vessel appears to be in Abidjan port beteween July-Sept 2024 with possible AIS GAP- Possible remove vessel,,,,,,,HAO YUAN YU 861,412483274,CHN,fishing,inconclusive,CIV,ABIDJAN,7/10/24 8:44,7/11/24 6:44,"0,9",ABIDJAN,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"8,7"
CHECK/REMOVE,The vessel appears to be in Abidjan port beteween July-Sept 2024 with possible AIS GAP- Possible remove vessel,,,,,,,HAO YUAN YU 861,412483274,CHN,fishing,inconclusive,CIV,ABIDJAN,7/26/24 9:57,7/27/24 6:30,"0,8",ABIDJAN,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"9,1"
,,,,,,,,VOLTA GLORY,627047000,GHA,carrier,carrier,CIV,ABIDJAN,7/5/24 18:10,7/17/24 6:25,"11,5",ABIDJAN,FALSE,NA,NA,FALSE,NA,TRUE,4,TRUE,6,NA,"98,9"
,,,,,,,,ATLANTIC PRINCE,312867000,BLZ,fishing,tuna_purse_seines,GHA,TEMA,8/10/24 14:21,9/1/24 2:25,"21,5",ABIDJAN,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,"6,4"
,,,,,,,,F/V ALBACORA QUINCE,224727000,ESP,fishing,tuna_purse_seines,CIV,ABIDJAN,7/7/24 0:35,7/8/24 6:05,"1,2",ABIDJAN,TRUE,"47,9125",CIV,FALSE,"NAMMCO, ICCAT, FCWC, ACAP, IWC",FALSE,NA,FALSE,NA,NA,"51,6"
,,,,,,,,AFRICA STAR,627074000,GHA,fishing,tuna_purse_seines,GHA,TEMA,7/2/24 13:58,7/3/24 13:59,1,ABIDJAN,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,68
IDENTITY CHANGE,,,,Fishing vessel,Trawlers,,,HAILUFENG8,412209610,CHN,other,other,CIV,ABIDJAN,9/10/24 9:43,9/25/24 16:40,"15,3",ABIDJAN,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,"0,8"
REMOVE,Product tanker,,,,,,,AFRICA STAR 1,312552000,BLZ,cargo,cargo,CIV,ABIDJAN,9/25/24 17:05,9/29/24 4:08,"3,5",ABIDJAN,FALSE,NA,NA,FALSE,NA,TRUE,1,TRUE,4,NA,100
,,,,,,,,F/V STERENN,226180000,FRA,fishing,tuna_purse_seines,STP,SAO TOME,8/6/24 9:15,9/3/24 16:04,"28,3",ABIDJAN,TRUE,"30,33111111","STP, CIV",FALSE,"COREP, FCWC, IWC, ACAP, NAMMCO, ICCAT",TRUE,1,TRUE,3,NA,"9,1"
IDENTITY CHANGE,,,,Fishing vessel,Purse seiner,,to be confirmed,EGALABUR,312078000,BLZ,cargo,cargo,CIV,ABIDJAN,6/15/24 23:50,7/4/24 5:43,"18,2",ABIDJAN,FALSE,NA,NA,FALSE,NA,TRUE,2,TRUE,16,NA,NA
IDENTITY CHANGE,,,,Support vessel,,,to be confirmed,ARTIKE,306881000,CUW,fishing,inconclusive,STP,SAO TOME,7/10/24 10:50,9/16/24 8:00,"67,9",ABIDJAN,TRUE,"75,96194444",CIV,TRUE,"IWC, NAMMCO, ICCAT, ACAP, FCWC",FALSE,NA,TRUE,2,NA,3
,,,,,,,,F/V ALBACORA QUINCE,224727000,ESP,fishing,tuna_purse_seines,CIV,ABIDJAN,7/13/24 17:28,7/24/24 9:35,"10,7",ABIDJAN,TRUE,"3,7875",CIV,FALSE,"FCWC, NAMMCO, IWC, ACAP, ICCAT",FALSE,NA,FALSE,NA,NA,"6,6"
IDENTITY CHANGE,,,,,Purse seiner,,,SYDNEY SOFIA,356262000,PAN,fishing,inconclusive,CIV,ABIDJAN,6/23/24 9:13,7/18/24 10:26,25,ABIDJAN,TRUE,"728,8541667","GIN, LBR, SLE",FALSE,"FCWC, IWC, SRFC, NAMMCO, ICCAT, ACAP",TRUE,2,TRUE,48,NA,NA
,,,,,,,,MONTEFRISA NUEVE,359101000,SLV,fishing,tuna_purse_seines,CIV,ABIDJAN,7/29/24 8:07,8/30/24 21:30,"32,5",ABIDJAN,TRUE,"36,65277778",CIV,FALSE,"ICCAT, NAMMCO, FCWC, IWC, ACAP",TRUE,2,TRUE,2,NA,"2,9"
IDENTITY CHANGE,,,,,Purse seiner,,,SYDNEY SOFIA,356262000,PAN,fishing,inconclusive,CIV,ABIDJAN,9/5/24 9:22,9/20/24 14:07,"15,2",ABIDJAN,TRUE,"206,1519444",LBR,TRUE,"ACAP, ICCAT, NAMMCO, FCWC, IWC",FALSE,NA,TRUE,9,NA,"68,6"
,,,,,,,,MONTERAIOLA,224742000,ESP,fishing,tuna_purse_seines,STP,SAO TOME,6/12/24 21:15,7/12/24 17:55,"29,8",ABIDJAN,TRUE,"44,70833333",CIV,FALSE,"ICCAT, FCWC, NAMMCO, IWC, ACAP",TRUE,2,FALSE,NA,NA,NA
,,,,,,,,F/V STERENN,226180000,FRA,fishing,tuna_purse_seines,CIV,ABIDJAN,7/11/24 19:10,7/24/24 9:14,"12,6",ABIDJAN,TRUE,"41,13333333",GAB,FALSE,"IWC, ICCAT, COREP, ACAP",FALSE,NA,TRUE,2,NA,"50,5"
REMOVE,Product tanker,,,,,,,AFRICA STAR 1,312552000,BLZ,cargo,cargo,CIV,ABIDJAN,7/19/24 11:23,7/21/24 1:30,"1,6",ABIDJAN,FALSE,NA,NA,FALSE,NA,TRUE,2,TRUE,2,NA,100
,,,,,,,,F/V GUERIDEN,227550000,FRA,fishing,tuna_purse_seines,CIV,ABIDJAN,8/5/24 17:44,8/27/24 15:17,"21,9",ABIDJAN,FALSE,NA,NA,FALSE,NA,TRUE,1,TRUE,1,NA,"7,6"
,,,,,,,,F/V GUEOTEC,227549000,FRA,fishing,tuna_purse_seines,CIV,ABIDJAN,5/24/24 9:35,7/13/24 6:42,"49,9",ABIDJAN,TRUE,"591,5863889","GAB, CIV, STP",FALSE,"NAMMCO, IWC, ICCAT, ACAP, FCWC, COREP",TRUE,2,TRUE,30,NA,NA
IDENTITY CHANGE,,,,Fishing vessel,Purse seiner,,,JC GLORIA,312155000,BLZ,cargo,cargo,CIV,ABIDJAN,6/15/24 8:38,7/10/24 8:07,25,ABIDJAN,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA
IDENTITY CHANGE,,,,Fishing vessel,Purse seiner,,,DICHA UNO,312697000,BLZ,cargo,cargo,CIV,ABIDJAN,7/6/24 9:25,8/10/24 13:55,"35,2",ABIDJAN,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,"6,3"
,,,,,,,,ZUBEROA,224587000,ESP,fishing,tuna_purse_seines,CIV,ABIDJAN,6/26/24 7:59,8/4/24 18:58,"39,4",ABIDJAN,TRUE,"460,0269444","CIV, GAB",TRUE,"ICCAT, FCWC, NAMMCO, IWC, ACAP, COREP",TRUE,1,TRUE,33,NA,NA
CHECK/REMOVE,The vessel appears to be in Abidjan port beteween July-Sept 2024 with possible AIS GAP- Possible remove vessel,,,,,,,HAO YUAN YU 861,412483274,CHN,fishing,inconclusive,CIV,ABIDJAN,7/28/24 8:32,7/29/24 6:26,"0,9",ABIDJAN,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"8,7"
IDENTITY CHANGE,,,,Fishing vessel,Purse seiner,,,DICHA UNO,312697000,BLZ,cargo,cargo,CIV,ABIDJAN,8/17/24 9:55,9/3/24 13:40,"17,1",ABIDJAN,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,"10,2"
,,,,,,,,MONTERAIOLA,224742000,ESP,fishing,tuna_purse_seines,GHA,TEMA,8/24/24 17:55,8/25/24 15:59,"0,9",ABIDJAN,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,100
,,,,,,,,AP703,627795000,GHA,fishing,pole_and_line,GHA,TEMA,8/4/24 12:38,9/19/24 4:33,"45,6",ABIDJAN,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,"1,9"
,,,,,,,,F/V CAP BOJADOR,228280000,FRA,fishing,tuna_purse_seines,CIV,ABIDJAN,9/1/24 18:45,9/16/24 6:30,"14,5",ABIDJAN,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,4
