ssvid,vessel_id,trip_start,trip_end,trip_start_anchorage_id,trip_end_anchorage_id,trip_start_visit_id,trip_end_visit_id,trip_start_confidence,trip_end_confidence,trip_id,year,ssvid_1,vessel_name,flag,vessel_class,first_timestamp,last_timestamp
224098930,689e79916-69d9-8c61-ac58-c321b6bc61e3,2023-08-13T07:58:55Z,2023-09-04T11:07:49Z,0ec1741b,0ec1741b,fe4565015037fccbe8fc4bd38e4e2f90,33ae59fa230c049ca2852ea77f540c85,4,4,224098930-689e79916-69d9-8c61-ac58-c321b6bc61e3-0189ede7be18,2023,224098930,BERRIZSANFRANCISCO,ESP,fishing,2021-04-04T08:25:09Z,2023-09-30T08:54:53Z
412209009,fff3fc565-577b-cea2-43c6-9e6c215281f7,2023-08-21T21:30:45Z,2023-09-05T18:19:28Z,0ec176c1,0ec176c1,5f85ce71e7ed36dfe86b7fca8ff5e914,080a68a8b5721626f6ff5e20d88e2f47,4,4,412209009-fff3fc565-577b-cea2-43c6-9e6c215281f7-018a1a01df88,2023,412209009,YANGMING8032,CHN,fishing,2022-01-08T14:30:58Z,2023-09-28T22:48:18Z
412209198,053be272f-f82e-093f-d86c-862ba01b963d,2023-09-02T16:12:57Z,2023-09-06T02:24:53Z,0ec176c1,0ec176c1,4c99d3c2e8c6b4cb479aa6086e774517,353a0700c499f0e51b9438f303d93da0,4,4,412209198-053be272f-f82e-093f-d86c-862ba01b963d-018a56ab3b28,2023,412209198,YANGMING8006,CHN,fishing,2023-02-04T01:45:33Z,2023-09-28T10:59:17Z
312360000,cc6b54a24-4542-6ce9-1e91-d4f17daeeda5,2023-08-09T14:55:01Z,2023-09-06T10:14:39Z,094f1be5,0ec176bf,8664c54c2b29a814306a8f7263619ee5,e8636784e46fecfa570f56c3db770b22,4,4,312360000-cc6b54a24-4542-6ce9-1e91-d4f17daeeda5-0189dacb4188,2023,312360000,PLAYADELAGA,BLZ,fishing,2023-05-04T09:35:39Z,2023-09-13T13:33:42Z
440236000,275f5c3ae-e209-d688-da85-c01f342cb27e,2023-07-20T07:37:33Z,2023-09-07T07:04:20Z,1dcc613b,0ec176a1,3c9e6ac0ab0f5c0d20a61f3dc949ea9d,5a6536c76ed01824d18b72fd1c22cb5f,4,4,440236000-275f5c3ae-e209-d688-da85-c01f342cb27e-0189723b8e48,2023,440236000,DONGWON216,KOR,fishing,2016-10-26T09:35:38Z,2023-09-30T22:39:42Z
412440796,2b3348d71-138e-ea60-d691-2e3e560e68d5,2023-06-21T23:01:52Z,2023-09-07T12:10:16Z,0ec176c1,0ec1741b,f925f5c7b5a437dbe1c40fec463b4352,3133da5353f63404e7a9fdc93f7b4024,4,4,412440796-2b3348d71-138e-ea60-d691-2e3e560e68d5-0188e0315f00,2023,412440796,FUYUANYU7858,CHN,fishing,2020-10-12T07:38:30Z,2023-09-30T23:58:14Z
412440797,8c2377963-35b8-2df4-48e3-5ce277f9a967,2023-06-13T07:38:37Z,2023-09-07T13:25:52Z,0ec176bf,0ec1741b,920a376d889560b76af0dcb6117b0c91,1f9c4303143280002a349a816d4c09f6,4,4,412440797-8c2377963-35b8-2df4-48e3-5ce277f9a967-0188b3b13c48,2023,412440797,FUYUANYU7859,CHN,fishing,2020-10-21T02:16:09Z,2023-09-25T17:56:09Z
224175000,c17075854-49bb-6c86-ad25-6b9f2d6f6ddd,2023-09-02T14:38:23Z,2023-09-10T06:06:07Z,0ec176c1,0ec176c1,604e48fb35c4004a16f56f1f8301bf56,ffc418b414f56c08324d2d866dab6682,4,4,224175000-c17075854-49bb-6c86-ad25-6b9f2d6f6ddd-018a5654a718,2023,224175000,LAPINTAR,ESP,fishing,2017-03-23T09:26:08Z,2023-09-28T23:49:00Z
359102000,4bb1068b0-07b4-134f-87ed-a7ea92c038e9,2023-07-16T07:45:13Z,2023-09-10T06:32:50Z,0ec1741b,0ec176bf,79017febf4dd6c6355c55a174bb867a8,0e4163275847579a97a3fbbbdc744af5,4,4,359102000-4bb1068b0-07b4-134f-87ed-a7ea92c038e9-01895da92328,2023,359102000,MONTECELO,SLV,fishing,2023-09-09T22:38:25Z,2023-09-23T11:56:33Z
412440815,60cdb0f2c-c4eb-0bb6-687f-54caeeb6bd3a,2023-06-03T22:25:17Z,2023-09-10T07:50:54Z,0ec176bf,0ec1741b,123a39e33248ea9cb211ede73ca500b9,598a6494c9d68142430ee6ed5c774356,4,4,412440815-60cdb0f2c-c4eb-0bb6-687f-54caeeb6bd3a-0188835d68c8,2023,412440815,FUYUANYU7853,CHN,fishing,2021-04-27T16:09:10Z,2023-09-30T23:59:32Z
