visit_id,vessel_id,ssvid,start_timestamp,start_lat,start_lon,start_anchorage_id,end_timestamp,end_lat,end_lon,duration_hrs,end_anchorage_id,confidence,year,ssvid_1,vessel_name,flag,flag_1,vessel_class,first_timestamp,last_timestamp
598a6494c9d68142430ee6ed5c774356,60cdb0f2c-c4eb-0bb6-687f-54caeeb6bd3a,412440815,2023-09-10T07:50:54Z,14.653801385664067,-17.36956393,0ec1741b,2023-09-16T10:11:01Z,14.621436800790955,-17.36321654,146.33527777777778,0ec176c1,4,2023,412440815,FUYUANYU7853,CHN,CHN,fishing,2021-04-27T16:09:10Z,2023-09-30T23:59:32Z
6e6341148924744619c7194077fe6fac,d96c51da5-5132-d4c5-84a4-2dec87ab5629,247110330,2023-09-10T09:41:07Z,14.621436800790955,-17.36321654,0ec176c1,2023-09-17T17:16:59Z,14.621436800790955,-17.36321654,175.59777777777776,0ec176c1,4,2023,247110330,SALVATOREPRIMO,ITA,ITA,fishing,2017-02-25T19:05:47Z,2023-09-30T23:43:20Z
1e1aca31ef27d172bb941c4809235b30,68f33de53-3365-b709-854c-1f425f41a561,416121900,2023-09-12T08:41:05Z,14.653801385664067,-17.36956393,0ec1741b,2023-09-24T17:02:19Z,14.621436800790955,-17.36321654,296.3538888888889,0ec176c1,4,2023,416121900,CHUNFA888,TWN,TWN,fishing,2022-03-09T01:50:42Z,2023-09-26T22:52:11Z
70746dd96826c1c8d4fa0cd2b3d72684,225be91ff-f744-cd74-80d0-163ad2a6d887,228967000,2023-09-12T19:40:06Z,14.725592350904243,-17.34904925,0ec174db,2023-09-13T15:39:24Z,14.677973060259928,-17.33465175,19.988333333333333,0ec175b3,4,2023,228967000,CORONADELMAR,FRA,FRA,fishing,2018-09-28T11:02:51Z,2023-09-30T18:41:31Z
ff3abce05080ad0458626eea39274676,818356b57-7844-a4ae-919e-36a06ae5a84a,224745000,2023-09-13T10:58:14Z,14.653801385664067,-17.36956393,0ec1741b,2023-09-17T12:16:39Z,14.653801385664067,-17.36956393,97.30694444444444,0ec1741b,4,2023,224745000,ALBONIGA,ESP,ESP,fishing,2023-02-02T21:30:22Z,2023-09-17T12:53:12Z
c274e6c5031bd97ca447ba511e7382ce,225be91ff-f744-cd74-80d0-163ad2a6d887,228967000,2023-09-13T16:19:55Z,14.725592350904243,-17.34904925,0ec174db,2023-09-13T20:54:43Z,14.673927489332103,-17.42407325,4.58,0ec173b1,4,2023,228967000,CORONADELMAR,FRA,FRA,fishing,2018-09-28T11:02:51Z,2023-09-30T18:41:31Z
939940340ab57a81317b4636cc8d01fe,05e925ed5-5b41-4afa-67da-0272bce81f08,224019630,2023-09-15T02:58:09Z,14.653801385664067,-17.36956393,0ec1741b,2023-09-26T16:43:03Z,14.673927489332103,-17.42407325,277.74833333333333,0ec173b1,4,2023,224019630,IRIBARZULAIKA,ESP,ESP,fishing,2022-02-25T09:52:48Z,2023-09-30T23:20:52Z
9f9e905989ea98d71f56f61bd77cdf8a,d939bd7fb-b9ee-3aa9-ff1c-2edd9e416c3f,416348000,2023-09-15T09:57:46Z,14.621436800790955,-17.36321654,0ec176c1,2023-10-07T09:41:48Z,14.621436800790955,-17.36321654,527.7338888888889,0ec176c1,4,2023,416348000,CHUNFA999,TWN,TWN,fishing,2021-06-23T01:54:08Z,2023-09-19T22:15:35Z
d5e94b62afd3deb92f129524825069f8,f23a6145b-bb7f-8e7e-5c7e-61a9e335f577,412209196,2023-09-16T16:56:52Z,14.621436800790955,-17.36321654,0ec176c1,2023-09-17T21:09:06Z,14.621436800790955,-17.36321654,28.20388888888889,0ec176c1,4,2023,412209196,YANGMIN8002,CHN,CHN,fishing,2022-09-11T15:36:38Z,2023-09-26T11:49:53Z
e6d0837c613762255953b7164119eea8,a0aa90604-4562-1097-2a1e-56ca4a57e84f,224580000,2023-09-16T21:48:00Z,14.653801385664067,-17.36956393,0ec1741b,2023-09-22T10:52:13Z,14.625438782503437,-17.36385069,133.0702777777778,0ec176bf,4,2023,224580000,EGALUZE,ESP,ESP,fishing,2022-04-03T15:06:00Z,2023-09-30T02:51:48Z
